area_id,area_name,b18135001,b18135001_moe,b18135002,b18135002_moe,b18135003,b18135003_moe,b18135004,b18135004_moe,b18135005,b18135005_moe,b18135006,b18135006_moe,b18135007,b18135007_moe,b18135008,b18135008_moe,b18135009,b18135009_moe,b18135010,b18135010_moe,b18135011,b18135011_moe,b18135012,b18135012_moe,b18135013,b18135013_moe,b18135014,b18135014_moe,b18135015,b18135015_moe,b18135016,b18135016_moe,b18135017,b18135017_moe,b18135018,b18135018_moe,b18135019,b18135019_moe,b18135020,b18135020_moe,b18135021,b18135021_moe,b18135022,b18135022_moe,b18135023,b18135023_moe,b18135024,b18135024_moe,b18135025,b18135025_moe,b18135026,b18135026_moe,b18135027,b18135027_moe,b18135028,b18135028_moe,b18135029,b18135029_moe,b18135030,b18135030_moe,b18135031,b18135031_moe,b18135032,b18135032_moe,b18135033,b18135033_moe,b18135034,b18135034_moe
1,Southwest,48549,1060,9048,515,143,88,143,88,116,79,27,62,0,48,8905,515,8510,520,8075,511,553,172,395,204,33083,820,1828,342,1529,297,990,232,735,207,299,151,31255,802,28209,816,27629,826,1137,271,3046,464,6418,366,1983,276,1981,276,1579,252,1938,276,2,47,4435,369,4435,369,3434,367,4173,329,0,48
2,Delridge Neighborhoods,34224,1046,6985,611,157,79,132,73,88,65,61,58,25,48,6828,601,6382,591,4140,486,2611,489,446,183,24086,825,1989,366,1663,316,669,187,1165,271,326,175,22097,772,17890,716,16461,706,1803,332,4207,533,3153,278,1235,237,1235,237,614,161,1235,237,0,38,1918,222,1878,217,1130,184,1791,216,40,56
3,Greater Duwamish,46942,1787,10778,1054,249,113,249,113,65,67,227,110,0,45,10529,1041,9640,1016,4768,669,5315,999,889,359,30678,1204,2518,364,2025,321,974,220,1350,272,493,172,28160,1169,21149,915,18683,944,3149,479,7011,871,5486,372,2250,300,2250,300,861,207,2197,295,0,45,3236,337,3186,332,1558,247,2910,322,50,63
4,Southeast,45465,1460,10074,820,249,120,249,120,128,92,148,99,0,45,9825,816,9099,834,5532,626,3962,737,726,332,30082,1045,2763,400,2312,363,1138,257,1349,274,451,174,27319,1014,21840,896,19692,924,2672,485,5479,802,5309,390,2103,309,2085,305,969,213,2026,304,18,56,3206,326,3194,325,1962,268,3094,322,12,47
5,Central,29258,999,4507,458,84,71,84,71,53,63,31,48,0,34,4423,453,4207,444,3268,371,1080,382,216,169,21442,798,1678,313,1464,302,799,223,902,242,214,114,19764,778,16981,736,16273,722,1006,285,2783,480,3309,275,1201,233,1201,233,605,176,1201,233,0,34,2108,235,2091,236,1423,217,2044,229,17,42
6,East,49404,1211,3894,415,108,86,99,84,32,49,67,83,9,47,3786,405,3733,405,2850,343,1049,299,53,63,40320,1094,2615,419,2362,404,1196,262,1336,319,253,108,37705,1106,31844,1089,30642,1074,1762,327,5861,698,5190,384,1689,228,1689,228,965,189,1651,229,0,47,3501,357,3420,341,2401,305,3318,343,81,107
7,Northeast,79116,1823,11443,474,267,116,267,116,184,99,93,86,0,59,11176,463,11036,463,10404,452,720,196,140,119,60263,1735,2417,359,2059,325,1419,250,783,216,358,168,57846,1705,53015,1690,52154,1668,1359,362,4831,624,7410,366,1883,335,1883,335,1412,294,1864,334,0,59,5527,301,5487,299,4357,304,5114,297,40,65
8,North,39862,1083,6164,475,140,84,140,84,25,47,115,80,0,43,6024,470,5707,482,4361,383,1481,350,317,177,28770,889,2249,324,1821,292,969,200,1123,245,428,159,26521,901,21985,815,20980,806,1458,374,4536,614,4928,323,2208,295,2187,295,1349,221,2167,294,21,52,2720,295,2645,297,1862,269,2558,294,75,92
9,Northwest,69266,1459,10501,684,190,100,190,100,143,96,47,60,0,54,10311,682,9738,673,7962,524,2114,549,573,222,50789,1176,2989,427,2469,378,1239,242,1598,298,520,172,47800,1184,40941,1142,39597,1129,2147,448,6859,749,7976,455,3196,351,3177,349,2256,317,3169,349,19,55,4780,370,4729,368,3573,338,4385,346,51,66
10,Ballard,44326,1011,7183,469,91,64,91,64,64,61,27,48,0,43,7092,465,6681,426,6148,404,769,253,411,224,32669,837,1463,303,1327,281,1017,257,400,152,136,98,31206,852,27740,776,27223,780,1019,374,3466,556,4474,277,1318,226,1318,226,923,196,1302,225,0,43,3156,271,3099,267,2332,269,2926,263,57,67
11,Lake Union,44115,1324,3837,332,62,83,62,83,60,83,2,40,0,42,3775,340,3721,344,3249,330,641,271,54,76,37283,1241,2362,389,1930,361,859,242,1165,275,432,152,34921,1204,30109,1034,29530,1037,1044,230,4812,786,2995,288,1112,217,1112,217,778,192,1096,217,0,42,1883,238,1843,234,1222,199,1686,219,40,56
12,Magnolia/Queen Anne,59068,1388,8139,565,156,94,156,94,156,94,0,51,0,51,7983,564,7787,548,7347,526,647,280,196,147,44410,1223,2447,404,2057,373,1404,314,841,252,390,175,41963,1213,38445,1187,37802,1172,1191,317,3518,519,6519,374,1895,297,1891,295,1420,257,1860,293,4,49,4624,377,4624,377,3576,380,4295,342,0,51
13,Downtown,17106,915,1028,414,0,29,0,29,0,29,0,29,0,29,1028,414,976,411,398,122,621,400,52,55,13542,708,2260,340,2045,319,390,149,1812,306,215,116,11282,681,9414,640,8469,635,1217,323,1868,356,2536,315,1003,240,1003,240,385,172,990,240,0,29,1533,229,1524,228,628,165,1464,230,9,30
