area_id,area_name,b22005i001,b22005i001_moe,b22005i002,b22005i002_moe,b22005i003,b22005i003_moe
1,Southwest,790,206,76,68,714,200
2,Delridge Neighborhoods,1611,266,261,126,1350,253
3,Greater Duwamish,1098,216,354,129,744,200
4,Southeast,1147,268,326,179,821,229
5,Central,681,177,45,54,636,175
6,East,1397,278,114,90,1283,267
7,Northeast,873,221,56,67,817,218
8,North,1148,247,85,85,1063,244
9,Northwest,1673,320,138,113,1535,298
10,Ballard,944,255,29,50,915,253
11,Lake Union,1043,239,78,76,965,231
12,Magnolia/Queen Anne,998,235,36,55,962,234
13,Downtown,410,159,26,38,384,157
