area_id,area_name,b17001c001,b17001c001_moe,b17001c002,b17001c002_moe,b17001c003,b17001c003_moe,b17001c004,b17001c004_moe,b17001c005,b17001c005_moe,b17001c006,b17001c006_moe,b17001c007,b17001c007_moe,b17001c008,b17001c008_moe,b17001c009,b17001c009_moe,b17001c010,b17001c010_moe,b17001c011,b17001c011_moe,b17001c012,b17001c012_moe,b17001c013,b17001c013_moe,b17001c014,b17001c014_moe,b17001c015,b17001c015_moe,b17001c016,b17001c016_moe,b17001c017,b17001c017_moe,b17001c018,b17001c018_moe,b17001c019,b17001c019_moe,b17001c020,b17001c020_moe,b17001c021,b17001c021_moe,b17001c022,b17001c022_moe,b17001c023,b17001c023_moe,b17001c024,b17001c024_moe,b17001c025,b17001c025_moe,b17001c026,b17001c026_moe,b17001c027,b17001c027_moe,b17001c028,b17001c028_moe,b17001c029,b17001c029_moe,b17001c030,b17001c030_moe,b17001c031,b17001c031_moe,b17001c032,b17001c032_moe,b17001c033,b17001c033_moe,b17001c034,b17001c034_moe,b17001c035,b17001c035_moe,b17001c036,b17001c036_moe,b17001c037,b17001c037_moe,b17001c038,b17001c038_moe,b17001c039,b17001c039_moe,b17001c040,b17001c040_moe,b17001c041,b17001c041_moe,b17001c042,b17001c042_moe,b17001c043,b17001c043_moe,b17001c044,b17001c044_moe,b17001c045,b17001c045_moe,b17001c046,b17001c046_moe,b17001c047,b17001c047_moe,b17001c048,b17001c048_moe,b17001c049,b17001c049_moe,b17001c050,b17001c050_moe,b17001c051,b17001c051_moe,b17001c052,b17001c052_moe,b17001c053,b17001c053_moe,b17001c054,b17001c054_moe,b17001c055,b17001c055_moe,b17001c056,b17001c056_moe,b17001c057,b17001c057_moe,b17001c058,b17001c058_moe,b17001c059,b17001c059_moe
1,Southwest,357,183,12,49,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,12,49,0,48,0,48,0,48,0,48,0,48,0,48,12,49,0,48,0,48,0,48,0,48,0,48,0,48,345,182,197,128,14,50,0,48,28,59,14,50,0,48,10,48,0,48,71,91,0,48,38,52,2,46,20,54,0,48,148,95,0,48,0,48,0,48,0,48,18,51,18,51,0,48,59,69,0,48,41,56,12,49,0,48,0,48
2,Delridge Neighborhoods,232,161,28,55,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,28,55,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,28,55,0,38,0,38,204,155,110,110,0,38,0,38,0,38,22,50,0,38,0,38,40,73,18,46,21,50,0,38,9,37,0,38,0,38,94,74,0,38,0,38,0,38,23,50,0,38,0,38,8,39,3,37,42,59,0,38,18,47,0,38,0,38
3,Greater Duwamish,425,228,75,70,49,61,0,45,0,45,14,49,0,45,0,45,0,45,0,45,0,45,28,57,0,45,7,47,0,45,0,45,26,45,0,45,0,45,0,45,14,49,0,45,0,45,1,43,0,45,7,45,4,42,0,45,0,45,0,45,350,220,151,117,0,45,0,45,20,51,0,45,17,49,32,55,0,45,18,49,14,49,40,52,10,47,0,45,0,45,199,133,23,54,0,45,0,45,0,45,18,54,0,45,0,45,54,80,12,49,33,54,23,48,13,47,23,49
4,Southeast,374,183,87,94,20,53,0,45,0,45,10,45,0,45,10,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,67,74,0,45,0,45,11,45,11,45,0,45,0,45,18,50,0,45,12,46,15,48,0,45,0,45,0,45,287,159,169,133,0,45,0,45,0,45,13,48,0,45,25,57,0,45,48,71,42,56,30,56,11,46,0,45,0,45,118,86,53,73,0,45,0,45,12,48,0,45,0,45,15,50,0,45,10,46,0,45,11,47,17,50,0,45
5,Central,161,110,95,97,31,44,0,34,0,34,0,34,0,34,0,34,0,34,13,39,15,40,0,34,0,34,3,33,0,34,0,34,64,93,42,73,0,34,0,34,0,34,0,34,0,34,13,36,9,36,0,34,0,34,0,34,0,34,0,34,66,60,19,44,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,19,44,0,34,0,34,0,34,47,52,0,34,0,34,0,34,0,34,0,34,0,34,19,36,0,34,28,51,0,34,0,34,0,34,0,34
6,East,748,261,322,181,231,119,0,47,22,57,0,47,0,47,0,47,0,47,51,87,49,60,0,47,21,54,57,69,31,50,0,47,91,99,31,66,0,47,0,47,0,47,0,47,0,47,37,58,0,47,23,58,0,47,0,47,0,47,0,47,426,195,172,111,0,47,0,47,0,47,0,47,0,47,1,45,0,47,74,84,17,51,40,78,40,55,0,47,0,47,254,132,20,52,0,47,0,47,0,47,0,47,0,47,29,55,70,74,87,83,1,45,47,77,0,47,0,47
7,Northeast,329,159,65,99,46,90,0,59,0,59,0,59,0,59,0,59,0,59,0,59,46,90,0,59,0,59,0,59,0,59,0,59,19,71,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,19,71,0,59,264,136,185,104,17,60,0,59,30,64,0,59,0,59,0,59,27,64,23,70,34,59,49,70,5,58,0,59,0,59,79,73,0,59,0,59,0,59,10,60,0,59,0,59,15,62,0,59,24,62,0,59,30,61,0,59,0,59
8,North,369,230,83,92,15,46,15,46,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,68,71,22,54,0,43,0,43,0,43,0,43,0,43,14,45,12,44,0,43,9,44,0,43,0,43,11,43,286,204,123,95,0,43,0,43,20,52,0,43,0,43,0,43,33,68,11,44,19,50,28,44,12,42,0,43,0,43,163,123,0,43,19,50,28,50,0,43,0,43,0,43,0,43,36,59,29,62,6,43,30,51,0,43,15,46
9,Northwest,575,220,143,115,58,70,0,54,0,54,0,54,0,54,0,54,0,54,12,56,22,60,24,62,0,54,0,54,0,54,0,54,85,93,0,54,0,54,0,54,0,54,0,54,0,54,0,54,15,56,45,84,0,54,0,54,25,65,0,54,432,195,217,139,42,67,0,54,17,58,16,59,0,54,0,54,0,54,54,64,34,64,16,57,30,56,8,53,0,54,215,117,0,54,0,54,0,54,0,54,0,54,0,54,0,54,35,66,33,61,60,77,67,71,8,54,12,54
10,Ballard,147,90,15,49,15,49,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,15,49,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,132,87,73,65,0,43,0,43,11,45,0,43,0,43,0,43,14,46,11,46,0,43,0,43,20,50,0,43,17,44,59,69,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,14,48,31,62,0,43,14,47
