area_id,area_name,c27001f001,c27001f001_moe,c27001f002,c27001f002_moe,c27001f003,c27001f003_moe,c27001f004,c27001f004_moe,c27001f005,c27001f005_moe,c27001f006,c27001f006_moe,c27001f007,c27001f007_moe,c27001f008,c27001f008_moe,c27001f009,c27001f009_moe,c27001f010,c27001f010_moe
1,Southwest,325,199,92,93,92,93,0,48,233,144,192,121,41,66,0,48,0,48,0,48
2,Delridge Neighborhoods,992,449,279,218,279,218,0,38,679,301,277,152,402,235,34,54,8,38,26,54
3,Greater Duwamish,826,452,212,171,198,169,14,49,572,310,232,172,340,194,42,78,42,78,0,45
4,Southeast,780,555,343,326,343,326,0,45,389,247,327,236,62,71,48,66,48,66,0,45
5,Central,335,170,72,81,72,81,0,34,263,142,221,116,42,71,0,34,0,34,0,34
6,East,529,186,23,58,23,58,0,47,506,178,375,140,131,108,0,47,0,47,0,47
7,Northeast,847,324,96,89,96,89,0,59,751,308,642,299,109,96,0,59,0,59,0,59
8,North,1209,444,211,119,148,115,63,75,978,374,603,286,375,253,20,46,20,46,0,43
9,Northwest,1273,396,117,99,101,97,16,57,1064,334,755,262,309,196,92,88,92,88,0,54
10,Ballard,368,202,29,61,29,61,0,43,320,173,152,99,168,146,19,49,19,49,0,43
11,Lake Union,569,259,66,93,66,93,0,42,449,203,277,165,172,125,54,67,54,67,0,42
12,Magnolia/Queen Anne,637,220,143,118,143,118,0,51,494,188,417,172,77,82,0,51,0,51,0,51
13,Downtown,344,161,0,29,0,29,0,29,344,161,153,86,191,137,0,29,0,29,0,29
