area_id,area_name,b25075001,b25075001_moe,b25075002,b25075002_moe,b25075003,b25075003_moe,b25075004,b25075004_moe,b25075005,b25075005_moe,b25075006,b25075006_moe,b25075007,b25075007_moe,b25075008,b25075008_moe,b25075009,b25075009_moe,b25075010,b25075010_moe,b25075011,b25075011_moe,b25075012,b25075012_moe,b25075013,b25075013_moe,b25075014,b25075014_moe,b25075015,b25075015_moe,b25075016,b25075016_moe,b25075017,b25075017_moe,b25075018,b25075018_moe,b25075019,b25075019_moe,b25075020,b25075020_moe,b25075021,b25075021_moe,b25075022,b25075022_moe,b25075023,b25075023_moe,b25075024,b25075024_moe,b25075025,b25075025_moe
1,Southwest,14808,462,29,53,0,48,7,48,15,52,0,48,24,53,0,48,16,51,51,93,0,48,0,48,14,50,0,48,21,49,82,76,77,64,93,62,542,149,744,172,3691,349,3522,360,3787,351,1217,223,876,176
2,Delridge Neighborhoods,7724,382,24,44,0,38,0,38,25,45,28,58,12,41,21,42,0,38,39,49,0,38,0,38,25,45,40,48,30,47,77,58,175,84,339,126,1083,216,1295,241,2732,285,1145,204,462,154,159,94,13,39
3,Greater Duwamish,8359,418,38,52,0,45,10,46,0,45,31,58,18,52,22,51,42,57,7,45,0,45,0,45,7,45,38,55,23,48,52,55,161,81,274,101,883,180,1529,232,3096,338,1485,248,447,159,72,68,124,74
4,Southeast,10861,427,25,49,0,45,0,45,38,57,26,50,29,51,25,48,19,46,13,48,7,44,0,45,0,45,16,50,83,96,69,71,186,112,297,134,827,175,1426,248,2814,315,2105,289,1779,238,643,164,434,123
5,Central,6894,359,43,47,0,34,8,34,0,34,0,34,0,34,0,34,9,35,0,34,0,34,0,34,0,34,0,34,79,65,59,70,69,53,111,98,410,121,330,108,1402,214,1480,228,1446,245,551,149,897,177
6,East,8008,453,0,47,0,47,0,47,0,47,12,48,54,75,0,47,35,53,0,47,18,50,37,73,0,47,16,49,51,56,112,90,220,109,131,84,672,174,833,230,1252,240,879,217,1020,174,1065,188,1601,224
7,Northeast,16806,426,31,61,26,71,0,59,15,61,12,59,0,59,33,63,15,62,42,68,15,61,22,61,22,60,0,59,62,63,71,75,159,87,129,74,310,102,549,152,2001,254,2883,270,6079,400,2757,277,1573,204
8,North,9074,354,0,43,18,49,0,43,0,43,0,43,15,46,43,49,25,48,0,43,15,46,0,43,0,43,21,53,69,60,61,56,162,88,296,130,622,158,740,180,2937,289,2197,254,1444,196,248,80,161,71
9,Northwest,17569,559,103,92,40,63,14,55,14,55,9,54,14,58,37,66,21,54,11,55,0,54,30,56,0,54,97,118,113,96,104,75,142,80,442,143,867,196,1105,228,5063,419,3777,363,4293,346,961,171,312,109
10,Ballard,11602,423,33,47,0,43,0,43,27,48,0,43,0,43,15,47,44,56,41,50,11,45,0,43,9,44,14,46,24,45,6,41,54,56,64,82,390,121,549,142,2504,307,2877,312,3646,337,900,161,394,127
11,Lake Union,7184,387,0,42,0,42,0,42,0,42,0,42,14,45,19,49,20,50,15,46,0,42,11,43,0,42,0,42,27,47,0,42,70,60,113,67,338,132,408,140,1120,216,1543,226,2709,268,458,107,319,124
12,Magnolia/Queen Anne,14092,515,9,50,0,51,0,51,41,65,15,55,0,51,0,51,10,51,22,53,25,56,26,57,0,51,14,52,60,60,76,68,133,74,176,83,618,167,959,217,1619,265,1534,250,4405,378,2423,295,1927,261
13,Downtown,2175,304,21,35,0,29,0,29,0,29,0,29,0,29,0,29,0,29,11,32,0,29,0,29,0,29,0,29,20,32,0,29,22,42,117,96,151,100,139,86,557,141,397,164,351,158,42,42,347,106
