area_id,area_name,b19101c001,b19101c001_moe,b19101c002,b19101c002_moe,b19101c003,b19101c003_moe,b19101c004,b19101c004_moe,b19101c005,b19101c005_moe,b19101c006,b19101c006_moe,b19101c007,b19101c007_moe,b19101c008,b19101c008_moe,b19101c009,b19101c009_moe,b19101c010,b19101c010_moe,b19101c011,b19101c011_moe,b19101c012,b19101c012_moe,b19101c013,b19101c013_moe,b19101c014,b19101c014_moe,b19101c015,b19101c015_moe,b19101c016,b19101c016_moe,b19101c017,b19101c017_moe
1,Southwest,72,63,0,48,0,48,19,55,0,48,0,48,0,48,0,48,13,49,0,48,0,48,15,51,2,46,15,48,0,48,8,47,0,48
2,Delridge Neighborhoods,51,55,0,38,0,38,0,38,0,38,3,37,18,46,0,38,0,38,0,38,0,38,0,38,0,38,9,37,0,38,21,50,0,38
3,Greater Duwamish,81,61,0,45,0,45,0,45,0,45,13,47,15,49,13,46,0,45,0,45,0,45,0,45,30,53,0,45,0,45,0,45,10,47
4,Southeast,27,50,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,12,47,0,45,15,48,0,45
5,Central,23,37,13,36,0,34,0,34,0,34,0,34,0,34,10,35,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
6,East,151,86,92,76,0,47,0,47,8,47,0,47,21,55,1,45,0,47,0,47,0,47,12,47,17,51,0,47,0,47,0,47,0,47
7,Northeast,69,70,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,18,60,22,66,0,59,15,62,0,59,14,59,0,59
8,North,89,75,14,45,0,43,0,43,0,43,0,43,0,43,21,54,0,43,29,62,3,42,0,43,6,43,0,43,0,43,0,43,16,43
9,Northwest,121,81,0,54,25,65,15,54,0,54,0,54,0,54,0,54,0,54,29,59,0,54,4,53,24,60,0,54,12,56,12,56,0,54
10,Ballard,34,53,0,43,0,43,0,43,0,43,0,43,0,43,0,43,20,50,0,43,0,43,0,43,14,46,0,43,0,43,0,43,0,43
11,Lake Union,33,52,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,19,49,0,42,0,42,0,42,14,45,0,42,0,42,0,42
12,Magnolia/Queen Anne,81,73,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,13,53,0,51,12,52,23,60,33,63
13,Downtown,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
