area_id,area_name,b25014h001,b25014h001_moe,b25014h002,b25014h002_moe,b25014h003,b25014h003_moe
1,Southwest,20469,466,20407,465,62,74
2,Delridge Neighborhoods,9091,408,9004,411,87,63
3,Greater Duwamish,5209,361,5154,360,55,70
4,Southeast,7344,400,7314,403,30,52
5,Central,8325,385,8268,384,57,48
6,East,22584,689,22226,699,358,173
7,Northeast,23951,540,23836,536,115,98
8,North,13724,450,13674,451,50,63
9,Northwest,26201,559,25996,561,205,137
10,Ballard,18746,379,18629,376,117,71
11,Lake Union,18899,592,18468,586,431,182
12,Magnolia/Queen Anne,25082,584,24936,582,146,107
13,Downtown,7227,437,7152,437,75,49
