area_id,area_name,b01002i001,b01002i001_moe,b01002i002,b01002i002_moe,b01002i003,b01002i003_moe
1,Southwest,284,70,295,114,275,84
2,Delridge Neighborhoods,230,40,248,48,197,85
3,Greater Duwamish,261,61,290,84,211,62
4,Southeast,278,62,261,72,281,92
5,Central,241,30,242,33,226,58
6,East,384,72,417,86,349,94
7,Northeast,451,69,411,80,513,110
8,North,280,66,309,84,252,54
9,Northwest,486,64,429,114,489,62
10,Ballard,276,23,210,83,286,55
11,Lake Union,240,21,239,40,246,29
12,Magnolia/Queen Anne,265,37,253,79,284,50
13,Downtown,138,41,132,48,129,46
