area_id,area_name,b13002c001,b13002c001_moe,b13002c002,b13002c002_moe,b13002c003,b13002c003_moe,b13002c004,b13002c004_moe,b13002c005,b13002c005_moe,b13002c006,b13002c006_moe,b13002c007,b13002c007_moe
1,Southwest,133,86,15,51,0,48,15,51,118,82,26,50,92,78
2,Delridge Neighborhoods,53,60,0,38,0,38,0,38,53,60,3,37,50,60
3,Greater Duwamish,107,97,0,45,0,45,0,45,107,97,15,49,92,95
4,Southeast,70,71,0,45,0,45,0,45,70,71,37,53,33,55
5,Central,69,56,0,34,0,34,0,34,69,56,19,36,50,54
6,East,247,119,32,54,20,53,12,47,215,116,50,64,165,106
7,Northeast,77,80,0,59,0,59,0,59,77,80,24,62,53,78
8,North,108,81,0,43,0,43,0,43,108,81,27,53,81,72
9,Northwest,169,111,17,58,17,58,0,54,152,109,45,64,107,101
10,Ballard,0,43,0,43,0,43,0,43,0,43,0,43,0,43
11,Lake Union,28,46,0,42,0,42,0,42,28,46,11,44,17,43
12,Magnolia/Queen Anne,182,115,0,51,0,51,0,51,182,115,27,59,155,109
13,Downtown,12,33,0,29,0,29,0,29,12,33,0,29,12,33
