area_id,area_name,b19301c001,b19301c001_moe
1,Southwest,184039,57469
3,Greater Duwamish,43864,25731
4,Southeast,46321,26801
5,Central,55395,30306
6,East,108246,33105
7,Northeast,75283,40499
8,North,94655,21187
9,Northwest,245834,134492
10,Ballard,58773,10958
11,Lake Union,113176,38716
12,Magnolia/Queen Anne,157838,29602
13,Downtown,23705,11655
