area_id,area_name,b01002b001,b01002b001_moe,b01002b002,b01002b002_moe,b01002b003,b01002b003_moe
1,Southwest,216,45,196,42,197,81
2,Delridge Neighborhoods,263,37,233,66,275,55
3,Greater Duwamish,347,61,348,77,365,64
4,Southeast,315,24,289,35,345,58
5,Central,312,33,289,37,325,54
6,East,377,88,339,88,420,80
7,Northeast,184,59,221,104,172,108
8,North,220,59,206,49,245,73
9,Northwest,296,36,325,100,308,114
10,Ballard,20,10,18,6,46,9
11,Lake Union,179,48,225,81,174,49
12,Magnolia/Queen Anne,200,48,192,78,203,89
13,Downtown,203,48,216,54,182,96
