area_id,area_name,b10051h001,b10051h001_moe,b10051h002,b10051h002_moe,b10051h003,b10051h003_moe,b10051h004,b10051h004_moe,b10051h005,b10051h005_moe,b10051h006,b10051h006_moe,b10051h007,b10051h007_moe
1,Southwest,265,132,82,74,48,65,34,60,183,102,60,63,123,77
2,Delridge Neighborhoods,255,126,69,65,38,46,31,47,186,117,74,64,112,99
3,Greater Duwamish,72,57,36,50,25,49,11,46,36,51,0,45,36,51
4,Southeast,137,85,70,77,45,68,25,57,67,57,0,45,67,57
5,Central,11,36,8,36,8,36,0,34,3,33,3,33,0,34
6,East,51,64,40,63,23,59,17,52,11,48,0,47,11,48
7,Northeast,222,126,47,69,29,63,18,64,175,112,68,84,107,94
8,North,222,111,59,64,27,59,32,50,163,99,38,63,125,85
9,Northwest,330,170,55,72,27,59,28,61,275,164,144,147,131,84
10,Ballard,222,117,114,90,25,58,89,81,108,84,48,67,60,62
11,Lake Union,8,42,0,42,0,42,0,42,8,42,0,42,8,42
12,Magnolia/Queen Anne,204,150,55,80,0,51,55,80,149,103,0,51,149,103
13,Downtown,0,29,0,29,0,29,0,29,0,29,0,29,0,29
