area_id,area_name,c21007001,c21007001_moe,c21007002,c21007002_moe,c21007003,c21007003_moe,c21007004,c21007004_moe,c21007005,c21007005_moe,c21007006,c21007006_moe,c21007007,c21007007_moe,c21007008,c21007008_moe,c21007009,c21007009_moe,c21007010,c21007010_moe,c21007011,c21007011_moe,c21007012,c21007012_moe,c21007013,c21007013_moe,c21007014,c21007014_moe,c21007015,c21007015_moe,c21007016,c21007016_moe,c21007017,c21007017_moe,c21007018,c21007018_moe,c21007019,c21007019_moe,c21007020,c21007020_moe,c21007021,c21007021_moe,c21007022,c21007022_moe,c21007023,c21007023_moe,c21007024,c21007024_moe,c21007025,c21007025_moe,c21007026,c21007026_moe,c21007027,c21007027_moe,c21007028,c21007028_moe,c21007029,c21007029_moe,c21007030,c21007030_moe,c21007031,c21007031_moe
1,Southwest,39501,831,33083,820,2137,343,121,106,16,52,105,104,2016,326,157,76,1859,317,30946,840,2174,394,461,193,1713,335,28772,838,1194,262,27578,828,6418,366,1552,218,43,59,43,59,0,48,1509,214,540,141,969,187,4866,333,244,105,116,77,128,77,4622,334,1284,216,3338,310
2,Delridge Neighborhoods,27239,837,24086,825,1361,259,246,133,47,55,199,119,1115,235,180,101,935,215,22725,842,3037,504,710,222,2327,453,19688,831,1052,269,18636,769,3153,278,612,145,70,82,70,82,0,38,542,134,334,115,208,80,2541,247,465,158,249,120,216,105,2076,225,582,147,1494,201
3,Greater Duwamish,36164,1229,30678,1204,1370,280,214,109,82,74,132,87,1156,254,134,79,1022,242,29308,1201,4078,621,1020,258,3058,524,25230,1154,1282,253,23948,1132,5486,372,715,171,86,66,14,49,72,62,629,160,333,104,296,125,4771,344,1075,235,628,185,447,162,3696,315,1275,234,2421,286
4,Southeast,35391,1101,30082,1045,1167,250,208,128,71,67,137,117,959,215,153,91,806,200,28915,1062,4147,678,796,221,3351,632,24768,1071,1743,334,23025,1039,5309,390,1020,187,54,54,8,45,46,54,966,183,253,84,713,165,4289,374,745,213,465,173,280,113,3544,335,1377,253,2167,272
5,Central,24738,808,21429,798,715,202,25,42,14,38,11,36,690,200,83,81,607,186,20714,823,2492,456,418,144,2074,436,18222,796,1163,266,17059,744,3309,275,650,156,31,41,6,35,25,40,619,151,149,82,470,127,2659,260,737,159,451,134,286,108,1922,255,595,172,1327,220
6,East,44010,1003,38820,1005,1296,274,174,97,49,66,125,82,1122,258,127,84,995,249,37524,1001,5898,631,1157,314,4741,546,31626,958,1239,258,30387,965,5190,384,1205,213,123,88,21,50,102,84,1082,194,423,130,659,156,3985,337,643,162,336,119,307,125,3342,330,909,180,2433,301
7,Northeast,58949,1566,51540,1576,1808,295,203,116,68,92,135,88,1605,282,192,121,1413,251,49732,1573,10580,1105,600,207,9980,1086,39152,1022,1303,241,37849,1009,7409,366,1437,204,95,76,28,64,67,69,1342,194,354,111,988,170,5972,378,423,263,278,254,145,84,5549,286,1223,195,4326,286
8,North,33692,835,28764,888,1002,175,132,79,46,56,86,67,870,163,168,86,702,140,27762,886,3585,502,698,209,2887,464,24177,904,1337,247,22840,893,4928,323,1043,212,47,63,30,56,17,48,996,211,517,158,479,148,3885,296,613,206,390,179,223,118,3272,285,1271,205,2001,260
9,Northwest,58765,1177,50789,1176,2422,358,185,118,61,67,124,108,2237,322,187,122,2050,308,48367,1123,5170,740,1073,290,4097,688,43197,1084,1668,312,41529,1079,7976,455,1855,245,128,76,96,71,32,59,1727,234,725,170,1002,171,6121,416,954,235,427,170,527,191,5167,407,1948,288,3219,304
10,Ballard,37129,840,32655,837,1331,265,108,78,16,49,92,73,1223,259,73,56,1150,254,31324,839,2051,389,275,139,1776,349,29273,834,1099,267,28174,840,4474,277,1086,185,61,61,15,48,46,57,1025,177,276,99,749,154,3388,270,393,156,232,136,161,94,2995,250,795,182,2200,239
11,Lake Union,40143,1256,37148,1242,1302,257,276,136,131,104,145,98,1026,225,128,71,898,214,35846,1237,6328,826,878,268,5450,725,29518,1000,1210,251,28308,1005,2995,288,800,179,63,55,22,45,41,52,737,176,244,132,493,129,2195,254,407,142,211,100,196,113,1788,233,635,154,1153,180
12,Magnolia/Queen Anne,49115,1139,42596,1159,1872,320,115,96,50,63,65,88,1757,308,128,74,1629,303,40724,1160,3584,678,597,199,2987,624,37140,970,1612,330,35528,982,6519,374,1545,236,15,49,4,49,11,51,1530,236,439,131,1091,207,4974,306,380,137,234,117,146,81,4594,313,1218,219,3376,307
13,Downtown,15977,737,13441,699,795,210,309,113,220,86,89,77,486,183,114,67,372,172,12646,690,2921,495,1258,282,1663,420,9725,593,657,209,9068,586,2536,315,449,144,35,49,22,38,13,40,414,137,93,75,321,117,2087,295,901,220,521,179,380,132,1186,241,367,139,819,203
