area_id,area_name,b14007h001,b14007h001_moe,b14007h002,b14007h002_moe,b14007h003,b14007h003_moe,b14007h004,b14007h004_moe,b14007h005,b14007h005_moe,b14007h006,b14007h006_moe,b14007h007,b14007h007_moe,b14007h008,b14007h008_moe,b14007h009,b14007h009_moe,b14007h010,b14007h010_moe,b14007h011,b14007h011_moe,b14007h012,b14007h012_moe,b14007h013,b14007h013_moe,b14007h014,b14007h014_moe,b14007h015,b14007h015_moe,b14007h016,b14007h016_moe,b14007h017,b14007h017_moe,b14007h018,b14007h018_moe,b14007h019,b14007h019_moe
1,Southwest,40275,1046,7150,569,831,204,446,141,406,145,195,85,460,150,346,110,373,115,310,119,267,120,340,122,242,105,364,128,324,121,215,103,1297,251,734,201,33125,857
2,Delridge Neighborhoods,17066,857,2497,406,199,93,109,68,127,81,68,66,124,88,69,53,17,45,98,66,148,78,70,57,61,49,185,86,204,108,187,89,599,231,232,89,14569,698
3,Greater Duwamish,10482,746,1296,302,110,83,68,58,20,51,33,51,48,59,13,43,50,62,56,67,41,61,7,45,94,80,52,72,13,45,27,46,452,182,212,89,9186,656
4,Southeast,15933,855,3077,396,230,94,330,133,157,79,201,93,137,78,100,73,110,76,95,66,237,91,77,62,169,103,101,67,64,62,118,82,572,192,379,146,12856,704
5,Central,16075,767,2765,385,253,102,173,109,87,69,89,69,57,51,99,67,45,49,72,59,44,53,42,42,42,48,88,66,73,62,31,45,843,201,727,206,13310,656
6,East,36569,1205,6768,709,250,98,169,79,105,67,160,77,127,66,165,91,96,62,87,63,92,62,69,58,147,75,89,60,112,70,106,74,3402,577,1592,290,29801,1024
7,Northeast,58055,1672,21063,1326,1071,198,575,150,605,146,499,128,437,125,386,120,414,120,431,116,293,105,503,140,437,131,396,125,382,123,601,277,11394,1115,2639,386,36992,979
8,North,25921,898,5135,513,354,113,255,86,157,79,187,91,148,72,253,99,132,102,145,72,156,75,166,79,162,89,193,94,151,70,189,90,1565,306,922,199,20786,720
9,Northwest,50339,1290,8761,674,898,173,321,106,399,122,420,126,240,87,400,133,325,108,285,101,315,126,300,136,192,102,334,113,114,79,253,111,2307,387,1658,300,41578,1104
10,Ballard,36448,943,6598,567,776,176,310,111,239,88,216,98,275,102,281,103,350,129,189,102,268,96,153,77,247,89,144,72,332,126,280,141,1465,309,1073,235,29850,802
11,Lake Union,32939,1167,7256,739,390,111,165,74,226,99,116,68,117,68,170,85,142,73,64,54,81,63,82,57,76,56,82,59,56,52,40,50,3296,621,2153,357,25683,967
12,Magnolia/Queen Anne,46878,1316,10015,935,734,177,334,122,297,135,379,131,227,97,378,151,508,163,275,103,230,105,326,138,246,98,243,117,197,90,277,104,4159,785,1205,301,36863,947
13,Downtown,10031,620,678,218,0,29,0,29,0,29,0,29,0,29,0,29,14,33,0,29,0,29,0,29,0,29,0,29,6,29,0,29,262,132,396,165,9353,611
