area_id,area_name,b07201001,b07201001_moe,b07201002,b07201002_moe,b07201003,b07201003_moe,b07201004,b07201004_moe,b07201005,b07201005_moe,b07201006,b07201006_moe,b07201007,b07201007_moe,b07201008,b07201008_moe,b07201009,b07201009_moe,b07201010,b07201010_moe,b07201011,b07201011_moe,b07201012,b07201012_moe,b07201013,b07201013_moe,b07201014,b07201014_moe
1,Southwest,48710,1044,40501,1111,7840,1029,5719,880,4966,863,753,233,1576,428,705,243,871,366,488,323,248,188,240,266,57,68,369,152
2,Delridge Neighborhoods,33789,1020,28204,1125,5367,799,3639,568,2823,499,816,300,1501,570,1113,545,388,163,151,126,98,105,53,66,76,83,218,145
3,Greater Duwamish,46604,1763,39442,1622,6056,874,4866,840,4127,804,739,328,1003,274,716,233,287,158,138,94,110,88,28,53,49,80,1106,556
4,Southeast,45399,1490,38778,1439,6206,1133,5117,1047,4261,970,856,400,994,311,787,286,207,129,20,51,19,54,1,42,75,80,415,251
5,Central,29248,972,22124,1031,7035,793,5343,766,4698,714,645,278,1571,376,1025,304,546,192,82,73,34,49,48,63,39,54,89,60
6,East,50914,1186,34356,1239,15724,1110,10834,915,9107,864,1727,368,4441,614,3258,560,1183,232,366,146,326,142,40,55,83,66,834,312
7,Northeast,78426,1820,56565,1488,19944,1411,14136,1226,11234,1095,2902,411,5037,655,2833,568,2204,407,636,201,390,170,246,116,135,92,1917,496
8,North,39569,1066,32071,1072,7004,836,4966,737,3799,644,1167,349,1724,407,1028,290,696,277,179,94,88,66,91,77,135,115,494,213
9,Northwest,68973,1409,55694,1514,12532,1078,9723,976,8097,889,1626,372,2406,456,1308,300,1098,348,339,163,242,138,97,96,64,96,747,299
10,Ballard,43737,1015,35907,1018,7419,900,5897,868,5149,762,748,304,1239,285,682,181,557,237,191,136,179,135,12,46,92,82,411,189
11,Lake Union,43903,1313,29922,1075,13508,1193,9502,945,8110,846,1392,328,3503,642,2052,449,1451,445,394,174,247,140,147,103,109,92,473,165
12,Magnolia/Queen Anne,58947,1379,44121,1373,14338,1251,9386,973,7716,892,1670,377,4369,688,2587,563,1782,389,402,228,90,68,312,220,181,135,488,185
13,Downtown,17310,891,11689,842,5334,555,2954,466,2240,404,714,236,2259,396,1707,335,552,252,72,54,17,36,55,46,49,46,287,148
