area_id,area_name,c23023001,c23023001_moe,c23023002,c23023002_moe,c23023003,c23023003_moe,c23023004,c23023004_moe,c23023005,c23023005_moe,c23023006,c23023006_moe,c23023007,c23023007_moe,c23023008,c23023008_moe,c23023009,c23023009_moe,c23023010,c23023010_moe,c23023011,c23023011_moe,c23023012,c23023012_moe,c23023013,c23023013_moe,c23023014,c23023014_moe,c23023015,c23023015_moe,c23023016,c23023016_moe,c23023017,c23023017_moe,c23023018,c23023018_moe,c23023019,c23023019_moe,c23023020,c23023020_moe,c23023021,c23023021_moe,c23023022,c23023022_moe,c23023023,c23023023_moe
1,Southwest,34116,843,16328,614,1182,259,461,153,279,123,182,96,721,209,15146,593,13717,564,10226,529,3491,409,1429,250,17788,595,736,210,373,131,169,84,204,106,363,162,17052,591,14644,564,8886,512,5758,447,2408,330
2,Delridge Neighborhoods,25096,844,12562,614,915,231,460,166,202,113,258,120,455,160,11647,601,10077,550,6863,489,3214,389,1570,306,12534,592,1112,264,400,134,89,66,311,122,712,217,11422,546,9534,490,5545,432,3989,418,1888,327
3,Greater Duwamish,31687,1249,16808,934,1540,269,621,180,214,102,407,150,919,225,15268,912,13381,839,8843,636,4538,564,1887,348,14879,691,1077,235,496,157,191,92,305,135,581,165,13802,695,10967,612,6165,511,4802,465,2835,374
4,Southeast,31126,1069,15061,810,1295,270,577,196,423,169,154,82,718,195,13766,799,11292,707,7511,605,3781,494,2474,404,16065,665,1566,297,514,161,293,119,221,118,1052,256,14499,625,11604,599,6760,521,4844,490,2895,422
5,Central,21977,798,10722,642,855,224,377,135,219,100,158,90,478,182,9867,631,8809,577,6354,522,2455,397,1058,264,11255,598,909,220,460,161,183,93,277,127,449,144,10346,536,8595,502,5093,404,3502,398,1751,344
6,East,42297,1111,22738,917,2225,337,1117,248,436,181,681,191,1108,241,20513,910,18391,867,11259,726,7132,651,2122,331,19559,817,1183,263,435,150,135,86,300,132,748,211,18376,800,16001,779,8780,616,7221,602,2375,320
7,Northeast,61382,1751,30092,1264,1376,288,821,223,348,130,473,184,555,182,28716,1236,24810,1127,12834,615,11976,993,3906,441,31290,1137,1129,232,627,178,257,120,370,140,502,149,30161,1134,24686,1024,10058,563,14628,911,5475,583
8,North,29499,921,15269,722,1061,224,519,141,263,99,256,104,542,169,14208,718,12365,690,8141,585,4224,454,1843,326,14230,581,1236,246,622,168,222,98,400,151,614,181,12994,580,10907,574,6030,502,4877,481,2087,316
9,Northwest,51682,1200,25419,850,1486,284,674,196,328,140,346,126,812,214,23933,829,21953,766,15248,726,6705,577,1980,423,26263,803,1618,288,706,199,240,117,466,166,912,212,24645,823,20992,793,11778,657,9214,608,3653,459
10,Ballard,33595,894,16690,646,779,185,494,148,254,111,240,100,285,113,15911,642,14661,622,10219,544,4442,482,1250,263,16905,606,709,204,455,150,200,94,255,119,254,138,16196,607,14148,614,8186,558,5962,526,2048,281
11,Lake Union,37637,1248,19873,954,1303,292,648,187,344,143,304,120,655,223,18570,899,17141,839,11009,655,6132,664,1429,393,17764,905,1117,265,559,179,162,88,397,160,558,190,16647,895,15059,869,8146,591,6913,681,1588,284
12,Magnolia/Queen Anne,45353,1231,22284,1014,1300,284,647,209,428,183,219,106,653,209,20984,1017,19416,1024,13098,636,6318,832,1568,279,23069,968,1226,277,710,228,317,134,393,190,516,175,21843,929,19099,915,11495,681,7604,674,2744,342
13,Downtown,13896,717,8444,599,1621,293,400,165,116,69,284,154,1221,241,6823,554,5895,492,3969,422,1926,356,928,286,5452,451,666,173,167,87,69,67,98,65,499,151,4786,439,4276,432,2504,336,1772,313,510,143
