area_id,area_name,b06002001,b06002001_moe,b06002002,b06002002_moe,b06002003,b06002003_moe,b06002004,b06002004_moe,b06002005,b06002005_moe
1,Southwest,382,7,308,19,431,10,371,74,383,36
2,Delridge Neighborhoods,215,6,153,12,256,14,226,27,240,19
3,Greater Duwamish,364,10,186,14,403,36,428,110,428,23
4,Southeast,319,8,178,17,377,19,290,79,352,15
5,Central,261,7,189,16,300,11,221,71,272,25
6,East,420,10,354,25,446,14,467,79,471,36
7,Northeast,579,8,422,17,663,16,572,105,638,40
8,North,339,10,269,22,392,17,364,57,348,24
9,Northwest,614,14,484,18,688,15,571,84,700,32
10,Ballard,313,7,253,16,336,9,324,60,354,21
11,Lake Union,322,6,279,9,349,11,368,59,343,18
12,Magnolia/Queen Anne,399,8,309,17,442,14,442,80,428,17
13,Downtown,219,13,178,31,221,21,188,42,214,21
