area_id,area_name,b05008001,b05008001_moe,b05008002,b05008002_moe,b05008003,b05008003_moe,b05008004,b05008004_moe,b05008005,b05008005_moe,b05008006,b05008006_moe,b05008007,b05008007_moe,b05008008,b05008008_moe,b05008009,b05008009_moe,b05008010,b05008010_moe,b05008011,b05008011_moe,b05008012,b05008012_moe,b05008013,b05008013_moe,b05008014,b05008014_moe,b05008015,b05008015_moe,b05008016,b05008016_moe,b05008017,b05008017_moe,b05008018,b05008018_moe,b05008019,b05008019_moe,b05008020,b05008020_moe,b05008021,b05008021_moe,b05008022,b05008022_moe,b05008023,b05008023_moe,b05008024,b05008024_moe,b05008025,b05008025_moe,b05008026,b05008026_moe,b05008027,b05008027_moe,b05008028,b05008028_moe,b05008029,b05008029_moe,b05008030,b05008030_moe,b05008031,b05008031_moe,b05008032,b05008032_moe,b05008033,b05008033_moe,b05008034,b05008034_moe,b05008035,b05008035_moe,b05008036,b05008036_moe,b05008037,b05008037_moe,b05008038,b05008038_moe,b05008039,b05008039_moe,b05008040,b05008040_moe,b05008041,b05008041_moe,b05008042,b05008042_moe,b05008043,b05008043_moe,b05008044,b05008044_moe,b05008045,b05008045_moe,b05008046,b05008046_moe,b05008047,b05008047_moe,b05008048,b05008048_moe,b05008049,b05008049_moe,b05008050,b05008050_moe,b05008051,b05008051_moe,b05008052,b05008052_moe,b05008053,b05008053_moe,b05008054,b05008054_moe,b05008055,b05008055_moe,b05008056,b05008056_moe,b05008057,b05008057_moe,b05008058,b05008058_moe,b05008059,b05008059_moe,b05008060,b05008060_moe,b05008061,b05008061_moe,b05008062,b05008062_moe,b05008063,b05008063_moe,b05008064,b05008064_moe,b05008065,b05008065_moe,b05008066,b05008066_moe,b05008067,b05008067_moe,b05008068,b05008068_moe,b05008069,b05008069_moe
1,Southwest,3918,471,1556,279,618,197,19,53,130,91,469,170,386,133,44,56,55,57,287,124,156,87,0,48,24,56,132,80,44,64,0,48,0,48,44,64,97,68,56,56,0,48,0,48,56,56,41,59,0,48,24,56,17,52,15,51,0,48,0,48,15,51,396,131,14,50,85,68,297,113,2362,326,799,222,0,48,273,144,526,173,1004,193,27,60,331,127,646,149,149,96,0,48,0,48,149,96,0,48,0,48,0,48,0,48,125,87,125,87,0,48,0,48,125,87,0,48,0,48,0,48,0,48,24,58,0,48,0,48,24,58,410,131,0,48,142,83,268,105
2,Delridge Neighborhoods,7843,769,3635,475,211,117,0,38,16,39,195,114,1548,265,48,81,277,134,1223,253,1155,374,0,38,582,303,573,184,43,51,0,38,30,47,13,42,1064,371,942,361,0,38,497,302,445,172,122,131,0,38,47,83,75,69,48,56,0,38,8,39,40,51,721,196,26,56,241,130,454,150,4208,451,265,130,0,38,33,49,232,125,2327,318,0,38,591,219,1736,275,568,179,0,38,237,138,331,120,16,43,0,38,0,38,16,43,482,183,453,179,0,38,235,138,218,114,29,49,0,38,0,38,29,49,70,62,0,38,2,37,68,61,1048,282,30,62,589,235,429,176
3,Greater Duwamish,20365,1419,10126,893,279,107,20,53,116,74,143,82,7086,727,231,161,1534,364,5321,543,1410,476,16,50,782,344,612,213,105,92,0,45,12,48,93,90,1274,467,1115,439,16,50,697,320,402,178,159,109,0,45,73,81,86,73,31,56,0,45,0,45,31,56,1351,322,74,76,504,198,773,220,10239,774,158,106,20,52,47,66,91,88,7388,575,140,83,1898,375,5350,453,863,284,6,44,416,200,441,168,67,88,0,45,0,45,67,88,760,270,599,256,6,44,378,194,215,116,161,100,0,45,11,49,150,102,36,57,0,45,27,55,9,46,1830,521,49,75,844,465,937,283
4,Southeast,12957,1020,6544,694,251,102,0,45,63,60,188,87,3427,392,72,86,555,188,2800,322,1111,439,47,71,641,322,423,201,114,111,15,48,37,54,62,106,975,425,599,316,32,67,348,236,219,114,376,315,0,45,247,242,129,146,22,48,0,45,9,46,13,48,1755,435,100,139,1063,377,592,214,6413,591,217,92,0,45,22,48,195,89,4231,445,165,101,1161,335,2905,299,570,192,9,46,247,126,314,134,28,51,0,45,28,51,0,45,465,186,342,149,0,45,174,115,168,105,123,109,0,45,36,55,87,88,77,70,9,46,9,45,59,70,1395,391,141,115,526,230,728,246
5,Central,4505,594,2153,421,296,110,0,34,68,64,228,96,701,229,0,34,304,193,397,126,406,223,0,34,91,87,315,173,45,57,0,34,0,34,45,57,333,213,222,127,0,34,48,71,174,104,111,174,0,34,30,57,81,127,28,44,0,34,13,39,15,40,750,290,96,150,330,177,324,164,2352,341,325,123,0,34,96,81,229,99,1217,214,28,47,274,122,915,180,278,120,0,34,93,78,185,103,17,38,0,34,0,34,17,38,179,102,101,85,0,34,60,69,41,60,78,76,0,34,0,34,78,76,82,65,0,34,33,47,49,54,532,224,99,155,226,119,207,116
6,East,7540,739,3817,522,678,199,22,56,203,101,453,169,1654,336,91,82,642,190,921,268,729,295,8,48,384,213,337,161,94,121,0,47,23,54,71,98,583,266,521,262,8,48,289,208,224,126,62,62,0,47,35,57,27,51,52,59,0,47,37,53,15,50,756,237,18,50,444,191,294,117,3723,477,1062,284,9,47,401,173,652,226,1635,313,198,129,666,195,771,194,248,145,15,50,163,137,70,60,15,50,15,50,0,47,0,47,184,150,165,147,0,47,127,143,38,56,19,54,0,47,19,54,0,47,49,56,0,47,17,51,32,52,778,270,10,45,418,240,350,141
7,Northeast,11076,908,4909,514,1125,216,43,64,210,111,872,187,2672,394,329,147,1109,273,1234,253,394,168,42,88,158,113,194,110,51,69,0,59,0,59,51,69,111,90,43,64,0,59,0,59,43,64,68,76,0,59,31,66,37,62,232,146,42,88,127,108,63,90,718,195,80,85,199,108,439,143,6167,596,1141,231,38,64,208,86,895,214,4011,525,599,292,1487,290,1925,344,384,159,43,89,153,104,188,112,19,60,0,59,0,59,19,60,113,95,61,90,0,59,38,84,23,67,52,66,0,59,21,61,31,64,252,136,43,89,94,84,115,101,631,171,69,77,235,104,327,118
8,North,8307,838,4254,570,386,124,18,52,99,68,269,101,2202,380,146,83,1040,313,1016,223,753,327,7,44,367,172,379,191,0,43,0,43,0,43,0,43,725,326,627,320,0,43,330,167,297,175,98,105,0,43,16,48,82,102,28,51,7,44,21,50,0,43,913,300,172,135,348,165,393,165,4053,511,611,160,23,51,137,77,451,135,2529,412,92,89,927,308,1510,251,429,258,0,43,294,243,135,83,18,49,0,43,0,43,18,49,313,249,266,240,0,43,230,238,36,49,47,69,0,43,17,49,30,62,98,64,0,43,47,56,51,56,484,175,49,60,132,84,303,154
9,Northwest,9833,835,4281,517,953,228,18,56,252,140,683,186,1693,350,86,123,443,180,1164,253,714,249,0,54,218,133,496,210,45,67,0,54,0,54,45,67,582,236,433,194,0,54,174,118,259,152,149,143,0,54,30,72,119,135,87,75,0,54,14,55,73,74,921,238,33,60,294,131,594,184,5552,525,1046,252,31,75,288,123,727,219,2808,353,99,87,789,228,1920,286,801,261,0,54,476,225,325,150,113,110,0,54,16,59,97,108,440,213,303,180,0,54,196,166,107,77,137,125,0,54,58,105,79,86,248,126,0,54,206,119,42,60,897,235,31,62,386,169,480,170
10,Ballard,4212,632,1803,394,687,211,0,43,235,149,452,148,466,145,51,58,122,80,293,113,395,246,0,43,159,110,236,162,30,51,0,43,0,43,30,51,328,239,268,234,0,43,120,107,148,152,60,59,0,43,13,45,47,57,37,52,0,43,26,49,11,45,255,111,0,43,36,48,219,106,2409,393,892,233,40,72,178,141,674,175,939,254,19,50,356,193,564,161,189,106,0,43,85,69,104,90,0,43,0,43,0,43,0,43,130,96,83,89,0,43,39,59,44,81,47,55,0,43,32,52,15,47,59,60,0,43,14,48,45,57,389,141,0,43,75,81,314,124
