area_id,area_name,b10051e001,b10051e001_moe,b10051e002,b10051e002_moe,b10051e003,b10051e003_moe,b10051e004,b10051e004_moe,b10051e005,b10051e005_moe,b10051e006,b10051e006_moe,b10051e007,b10051e007_moe
1,Southwest,0,48,0,48,0,48,0,48,0,48,0,48,0,48
2,Delridge Neighborhoods,67,72,20,48,11,40,9,39,47,65,25,56,22,51
3,Greater Duwamish,31,68,0,45,0,45,0,45,31,68,0,45,31,68
4,Southeast,17,61,0,45,0,45,0,45,17,61,0,45,17,61
5,Central,0,34,0,34,0,34,0,34,0,34,0,34,0,34
6,East,0,47,0,47,0,47,0,47,0,47,0,47,0,47
7,Northeast,0,59,0,59,0,59,0,59,0,59,0,59,0,59
8,North,40,69,0,43,0,43,0,43,40,69,0,43,40,69
9,Northwest,16,55,16,55,16,55,0,54,0,54,0,54,0,54
10,Ballard,0,43,0,43,0,43,0,43,0,43,0,43,0,43
11,Lake Union,0,42,0,42,0,42,0,42,0,42,0,42,0,42
12,Magnolia/Queen Anne,0,51,0,51,0,51,0,51,0,51,0,51,0,51
13,Downtown,0,29,0,29,0,29,0,29,0,29,0,29,0,29
