area_id,area_name,b11001a001,b11001a001_moe,b11001a002,b11001a002_moe,b11001a003,b11001a003_moe,b11001a004,b11001a004_moe,b11001a005,b11001a005_moe,b11001a006,b11001a006_moe,b11001a007,b11001a007_moe,b11001a008,b11001a008_moe,b11001a009,b11001a009_moe
1,Southwest,21073,463,10617,462,8915,447,1702,277,434,148,1268,234,10456,542,7741,477,2715,366
2,Delridge Neighborhoods,10162,408,4717,351,3548,344,1169,222,366,143,803,182,5445,414,3885,362,1560,279
3,Greater Duwamish,5929,386,2892,316,2041,276,851,201,291,119,560,167,3037,307,2036,264,1001,198
4,Southeast,8079,420,4635,367,3376,317,1259,257,308,132,951,225,3444,375,2295,325,1149,247
5,Central,8846,384,3552,311,2993,276,559,169,142,85,417,147,5294,406,3440,360,1854,271
6,East,23535,663,5347,481,4866,451,481,156,107,65,374,148,18188,736,13659,713,4529,480
7,Northeast,24437,529,12386,446,10555,420,1831,278,522,156,1309,233,12051,583,7966,495,4085,410
8,North,14501,435,6829,408,5370,356,1459,272,416,146,1043,239,7672,470,6339,452,1333,225
9,Northwest,27093,554,12554,544,10651,530,1903,261,540,149,1363,220,14539,618,10006,533,4533,456
10,Ballard,19226,385,9505,439,7945,432,1560,274,467,165,1093,219,9721,485,6940,464,2781,372
11,Lake Union,19568,589,5575,393,4707,367,868,198,387,140,481,139,13993,614,9927,592,4066,426
12,Magnolia/Queen Anne,25813,585,10785,511,9749,491,1036,204,260,100,776,183,15028,661,11704,626,3324,408
13,Downtown,7434,437,1255,235,1204,229,51,46,0,29,51,46,6179,441,5357,469,822,216
