area_id,area_name,b06004c001,b06004c001_moe,b06004c002,b06004c002_moe,b06004c003,b06004c003_moe,b06004c004,b06004c004_moe,b06004c005,b06004c005_moe
1,Southwest,361,183,260,158,101,94,0,48,0,48
2,Delridge Neighborhoods,232,161,178,134,36,53,0,38,18,47
3,Greater Duwamish,464,245,294,187,170,107,0,45,0,45
4,Southeast,377,184,226,133,35,53,0,45,116,121
5,Central,170,111,91,94,64,62,0,34,15,40
6,East,772,262,283,198,442,148,0,47,47,70
7,Northeast,372,167,224,132,143,91,0,59,5,58
8,North,371,230,133,105,238,199,0,43,0,43
9,Northwest,595,237,237,125,273,138,12,56,73,122
10,Ballard,147,90,45,67,82,69,0,43,20,50
11,Lake Union,447,175,250,150,197,96,0,42,0,42
12,Magnolia/Queen Anne,444,193,197,108,187,125,0,51,60,88
13,Downtown,178,108,69,81,99,75,0,29,10,29
