area_id,area_name,b25003d001,b25003d001_moe,b25003d002,b25003d002_moe,b25003d003,b25003d003_moe
1,Southwest,826,177,562,150,264,107
2,Delridge Neighborhoods,1788,241,1046,195,742,194
3,Greater Duwamish,6214,353,3968,319,2246,321
4,Southeast,3454,299,2176,237,1278,256
5,Central,1324,204,480,117,844,176
6,East,2777,383,700,189,2077,335
7,Northeast,3688,347,1304,198,2384,306
8,North,2805,313,1041,165,1764,289
9,Northwest,2975,321,1567,247,1408,273
10,Ballard,936,196,542,137,394,151
11,Lake Union,2649,364,517,140,2132,348
12,Magnolia/Queen Anne,1962,317,748,194,1214,268
13,Downtown,2136,271,320,153,1816,231
