area_id,area_name,b25003g001,b25003g001_moe,b25003g002,b25003g002_moe,b25003g003,b25003g003_moe
1,Southwest,582,163,364,126,218,106
2,Delridge Neighborhoods,663,182,294,125,369,144
3,Greater Duwamish,733,191,360,130,373,144
4,Southeast,801,208,437,147,364,153
5,Central,604,199,201,93,403,172
6,East,893,228,181,104,712,205
7,Northeast,1128,234,272,109,856,211
8,North,585,169,190,84,395,142
9,Northwest,980,236,417,134,563,205
10,Ballard,616,212,109,60,507,205
11,Lake Union,1002,248,213,99,789,230
12,Magnolia/Queen Anne,1002,264,220,104,782,245
13,Downtown,449,153,75,63,374,140
