area_id,area_name,b17022001,b17022001_moe,b17022002,b17022002_moe,b17022003,b17022003_moe,b17022004,b17022004_moe,b17022005,b17022005_moe,b17022006,b17022006_moe,b17022007,b17022007_moe,b17022008,b17022008_moe,b17022009,b17022009_moe,b17022010,b17022010_moe,b17022011,b17022011_moe,b17022012,b17022012_moe,b17022013,b17022013_moe,b17022014,b17022014_moe,b17022015,b17022015_moe,b17022016,b17022016_moe,b17022017,b17022017_moe,b17022018,b17022018_moe,b17022019,b17022019_moe,b17022020,b17022020_moe,b17022021,b17022021_moe,b17022022,b17022022_moe,b17022023,b17022023_moe,b17022024,b17022024_moe,b17022025,b17022025_moe,b17022026,b17022026_moe,b17022027,b17022027_moe,b17022028,b17022028_moe,b17022029,b17022029_moe,b17022030,b17022030_moe,b17022031,b17022031_moe,b17022032,b17022032_moe,b17022033,b17022033_moe,b17022034,b17022034_moe,b17022035,b17022035_moe,b17022036,b17022036_moe,b17022037,b17022037_moe,b17022038,b17022038_moe,b17022039,b17022039_moe,b17022040,b17022040_moe,b17022041,b17022041_moe,b17022042,b17022042_moe,b17022043,b17022043_moe,b17022044,b17022044_moe,b17022045,b17022045_moe,b17022046,b17022046_moe,b17022047,b17022047_moe,b17022048,b17022048_moe,b17022049,b17022049_moe,b17022050,b17022050_moe,b17022051,b17022051_moe,b17022052,b17022052_moe,b17022053,b17022053_moe,b17022054,b17022054_moe,b17022055,b17022055_moe,b17022056,b17022056_moe,b17022057,b17022057_moe,b17022058,b17022058_moe,b17022059,b17022059_moe,b17022060,b17022060_moe,b17022061,b17022061_moe,b17022062,b17022062_moe,b17022063,b17022063_moe,b17022064,b17022064_moe,b17022065,b17022065_moe,b17022066,b17022066_moe,b17022067,b17022067_moe,b17022068,b17022068_moe,b17022069,b17022069_moe,b17022070,b17022070_moe,b17022071,b17022071_moe,b17022072,b17022072_moe,b17022073,b17022073_moe,b17022074,b17022074_moe,b17022075,b17022075_moe,b17022076,b17022076_moe,b17022077,b17022077_moe,b17022078,b17022078_moe,b17022079,b17022079_moe,b17022080,b17022080_moe,b17022081,b17022081_moe
1,Southwest,11615,463,404,136,225,91,124,76,8,47,11,48,105,70,101,69,179,103,27,54,19,55,0,48,0,48,19,55,8,48,152,96,94,88,0,48,84,87,10,49,58,61,123,88,42,59,0,48,0,48,0,48,0,48,42,59,81,80,23,58,23,58,23,58,0,48,0,48,0,48,58,70,58,70,52,71,0,48,6,48,0,48,341,138,165,101,65,59,0,48,16,51,49,56,100,94,176,110,10,48,0,48,0,48,0,48,0,48,10,48,166,109,89,67,28,55,0,48,61,60,77,96,10747,461,9146,444,3960,268,1131,216,766,190,2063,265,5186,395,1601,281,402,140,159,80,41,64,10,49,108,65,243,120,1199,243,796,207,178,107,82,94,536,169,403,128
2,Delridge Neighborhoods,7898,410,1192,260,427,142,301,122,8,39,177,106,116,71,126,84,765,234,46,52,46,52,32,50,0,38,14,41,0,38,719,232,603,209,154,139,30,51,419,160,116,106,316,133,111,81,63,67,0,38,37,53,26,56,48,55,205,105,19,45,19,45,0,38,0,38,19,45,0,38,186,100,127,92,0,38,0,38,127,92,59,55,318,147,138,104,48,55,28,52,0,38,20,42,90,95,180,103,63,77,27,52,0,38,0,38,27,52,36,68,117,79,80,68,0,38,0,38,80,68,37,49,6072,385,4530,366,1944,264,798,196,322,116,824,172,2586,306,1542,265,630,188,285,109,12,38,22,49,251,105,345,163,912,191,549,150,145,69,98,77,306,122,363,114
3,Greater Duwamish,10023,429,1806,302,695,171,488,152,96,99,221,112,171,96,207,96,1111,252,173,95,117,84,20,46,6,47,91,80,56,54,938,241,824,231,70,68,355,172,399,159,114,81,435,152,302,119,204,108,0,45,92,90,112,72,98,64,133,99,79,69,75,68,28,52,0,45,47,63,4,45,54,85,54,85,0,45,0,45,54,85,0,45,585,179,384,149,219,118,27,49,104,102,88,67,165,100,201,101,85,78,85,78,46,70,0,45,39,54,0,45,116,78,71,65,10,47,54,65,7,45,45,59,7197,426,5244,395,2534,321,843,201,500,157,1191,229,2710,287,1953,301,728,191,220,99,81,65,39,69,100,61,508,170,1225,252,480,161,100,86,26,46,354,137,745,196
4,Southeast,10698,475,2028,350,828,256,496,206,57,84,284,164,155,96,332,159,1200,262,304,130,264,127,23,47,14,48,227,125,40,54,896,236,769,221,247,157,105,104,417,155,127,89,304,136,182,108,134,101,21,48,33,65,80,84,48,58,122,93,4,43,0,45,0,45,0,45,0,45,4,43,118,94,38,73,0,45,38,73,0,45,80,71,317,114,186,83,124,73,44,55,30,47,50,60,62,53,131,86,38,52,0,45,0,45,0,45,0,45,38,52,93,79,43,72,0,45,0,45,43,72,50,52,8049,481,5834,415,2428,284,773,176,456,142,1199,235,3406,347,2215,348,605,184,215,110,19,45,28,62,168,102,390,147,1610,305,890,227,112,100,38,51,740,207,720,202
5,Central,5827,366,600,188,294,139,208,129,99,113,11,36,98,70,86,51,306,137,48,65,48,65,14,38,34,63,0,34,0,34,258,124,171,102,39,47,27,55,105,86,87,79,95,76,54,56,16,42,0,34,0,34,16,42,38,48,41,61,0,34,0,34,0,34,0,34,0,34,0,34,41,61,41,61,0,34,0,34,41,61,0,34,157,84,56,50,13,39,0,34,0,34,13,39,43,46,101,74,10,36,10,36,10,36,0,34,0,34,0,34,91,73,48,59,11,38,28,55,9,35,43,55,4975,333,3908,308,1628,216,726,174,230,98,672,155,2280,266,1067,231,260,103,99,66,9,37,0,34,90,65,161,100,807,212,464,170,63,69,21,38,380,154,343,127
6,East,6914,493,679,170,202,81,120,71,9,47,49,59,62,63,82,57,477,155,92,78,60,63,49,60,0,47,11,48,32,66,385,152,278,139,173,130,20,53,85,73,107,73,158,160,142,160,133,160,90,151,43,65,0,47,9,47,16,47,0,47,0,47,0,47,0,47,0,47,0,47,16,47,0,47,0,47,0,47,0,47,16,47,293,124,154,93,30,58,23,58,7,47,0,47,124,86,139,90,61,58,10,47,0,47,0,47,10,47,51,58,78,83,78,83,61,79,0,47,17,52,0,47,5784,463,5236,430,1349,189,370,150,276,104,703,127,3887,393,548,165,205,104,61,58,15,49,0,47,46,52,144,97,343,134,225,101,58,63,0,47,167,93,118,96
7,Northeast,14739,465,743,162,270,98,151,82,69,67,41,66,41,65,119,77,473,139,198,104,35,61,0,59,0,59,35,61,163,101,275,103,161,80,58,68,40,68,63,70,114,83,149,105,92,95,85,95,60,92,13,61,12,60,7,59,57,70,27,64,16,62,16,62,0,59,0,59,11,60,30,66,0,59,0,59,0,59,0,59,30,66,287,99,181,85,56,63,20,60,12,59,24,61,125,79,106,73,0,59,0,59,0,59,0,59,0,59,0,59,106,73,64,67,0,59,0,59,64,67,42,62,13560,459,11768,452,5268,282,1361,210,925,159,2982,263,6500,386,1792,276,493,153,241,111,42,61,0,59,199,106,252,115,1299,232,603,148,158,81,37,80,408,123,696,179
8,North,9165,448,1102,236,544,165,161,83,35,51,50,57,76,58,383,147,558,185,131,93,31,47,0,43,0,43,31,47,100,89,427,160,380,156,126,94,117,80,137,92,47,56,220,111,97,84,21,54,0,43,0,43,21,54,76,77,123,80,62,70,0,43,0,43,0,43,0,43,62,70,61,56,36,52,7,43,12,46,17,49,25,48,292,121,163,98,74,76,0,43,10,43,64,76,89,71,129,78,0,43,0,43,0,43,0,43,0,43,0,43,129,78,66,65,0,43,27,59,39,51,63,55,7551,412,6004,375,2458,252,888,200,278,97,1292,183,3546,309,1547,279,580,174,207,106,10,45,3,42,194,106,373,146,967,224,449,169,112,88,22,47,315,152,518,144
9,Northwest,15452,570,1007,235,478,157,289,141,131,109,65,83,93,81,189,87,529,178,84,68,39,57,0,54,0,54,39,57,45,63,445,172,327,159,153,119,26,54,148,114,118,83,208,95,94,72,90,73,0,54,33,61,57,65,4,53,114,78,35,54,12,54,0,54,0,54,12,54,23,54,79,78,79,78,30,70,0,54,49,63,0,54,473,178,337,163,235,145,39,61,75,101,121,111,102,81,136,86,20,60,0,54,0,54,0,54,0,54,20,60,116,81,66,70,0,54,0,54,66,70,50,65,13764,563,11781,553,4783,317,1825,258,638,156,2320,264,6998,497,1983,275,506,148,311,126,86,72,0,54,225,114,195,91,1477,239,566,144,69,71,8,54,489,135,911,200
10,Ballard,10539,437,589,171,297,129,171,105,26,49,10,45,135,100,126,80,292,120,36,50,36,50,12,44,0,43,24,46,0,43,256,116,184,102,11,43,0,43,173,102,72,70,21,44,9,43,9,43,9,43,0,43,0,43,0,43,12,45,12,45,12,45,12,45,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,95,64,80,59,42,52,0,43,17,46,25,49,38,49,15,46,0,43,0,43,0,43,0,43,0,43,0,43,15,46,0,43,0,43,0,43,0,43,15,46,9834,438,8297,428,3305,260,1375,244,545,128,1385,196,4992,403,1537,271,528,178,314,138,110,80,0,43,204,118,214,114,1009,210,476,154,24,46,69,76,383,130,533,155
