area_id,area_name,b19313e001,b19313e001_moe
1,Southwest,973100,2364715
2,Delridge Neighborhoods,6598100,5308937
3,Greater Duwamish,7573300,5735891
4,Southeast,6427500,7626965
6,East,237700,341638
8,North,310000,418361
9,Northwest,4613900,3973562
10,Ballard,224900,439060
13,Downtown,101700,152743
