area_id,area_name,b06001001,b06001001_moe,b06001002,b06001002_moe,b06001003,b06001003_moe,b06001004,b06001004_moe,b06001005,b06001005_moe,b06001006,b06001006_moe,b06001007,b06001007_moe,b06001008,b06001008_moe,b06001009,b06001009_moe,b06001010,b06001010_moe,b06001011,b06001011_moe,b06001012,b06001012_moe,b06001013,b06001013_moe,b06001014,b06001014_moe,b06001015,b06001015_moe,b06001016,b06001016_moe,b06001017,b06001017_moe,b06001018,b06001018_moe,b06001019,b06001019_moe,b06001020,b06001020_moe,b06001021,b06001021_moe,b06001022,b06001022_moe,b06001023,b06001023_moe,b06001024,b06001024_moe,b06001025,b06001025_moe,b06001026,b06001026_moe,b06001027,b06001027_moe,b06001028,b06001028_moe,b06001029,b06001029_moe,b06001030,b06001030_moe,b06001031,b06001031_moe,b06001032,b06001032_moe,b06001033,b06001033_moe,b06001034,b06001034_moe,b06001035,b06001035_moe,b06001036,b06001036_moe,b06001037,b06001037_moe,b06001038,b06001038_moe,b06001039,b06001039_moe,b06001040,b06001040_moe,b06001041,b06001041_moe,b06001042,b06001042_moe,b06001043,b06001043_moe,b06001044,b06001044_moe,b06001045,b06001045_moe,b06001046,b06001046_moe,b06001047,b06001047_moe,b06001048,b06001048_moe,b06001049,b06001049_moe,b06001050,b06001050_moe,b06001051,b06001051_moe,b06001052,b06001052_moe,b06001053,b06001053_moe,b06001054,b06001054_moe,b06001055,b06001055_moe,b06001056,b06001056_moe,b06001057,b06001057_moe,b06001058,b06001058_moe,b06001059,b06001059_moe,b06001060,b06001060_moe
1,Southwest,49334,1084,2971,401,6077,476,1739,332,7886,690,8397,539,8217,542,3529,377,1617,272,1908,307,3537,367,3456,354,23847,1034,2695,389,5169,456,1098,263,3797,534,2465,358,3115,371,1561,253,591,150,742,187,1562,302,1052,211,20689,911,264,126,639,213,394,156,3222,446,4722,490,4399,451,1740,288,892,193,1015,222,1513,247,1889,277,880,219,12,49,75,83,23,59,165,116,237,118,224,100,59,62,0,48,18,53,26,53,41,52,3918,471,0,48,194,106,224,128,702,205,973,207,479,153,169,83,134,98,133,111,436,152,474,170
2,Delridge Neighborhoods,34331,1051,2412,400,4573,495,2594,478,6959,652,6242,514,4810,414,1979,305,656,185,937,221,2024,253,1145,195,14388,831,2214,389,3471,441,1541,349,2200,376,2056,313,1150,213,639,197,239,109,336,140,326,112,216,91,11563,741,55,55,583,183,471,201,2769,431,2492,363,2126,296,775,177,214,104,359,123,965,197,754,166,537,185,0,38,27,46,14,39,175,105,103,90,118,93,63,62,0,38,15,40,22,51,0,38,7843,769,143,142,492,203,568,218,1815,392,1591,320,1416,303,502,148,203,99,227,109,711,178,175,80
3,Greater Duwamish,47182,1787,3591,543,7187,777,4067,526,7977,724,7113,677,6482,542,2708,417,1055,219,1436,294,2620,340,2946,315,15387,928,3071,425,4813,515,1756,324,1731,307,1130,246,1092,238,504,162,174,91,145,80,301,108,670,188,10488,831,359,252,750,226,773,237,2503,389,1738,309,1931,324,700,213,181,90,346,125,565,169,642,183,942,264,19,49,163,133,94,72,99,89,165,129,97,75,105,98,26,47,0,45,85,64,89,82,20365,1419,142,96,1461,507,1444,355,3644,552,4080,610,3362,458,1399,311,674,179,945,264,1669,292,1545,251
4,Southeast,45972,1502,3002,465,7074,742,3516,483,5636,679,7918,603,6938,546,3254,383,1572,290,1326,243,3177,353,2559,368,17594,1159,2549,447,5335,689,1738,333,1709,395,1928,358,1831,315,654,179,382,141,414,140,430,127,624,154,14311,875,271,142,912,259,526,207,1844,365,2805,382,2593,335,1350,241,739,208,505,138,1631,261,1135,252,1110,286,46,64,127,94,141,102,163,123,211,107,179,101,111,73,0,45,15,48,87,93,30,45,12957,1020,136,85,700,225,1111,314,1920,382,2974,482,2335,379,1139,255,451,155,392,138,1029,233,770,169
5,Central,29698,992,1728,313,2787,399,2610,480,6288,631,5178,451,3991,398,1839,287,593,175,1055,197,1973,249,1656,248,10215,796,1591,309,2057,334,1192,301,1758,331,983,224,1116,232,393,149,147,82,290,102,457,169,231,100,14410,777,122,65,403,156,925,246,3263,447,3048,354,2243,320,1157,244,417,151,685,171,1150,205,997,203,568,186,15,38,78,79,65,88,200,131,125,70,45,49,14,38,0,34,9,36,0,34,17,38,4505,594,0,34,249,209,428,210,1067,293,1022,223,587,165,275,114,29,44,71,57,366,124,411,134
6,East,51309,1222,1522,333,2469,350,7440,740,15970,1010,8020,658,5779,528,2246,340,1134,245,1358,252,2907,342,2464,284,15345,851,1350,317,1900,282,2479,372,3778,488,1669,317,1715,289,582,161,215,114,474,132,498,149,685,172,27164,1080,108,104,347,128,3832,516,9257,757,4754,509,3143,401,1198,243,841,218,648,174,1749,262,1287,214,1260,256,26,61,103,95,123,91,389,154,273,133,183,113,47,54,0,47,19,52,58,79,39,51,7540,739,38,54,119,81,1006,267,2546,508,1324,337,738,228,419,176,78,70,217,129,602,207,453,141
7,Northeast,79252,1825,3583,367,7909,456,22115,1686,12107,808,9445,546,8694,543,4397,389,1538,224,2019,283,4032,328,3413,384,33428,1393,3209,354,6243,436,10000,1101,4022,517,2463,343,2730,362,1309,199,521,129,477,127,1235,200,1219,289,33126,1216,266,96,1112,240,8075,845,5862,589,5344,464,4423,396,2382,299,775,168,1294,226,2021,257,1572,238,1622,273,43,62,76,72,550,170,283,128,171,87,252,115,123,90,12,60,75,70,23,61,14,58,11076,908,65,68,478,157,3490,633,1940,327,1467,276,1289,290,583,181,230,99,173,95,753,196,608,175
8,North,40013,1085,2074,313,4094,415,3737,528,8334,711,6103,498,5281,463,3269,338,970,178,1153,188,2162,283,2836,311,16535,805,1895,303,2890,320,1746,360,2972,402,1834,302,1766,274,1021,211,376,110,353,108,678,189,1004,202,14463,782,116,80,533,183,918,254,3323,489,2569,334,2474,321,1560,256,415,119,486,132,840,162,1229,206,708,203,0,43,104,104,69,77,137,97,115,60,88,58,65,59,0,43,29,48,40,69,61,88,8307,838,63,73,567,195,1004,308,1902,400,1585,263,953,221,623,174,179,93,285,93,604,178,542,161
9,Northwest,69963,1450,3965,473,6536,546,5551,696,16074,1017,11670,661,9262,630,4589,462,1633,270,2172,293,3663,396,4848,370,29136,1183,3532,460,5282,484,2957,506,5468,587,3168,380,3023,404,1666,288,603,163,779,188,1095,228,1563,246,29666,1155,267,128,829,263,1683,307,7778,731,6200,500,4533,454,2399,339,771,197,951,188,1789,279,2466,303,1328,264,95,94,65,66,180,120,345,147,354,118,182,96,67,65,16,59,0,54,0,54,24,60,9833,835,71,77,360,154,731,263,2483,448,1948,342,1524,315,457,143,243,96,442,142,779,178,795,194
10,Ballard,44470,1019,2700,319,4483,438,2740,551,10083,765,7512,508,6472,499,3531,397,968,196,1454,232,2389,284,2138,261,19543,962,2485,303,3425,349,1748,398,3521,507,1806,274,2382,355,1546,295,349,112,578,146,887,188,816,198,19995,876,154,78,849,260,697,233,5399,550,4599,422,3360,365,1694,259,479,142,729,161,1007,198,1028,197,720,186,14,46,15,46,30,50,220,107,146,91,154,82,50,67,19,44,15,46,57,67,0,43,4212,632,47,55,194,155,265,129,943,297,961,247,576,177,241,110,121,76,132,87,438,149,294,104
