area_id,area_name,b01001b001,b01001b001_moe,b01001b002,b01001b002_moe,b01001b003,b01001b003_moe,b01001b004,b01001b004_moe,b01001b005,b01001b005_moe,b01001b006,b01001b006_moe,b01001b007,b01001b007_moe,b01001b008,b01001b008_moe,b01001b009,b01001b009_moe,b01001b010,b01001b010_moe,b01001b011,b01001b011_moe,b01001b012,b01001b012_moe,b01001b013,b01001b013_moe,b01001b014,b01001b014_moe,b01001b015,b01001b015_moe,b01001b016,b01001b016_moe,b01001b017,b01001b017_moe,b01001b018,b01001b018_moe,b01001b019,b01001b019_moe,b01001b020,b01001b020_moe,b01001b021,b01001b021_moe,b01001b022,b01001b022_moe,b01001b023,b01001b023_moe,b01001b024,b01001b024_moe,b01001b025,b01001b025_moe,b01001b026,b01001b026_moe,b01001b027,b01001b027_moe,b01001b028,b01001b028_moe,b01001b029,b01001b029_moe,b01001b030,b01001b030_moe,b01001b031,b01001b031_moe
1,Southwest,918,276,560,199,0,48,38,60,0,48,13,49,0,48,0,48,64,74,98,88,147,91,142,114,53,59,0,48,0,48,5,46,358,162,20,55,0,48,14,50,0,48,0,48,0,48,81,73,4,46,80,84,31,59,118,122,0,48,5,46,5,43
2,Delridge Neighborhoods,4694,685,2263,387,334,193,324,165,266,129,72,64,56,58,182,106,197,127,94,93,278,115,106,73,246,127,80,59,28,46,0,38,2431,410,206,125,90,95,174,120,116,84,35,50,135,71,360,172,315,171,487,190,199,95,168,79,110,100,36,43,0,38
3,Greater Duwamish,8561,1268,4036,641,684,263,398,178,291,122,159,108,83,69,221,117,194,121,284,151,483,186,585,188,323,175,161,96,145,95,25,52,4525,815,343,175,625,274,596,242,141,121,202,115,142,93,258,169,343,147,572,195,513,162,396,128,196,98,122,75,76,87
4,Southeast,11678,1205,5785,723,330,181,362,179,575,191,282,137,154,112,340,178,443,216,227,156,1161,368,610,188,565,166,473,139,254,93,9,45,5893,742,416,199,380,198,421,193,178,136,99,102,584,210,353,178,160,113,829,274,882,240,731,188,618,169,97,70,145,85
5,Central,6516,871,3292,557,94,81,265,156,225,140,70,60,125,132,82,62,302,195,187,112,380,147,688,216,472,159,248,108,134,65,20,38,3224,526,185,128,121,93,152,117,120,84,123,105,196,125,121,81,145,98,267,139,468,138,520,217,349,128,289,104,168,75
6,East,3878,616,2323,391,259,130,48,62,123,116,16,47,64,69,219,115,203,132,197,118,252,133,409,160,354,132,126,100,22,50,31,56,1555,358,151,128,53,66,47,61,66,69,37,60,47,69,217,124,120,84,170,122,219,107,208,125,156,103,33,51,31,58
7,Northeast,1758,409,1002,307,56,71,48,80,15,60,42,69,85,87,134,121,47,71,16,62,166,103,175,120,124,88,26,62,68,92,0,59,756,251,72,88,8,59,63,87,8,58,46,69,224,129,56,70,3,57,54,94,47,67,76,86,16,62,53,74,30,71
8,North,1968,495,1187,343,78,82,40,53,89,78,47,53,0,43,124,95,116,110,262,168,168,124,105,84,51,54,107,85,0,43,0,43,781,261,14,47,77,90,23,48,46,52,28,52,80,95,161,103,53,57,160,117,98,94,36,60,0,43,2,40,3,42
9,Northwest,2847,661,1562,399,161,153,114,118,87,104,0,54,14,57,164,147,103,86,119,101,309,148,260,130,192,124,31,59,4,52,4,53,1285,339,133,101,65,106,0,54,17,56,37,77,57,69,180,129,264,160,254,148,130,85,55,66,46,80,41,66,6,53
10,Ballard,345,195,200,118,0,43,0,43,62,79,19,52,19,52,25,47,0,43,39,71,0,43,22,52,0,43,14,46,0,43,0,43,145,111,0,43,0,43,0,43,23,52,0,43,0,43,17,49,47,80,16,48,42,62,0,43,0,43,0,43,0,43
11,Lake Union,1291,379,718,218,40,73,18,49,0,42,7,42,16,44,92,87,56,65,44,51,63,62,145,90,226,133,0,42,11,45,0,42,573,260,20,52,0,42,123,107,0,42,0,42,54,91,68,89,13,45,78,82,160,88,0,42,48,54,0,42,9,43
12,Magnolia/Queen Anne,1551,543,1134,437,0,51,98,156,64,71,0,51,19,56,71,80,99,103,215,157,111,99,192,148,265,177,0,51,0,51,0,51,417,182,0,51,0,51,18,55,33,68,8,51,49,64,12,53,90,84,87,108,57,71,13,52,18,53,26,52,6,50
13,Downtown,1882,582,1400,420,81,100,36,54,52,61,14,37,10,28,8,32,65,61,285,174,210,151,339,172,239,120,61,54,0,29,0,29,482,246,64,71,79,108,16,37,2,28,0,29,62,58,35,59,30,40,12,33,57,53,125,83,0,29,0,29,0,29
