area_id,area_name,b05003a001,b05003a001_moe,b05003a002,b05003a002_moe,b05003a003,b05003a003_moe,b05003a004,b05003a004_moe,b05003a005,b05003a005_moe,b05003a006,b05003a006_moe,b05003a007,b05003a007_moe,b05003a008,b05003a008_moe,b05003a009,b05003a009_moe,b05003a010,b05003a010_moe,b05003a011,b05003a011_moe,b05003a012,b05003a012_moe,b05003a013,b05003a013_moe,b05003a014,b05003a014_moe,b05003a015,b05003a015_moe,b05003a016,b05003a016_moe,b05003a017,b05003a017_moe,b05003a018,b05003a018_moe,b05003a019,b05003a019_moe,b05003a020,b05003a020_moe,b05003a021,b05003a021_moe,b05003a022,b05003a022_moe,b05003a023,b05003a023_moe
1,Southwest,43018,1122,20064,744,3262,365,3228,363,34,60,14,50,20,54,16802,625,15893,613,909,223,520,166,389,146,22954,820,3900,439,3881,438,19,54,0,48,19,54,19054,635,17836,637,1218,266,717,188,501,182
2,Delridge Neighborhoods,20663,1097,10463,676,1507,317,1364,257,143,180,17,46,126,179,8956,586,8047,558,909,303,321,144,588,279,10200,680,1516,335,1470,333,46,55,19,48,27,47,8684,550,7975,513,709,194,278,112,431,144
3,Greater Duwamish,14008,1090,7583,748,1014,285,921,261,93,113,0,45,93,113,6569,629,5419,472,1150,400,210,197,940,334,6425,637,1270,366,1221,361,49,69,14,49,35,67,5155,424,4502,389,653,207,261,125,392,155
4,Southeast,18965,1117,9163,758,1813,343,1694,322,119,121,7,45,112,121,7350,605,6244,459,1106,385,403,181,703,356,9802,631,1656,268,1656,268,0,45,0,45,0,45,8146,552,7306,519,840,210,334,107,506,171
5,Central,17930,826,8596,527,1083,219,1072,218,11,37,0,34,11,37,7513,485,6784,461,729,225,268,102,461,214,9334,590,1229,239,1229,239,0,34,0,34,0,34,8105,490,7230,489,875,212,427,144,448,171
6,East,39283,1314,20099,942,1222,218,1176,212,46,67,0,47,46,67,18877,906,17480,892,1397,328,595,193,802,246,19184,913,1340,259,1340,259,0,47,0,47,0,47,17844,843,16196,808,1648,374,751,224,897,307
7,Northeast,61149,1694,30140,1223,4322,359,4223,355,99,88,14,60,85,84,25818,1162,24065,1124,1753,297,927,213,826,213,31009,1069,4423,351,4328,347,95,77,53,66,42,70,26586,981,24874,980,1712,270,1098,224,614,151
8,North,28625,1040,14060,644,2099,301,2019,297,80,70,8,44,72,70,11961,533,10855,524,1106,241,505,153,601,199,14565,700,2062,313,1967,296,95,89,12,45,83,87,12503,545,11263,537,1240,270,647,157,593,229
9,Northwest,54294,1360,26827,932,3772,396,3736,393,36,60,11,55,25,59,23055,829,21170,795,1885,366,862,218,1023,307,27467,907,3544,389,3430,384,114,105,16,54,98,105,23923,783,22129,784,1794,309,1043,252,751,181
10,Ballard,39076,1013,19831,750,3143,374,3047,333,96,138,0,43,96,138,16688,615,15477,609,1211,285,628,185,583,208,19245,715,2782,332,2754,329,28,48,14,46,14,45,16463,604,15125,591,1338,283,747,181,591,229
11,Lake Union,35178,1218,18537,866,1532,215,1521,213,11,41,11,41,0,42,17005,830,15675,828,1330,281,386,139,944,244,16641,887,1376,201,1360,198,16,54,16,54,0,42,15265,846,14411,829,854,199,419,139,435,138
12,Magnolia/Queen Anne,50034,1394,24340,1020,3306,360,3269,353,37,64,11,51,26,64,21034,925,19315,926,1719,303,834,206,885,213,25694,1030,3280,428,3187,424,93,73,46,64,47,61,22414,907,20633,909,1781,302,966,232,815,194
13,Downtown,10491,626,6414,511,196,60,196,60,0,29,0,29,0,29,6218,507,5520,453,698,197,203,112,495,164,4077,410,25,32,25,32,0,29,0,29,0,29,4052,406,3737,410,315,133,102,74,213,111
