area_id,area_name,b19001i001,b19001i001_moe,b19001i002,b19001i002_moe,b19001i003,b19001i003_moe,b19001i004,b19001i004_moe,b19001i005,b19001i005_moe,b19001i006,b19001i006_moe,b19001i007,b19001i007_moe,b19001i008,b19001i008_moe,b19001i009,b19001i009_moe,b19001i010,b19001i010_moe,b19001i011,b19001i011_moe,b19001i012,b19001i012_moe,b19001i013,b19001i013_moe,b19001i014,b19001i014_moe,b19001i015,b19001i015_moe,b19001i016,b19001i016_moe,b19001i017,b19001i017_moe
1,Southwest,790,206,87,68,0,48,16,52,42,67,37,59,16,52,44,66,15,51,30,58,109,106,13,49,50,63,50,61,98,86,71,70,112,86
2,Delridge Neighborhoods,1611,266,77,68,101,76,69,71,199,142,151,110,49,61,22,44,68,61,82,74,95,70,313,161,237,128,91,68,11,41,29,49,17,40
3,Greater Duwamish,1098,216,92,84,61,68,52,57,80,96,147,104,65,70,79,76,63,73,57,65,93,87,139,90,35,54,25,46,21,53,31,62,58,66
4,Southeast,1147,268,137,102,90,108,99,88,90,110,4,50,81,86,66,74,13,47,11,45,196,139,107,88,140,91,38,59,0,45,29,53,46,83
5,Central,681,177,25,41,75,73,0,34,9,34,32,59,30,46,28,55,23,40,90,77,71,65,0,34,132,80,31,49,88,65,11,36,36,51
6,East,1397,278,102,71,98,81,76,66,111,106,187,170,100,81,13,50,102,81,67,65,57,81,79,73,53,54,191,111,25,50,95,85,41,56
7,Northeast,873,221,173,117,70,101,31,68,9,59,57,95,13,61,0,59,40,69,0,59,0,59,177,111,45,62,121,80,47,63,63,65,27,61
8,North,1148,247,115,121,21,44,101,99,120,104,13,47,42,52,98,118,49,52,80,88,117,81,126,86,109,75,91,62,0,43,16,49,50,50
9,Northwest,1673,320,138,122,30,60,41,62,116,100,81,85,142,112,59,73,188,139,144,98,86,82,235,132,112,76,70,67,80,83,119,72,32,61
10,Ballard,944,255,47,57,0,43,26,49,0,43,106,95,161,155,7,43,157,118,17,50,69,72,83,89,51,51,54,55,29,50,43,55,94,96
11,Lake Union,1043,239,64,72,80,67,53,59,37,57,34,54,106,110,14,45,32,52,73,65,107,73,159,112,95,64,100,88,42,55,47,57,0,42
12,Magnolia/Queen Anne,998,235,50,57,43,71,36,76,29,59,32,58,20,60,0,51,92,77,9,50,108,101,221,115,137,105,69,71,40,66,41,59,71,94
13,Downtown,410,159,103,77,13,33,19,42,8,31,21,38,31,54,95,102,31,42,0,29,0,29,25,43,19,43,12,33,15,37,18,40,0,29
