area_id,area_name,b16008001,b16008001_moe,b16008002,b16008002_moe,b16008003,b16008003_moe,b16008004,b16008004_moe,b16008005,b16008005_moe,b16008006,b16008006_moe,b16008007,b16008007_moe,b16008008,b16008008_moe,b16008009,b16008009_moe,b16008010,b16008010_moe,b16008011,b16008011_moe,b16008012,b16008012_moe,b16008013,b16008013_moe,b16008014,b16008014_moe,b16008015,b16008015_moe,b16008016,b16008016_moe,b16008017,b16008017_moe,b16008018,b16008018_moe,b16008019,b16008019_moe,b16008020,b16008020_moe,b16008021,b16008021_moe,b16008022,b16008022_moe,b16008023,b16008023_moe,b16008024,b16008024_moe,b16008025,b16008025_moe,b16008026,b16008026_moe,b16008027,b16008027_moe,b16008028,b16008028_moe,b16008029,b16008029_moe,b16008030,b16008030_moe,b16008031,b16008031_moe,b16008032,b16008032_moe,b16008033,b16008033_moe,b16008034,b16008034_moe,b16008035,b16008035_moe,b16008036,b16008036_moe,b16008037,b16008037_moe,b16008038,b16008038_moe,b16008039,b16008039_moe,b16008040,b16008040_moe,b16008041,b16008041_moe,b16008042,b16008042_moe,b16008043,b16008043_moe,b16008044,b16008044_moe,b16008045,b16008045_moe,b16008046,b16008046_moe,b16008047,b16008047_moe,b16008048,b16008048_moe,b16008049,b16008049_moe,b16008050,b16008050_moe,b16008051,b16008051_moe,b16008052,b16008052_moe,b16008053,b16008053_moe
1,Southwest,46363,1013,42445,1028,5883,474,5250,475,209,132,156,121,53,69,424,181,311,156,113,102,36562,883,34522,932,885,263,714,244,171,88,1155,254,1033,238,122,73,3918,471,2388,355,98,71,98,71,0,48,0,48,0,48,0,48,0,48,0,48,2290,349,810,204,154,91,109,81,45,64,1326,280,961,216,365,186,1530,323,96,87,16,51,0,48,0,48,0,48,80,85,57,77,23,58,1434,300,523,158,75,92,62,92,13,49,836,249,460,171,376,172
2,Delridge Neighborhoods,31919,968,24219,981,4081,478,2668,396,541,249,458,243,83,86,872,232,667,244,205,136,20138,880,18318,850,886,323,656,269,230,136,934,227,765,210,169,108,7700,750,4454,562,68,77,24,46,44,69,44,69,0,38,0,38,0,38,0,38,4386,548,600,203,306,141,137,91,169,108,3480,526,1794,422,1686,307,3246,562,424,191,101,95,75,77,39,50,36,66,248,159,192,142,56,79,2822,500,332,121,1157,387,104,86,1053,381,1333,320,383,146,950,279
3,Greater Duwamish,43591,1593,23368,1098,5726,570,2248,424,651,252,552,240,99,90,2827,464,1716,368,1111,349,17642,887,14753,871,729,223,626,207,103,97,2160,382,1830,347,330,130,20223,1397,13273,1053,660,220,80,71,0,45,0,45,0,45,580,204,288,160,292,148,12613,976,806,238,429,231,218,126,211,198,11378,940,3403,522,7975,740,6950,1005,801,449,86,94,107,114,43,68,64,75,608,379,150,107,458,325,6149,827,315,135,1543,515,257,136,1286,448,4291,629,669,225,3622,606
4,Southeast,42970,1435,30149,1306,6374,726,4272,599,533,240,482,239,51,74,1569,447,1130,382,439,172,23775,1042,21308,1040,839,242,751,246,88,90,1628,370,1433,351,195,103,12821,1003,7201,708,191,93,77,60,0,45,0,45,0,45,114,83,60,61,54,54,7010,686,630,161,322,174,151,98,171,124,6058,662,2287,394,3771,500,5620,818,509,204,19,50,95,96,95,96,0,45,395,178,133,87,262,156,5111,729,462,169,1022,428,158,148,864,370,3627,609,784,230,2843,526
5,Central,27970,929,23465,925,2538,341,2153,344,152,91,134,82,18,42,233,133,233,133,0,34,20927,813,19578,840,440,175,351,155,89,58,909,223,751,204,158,82,4505,594,2382,375,97,70,32,56,0,34,0,34,0,34,65,51,65,51,0,34,2285,349,728,189,151,91,122,85,29,44,1406,281,649,160,757,215,2123,493,152,199,13,36,11,37,11,37,0,34,128,199,0,34,128,199,1971,404,494,207,431,237,146,102,285,219,1046,282,590,235,456,171
6,East,49787,1164,42285,1183,2350,337,2128,332,27,52,24,51,3,45,195,96,86,69,109,77,39935,1127,36914,1151,1133,261,973,245,160,103,1888,356,1704,346,184,92,7502,736,3139,413,60,56,26,51,0,47,0,47,0,47,34,52,34,52,0,47,3079,408,1137,244,171,110,147,107,24,51,1771,328,936,241,835,211,4363,617,59,76,0,47,24,66,24,66,0,47,35,56,19,51,16,51,4304,603,941,274,653,332,202,123,451,312,2710,452,1499,325,1211,343
7,Northeast,75669,1815,64658,1756,7431,445,6724,444,125,82,115,79,10,60,582,202,526,186,56,67,57227,1676,51876,1645,1495,334,1363,325,132,75,3856,503,3332,444,524,173,11011,904,5408,611,247,109,226,104,21,66,21,66,0,59,0,59,0,59,0,59,5161,608,1622,297,252,137,230,132,22,61,3287,544,2205,429,1082,251,5603,681,231,119,39,69,56,90,56,90,0,59,136,87,126,83,10,60,5372,654,976,261,236,131,142,109,94,93,4160,610,2066,364,2094,438
8,North,37939,1028,29695,989,3527,382,2996,346,151,98,51,65,100,82,380,157,325,150,55,61,26168,815,24020,819,1028,291,822,243,206,115,1120,255,929,220,191,118,8244,830,3882,464,81,74,29,50,0,43,0,43,0,43,52,70,52,70,0,43,3801,453,900,228,254,170,115,82,139,143,2647,397,1178,297,1469,284,4362,690,486,183,77,84,179,116,42,67,137,112,230,128,93,86,137,101,3876,585,651,213,649,294,20,44,629,293,2576,505,1038,267,1538,427
9,Northwest,65998,1333,56236,1294,6176,531,5115,484,242,132,141,103,101,98,819,262,715,252,104,88,50060,1190,46938,1224,1183,299,1001,290,182,89,1939,307,1683,288,256,125,9762,826,5376,551,145,91,91,74,0,54,0,54,0,54,54,75,38,60,16,57,5231,543,1193,251,359,153,242,138,117,111,3679,475,1925,376,1754,325,4386,652,215,133,0,54,105,111,66,91,39,67,110,92,17,58,93,89,4171,598,1064,245,847,326,301,181,546,250,2260,431,1295,327,965,264
10,Ballard,41770,983,37605,959,4289,410,4064,407,56,62,56,62,0,43,169,100,113,74,56,78,33316,842,31307,836,886,282,740,246,146,124,1123,256,896,235,227,98,4165,632,2178,357,48,52,41,50,0,43,0,43,0,43,7,44,7,44,0,43,2130,351,935,211,131,95,45,50,86,92,1064,243,752,205,312,139,1987,500,146,147,27,47,83,137,83,137,0,43,36,66,0,43,36,66,1841,452,422,136,279,152,127,85,152,112,1140,403,845,357,295,136
