area_id,area_name,b27020001,b27020001_moe,b27020002,b27020002_moe,b27020003,b27020003_moe,b27020004,b27020004_moe,b27020005,b27020005_moe,b27020006,b27020006_moe,b27020007,b27020007_moe,b27020008,b27020008_moe,b27020009,b27020009_moe,b27020010,b27020010_moe,b27020011,b27020011_moe,b27020012,b27020012_moe,b27020013,b27020013_moe,b27020014,b27020014_moe,b27020015,b27020015_moe,b27020016,b27020016_moe,b27020017,b27020017_moe
1,Southwest,48549,1060,44739,1072,41468,1076,38815,1094,7700,495,3271,548,3810,465,2295,352,2026,333,1724,292,639,189,269,136,1515,323,1313,295,1284,292,224,133,202,116
2,Delridge Neighborhoods,34224,1046,26396,994,23096,907,18712,922,6455,618,3300,510,7828,769,4504,561,3963,508,2980,451,1368,285,541,180,3324,578,2121,457,1410,388,843,302,1203,357
3,Greater Duwamish,46942,1787,26598,1224,23126,1157,16399,1054,8888,898,3472,522,20344,1419,13316,1066,10937,844,7738,753,4305,520,2379,545,7028,1023,4436,764,2772,502,1955,632,2592,608
4,Southeast,45465,1460,32623,1319,29491,1259,22972,1151,9596,1022,3132,567,12842,1015,7209,716,5851,627,4299,492,2147,429,1358,373,5633,834,3437,580,2150,460,1508,363,2196,561
5,Central,29258,999,24858,981,22185,942,19385,865,5142,597,2673,497,4400,592,2305,369,2103,349,1710,326,651,175,202,106,2095,495,1740,444,1326,328,471,318,355,217
6,East,49404,1211,42119,1193,37111,1150,33053,1101,7631,647,5008,619,7285,734,3043,404,2641,379,2072,344,1017,220,402,173,4242,623,3395,503,2961,453,535,231,847,342
7,Northeast,79116,1823,68040,1759,63560,1715,60581,1722,8265,539,4480,580,11076,908,5408,611,5004,601,4364,479,1311,370,404,168,5668,685,5183,662,4985,656,357,132,485,173
8,North,39862,1083,31569,1025,28266,965,24345,914,7024,620,3303,502,8293,839,3868,463,3187,419,2602,391,1277,288,681,226,4425,705,3032,596,2599,546,601,234,1393,440
9,Northwest,69266,1459,59518,1397,53567,1371,48037,1303,11390,906,5951,684,9748,829,5339,548,4569,516,3980,474,1621,289,770,243,4409,661,3108,500,2753,471,449,159,1301,396
10,Ballard,44326,1011,40125,953,36782,903,34550,908,5584,516,3343,549,4201,632,2214,357,2018,336,1822,320,590,163,196,109,1987,500,1456,407,1335,397,269,185,531,267
11,Lake Union,44115,1324,38730,1316,34142,1091,31386,1095,5083,551,4588,788,5385,681,2009,334,1595,285,1364,255,382,147,414,179,3376,608,3040,585,2948,579,169,99,336,135
12,Magnolia/Queen Anne,59068,1388,52498,1390,48940,1375,46169,1362,7553,630,3558,539,6570,666,3370,463,3166,444,2805,433,1011,274,204,136,3200,496,2854,462,2731,452,270,137,346,173
13,Downtown,17106,915,12418,736,10939,677,7790,571,4236,548,1479,309,4688,560,2198,392,2021,391,895,205,1280,336,177,121,2490,451,2002,428,1585,374,588,273,488,160
