area_id,area_name,b07009001,b07009001_moe,b07009002,b07009002_moe,b07009003,b07009003_moe,b07009004,b07009004_moe,b07009005,b07009005_moe,b07009006,b07009006_moe,b07009007,b07009007_moe,b07009008,b07009008_moe,b07009009,b07009009_moe,b07009010,b07009010_moe,b07009011,b07009011_moe,b07009012,b07009012_moe,b07009013,b07009013_moe,b07009014,b07009014_moe,b07009015,b07009015_moe,b07009016,b07009016_moe,b07009017,b07009017_moe,b07009018,b07009018_moe,b07009019,b07009019_moe,b07009020,b07009020_moe,b07009021,b07009021_moe,b07009022,b07009022_moe,b07009023,b07009023_moe,b07009024,b07009024_moe,b07009025,b07009025_moe,b07009026,b07009026_moe,b07009027,b07009027_moe,b07009028,b07009028_moe,b07009029,b07009029_moe,b07009030,b07009030_moe,b07009031,b07009031_moe,b07009032,b07009032_moe,b07009033,b07009033_moe,b07009034,b07009034_moe,b07009035,b07009035_moe,b07009036,b07009036_moe
1,Southwest,38547,835,1241,310,5093,521,10929,689,13333,711,7951,593,32468,876,1121,297,4262,454,9021,624,11204,665,6860,551,4299,673,120,94,705,236,1330,318,1479,353,665,226,519,169,0,48,72,64,150,86,213,105,84,58,1099,342,0,48,54,59,428,243,316,129,301,150,162,99,0,48,0,48,0,48,121,95,41,55
2,Delridge Neighborhoods,24752,749,3047,486,4478,540,8034,588,6671,518,2522,309,20429,767,2685,467,3607,472,6541,510,5515,472,2081,291,2873,431,329,171,412,171,901,253,884,266,347,120,362,185,6,36,166,157,152,94,35,41,3,37,936,291,27,46,281,183,369,140,178,102,81,81,152,135,0,38,12,41,71,84,59,70,10,40
3,Greater Duwamish,32337,1102,8080,815,6706,650,7834,621,6785,658,2932,408,27542,984,6944,725,5857,606,6722,573,5574,565,2445,372,3170,533,763,266,632,202,737,223,772,236,266,140,336,145,54,72,56,76,110,83,89,73,27,57,602,213,74,94,116,98,168,99,145,103,99,79,687,361,245,177,45,56,97,87,205,125,95,101
4,Southeast,32380,1026,5121,589,5687,582,8659,694,7372,600,5541,486,27922,931,4352,542,4863,523,7540,649,6123,544,5044,461,3394,604,617,219,705,292,909,278,880,275,283,150,305,188,33,67,39,59,109,92,95,99,29,56,543,175,53,65,31,46,101,63,173,94,185,114,216,160,66,110,49,70,0,45,101,81,0,45
5,Central,22573,759,1477,296,2327,399,5209,523,7205,602,6355,486,17857,786,1242,270,1828,356,3929,447,5588,533,5270,422,3413,550,192,105,391,180,1045,283,1099,317,686,221,257,121,35,42,32,60,81,73,100,69,9,32,987,283,8,35,72,84,150,90,367,126,390,184,59,53,0,34,4,33,4,33,51,51,0,34
6,East,39878,1021,2006,347,3649,494,10276,778,14178,857,9769,678,28846,1050,1420,280,2476,409,7537,717,10137,707,7276,575,7225,748,465,178,824,224,1770,349,2674,463,1492,304,675,196,72,71,145,103,273,125,130,75,55,82,2535,477,49,103,93,77,652,223,972,274,769,234,597,241,0,47,111,122,44,85,265,154,177,131
7,Northeast,45645,937,799,221,3298,444,7771,650,17175,807,16602,763,38131,834,637,208,2819,413,6535,569,13996,723,14144,698,4943,607,118,91,322,122,988,327,2111,332,1404,280,476,175,25,71,95,85,80,71,160,103,116,78,1361,292,0,59,41,63,130,86,592,182,598,194,734,227,19,65,21,60,38,63,316,155,340,141
8,North,30108,772,2341,360,4391,582,7728,580,9410,592,6238,511,25386,799,1796,303,3525,500,6605,559,8051,551,5409,472,2887,484,366,159,505,219,726,209,821,191,469,148,759,242,148,107,195,130,255,146,112,64,49,72,882,290,12,45,166,149,117,73,315,140,272,135,194,96,19,48,0,43,25,46,111,82,39,43
9,Northwest,53911,1160,2647,429,6572,628,14314,878,18866,881,11512,710,44370,1144,2397,430,5545,535,11543,781,15084,829,9801,644,6499,756,162,89,658,248,1866,402,2646,422,1167,258,1163,314,29,56,160,89,534,255,364,156,76,70,1446,341,59,73,180,124,269,141,611,207,327,135,433,211,0,54,29,70,102,91,161,103,141,113
10,Ballard,34547,752,1284,292,3849,543,8621,719,13035,753,7758,663,28972,778,1200,287,3078,431,7504,676,10781,706,6409,529,3943,618,57,75,447,220,772,229,1664,374,1003,352,422,194,0,43,185,156,86,78,118,77,33,52,903,231,9,45,69,65,248,120,343,133,234,97,307,148,18,49,70,58,11,44,129,81,79,64
11,Lake Union,33554,979,905,231,2198,346,7278,613,14024,780,9149,617,24644,876,714,186,1673,305,5068,517,10236,677,6953,537,5709,645,150,112,351,141,1656,329,2344,369,1208,289,468,178,18,47,28,47,188,119,166,121,68,63,2393,476,23,46,146,118,334,184,1191,311,699,205,340,137,0,42,0,42,32,52,87,71,221,109
12,Magnolia/Queen Anne,44583,940,746,216,3102,460,9964,721,18120,844,12651,756,34969,1034,572,181,2451,405,7898,625,13975,777,10073,679,5832,667,77,69,370,161,1239,321,2845,435,1301,294,761,278,37,98,78,87,271,148,197,101,178,157,2654,496,17,59,203,136,539,229,845,227,1050,337,367,164,43,77,0,51,17,55,258,143,49,59
13,Downtown,14754,700,1972,318,1734,335,3447,418,4466,471,3135,383,10373,674,1704,304,1319,300,2267,375,3181,428,1902,278,2158,381,192,88,275,115,596,196,612,187,483,178,488,213,16,36,79,53,178,151,149,106,66,64,1520,303,60,84,51,58,398,127,393,147,618,177,215,130,0,29,10,31,8,30,131,106,66,69
