area_id,area_name,b25032d001,b25032d001_moe,b25032d002,b25032d002_moe,b25032d003,b25032d003_moe,b25032d004,b25032d004_moe,b25032d005,b25032d005_moe,b25032d006,b25032d006_moe,b25032d007,b25032d007_moe,b25032d008,b25032d008_moe,b25032d009,b25032d009_moe,b25032d010,b25032d010_moe,b25032d011,b25032d011_moe
1,Southwest,826,177,542,146,22,50,0,48,39,58,15,51,28,55,91,67,89,73,0,48,0,48
2,Delridge Neighborhoods,1788,241,1050,177,138,91,40,67,72,64,106,88,192,118,35,46,146,98,9,39,0,38
3,Greater Duwamish,6214,353,4466,311,532,149,218,132,157,105,140,101,104,59,92,65,473,157,32,57,0,45
4,Southeast,3454,299,2453,241,57,59,25,49,61,63,141,103,250,144,228,123,229,105,10,46,0,45
5,Central,1324,204,390,117,74,54,50,46,50,50,0,34,77,64,192,109,483,142,8,36,0,34
6,East,2777,383,269,125,40,56,28,52,53,61,225,116,538,223,479,139,1145,255,0,47,0,47
7,Northeast,3688,347,1307,209,210,98,99,96,101,86,176,97,564,202,719,193,512,166,0,59,0,59
8,North,2805,313,849,155,122,89,62,83,69,61,250,143,246,139,424,155,770,202,13,45,0,43
9,Northwest,2975,321,1239,226,213,104,44,63,116,91,309,129,284,155,367,158,403,126,0,54,0,54
10,Ballard,936,196,469,127,37,48,8,44,54,60,171,123,83,67,31,53,83,73,0,43,0,43
11,Lake Union,2649,364,299,105,31,43,46,50,65,71,139,94,246,125,505,199,1318,269,0,42,0,42
12,Magnolia/Queen Anne,1962,317,457,143,134,86,14,53,61,64,191,124,225,125,405,175,475,179,0,51,0,51
13,Downtown,2136,271,67,71,9,31,9,31,10,31,136,89,109,70,394,102,1402,253,0,29,0,29
