area_id,area_name,b05003b001,b05003b001_moe,b05003b002,b05003b002_moe,b05003b003,b05003b003_moe,b05003b004,b05003b004_moe,b05003b005,b05003b005_moe,b05003b006,b05003b006_moe,b05003b007,b05003b007_moe,b05003b008,b05003b008_moe,b05003b009,b05003b009_moe,b05003b010,b05003b010_moe,b05003b011,b05003b011_moe,b05003b012,b05003b012_moe,b05003b013,b05003b013_moe,b05003b014,b05003b014_moe,b05003b015,b05003b015_moe,b05003b016,b05003b016_moe,b05003b017,b05003b017_moe,b05003b018,b05003b018_moe,b05003b019,b05003b019_moe,b05003b020,b05003b020_moe,b05003b021,b05003b021_moe,b05003b022,b05003b022_moe,b05003b023,b05003b023_moe
1,Southwest,918,276,560,199,51,60,51,60,0,48,0,48,0,48,509,184,361,159,148,93,138,93,10,48,358,162,34,57,34,57,0,48,0,48,0,48,324,160,279,156,45,59,40,61,5,46
2,Delridge Neighborhoods,4694,685,2263,387,996,261,924,265,72,69,0,38,72,69,1267,246,734,202,533,171,427,150,106,92,2431,410,586,187,465,168,121,100,0,38,121,100,1845,320,1064,269,781,237,482,191,299,165
3,Greater Duwamish,8561,1268,4036,641,1532,428,1341,386,191,102,69,54,122,95,2504,401,1429,313,1075,282,708,217,367,175,4525,815,1705,622,1359,398,346,357,25,62,321,354,2820,409,1405,317,1415,320,934,272,481,202
4,Southeast,11678,1205,5785,723,1549,373,1391,344,158,118,75,73,83,101,4236,543,2708,426,1528,410,691,257,837,323,5893,742,1395,396,1306,393,89,80,41,53,48,75,4498,551,3420,458,1078,353,647,255,431,202
5,Central,6516,871,3292,557,654,260,543,213,111,152,15,41,96,150,2638,454,2106,384,532,230,303,169,229,127,3224,526,578,211,546,205,32,58,0,34,32,58,2646,427,2432,407,214,138,84,75,130,119
6,East,3878,616,2323,391,446,158,390,153,56,72,18,51,38,68,1877,331,1482,267,395,186,116,79,279,172,1555,358,317,160,306,159,11,48,11,48,0,47,1238,273,933,231,305,159,151,107,154,126
7,Northeast,1758,409,1002,307,161,135,145,135,16,60,0,59,16,60,841,256,718,233,123,89,80,84,43,64,756,251,151,111,125,110,26,61,0,59,26,61,605,204,432,169,173,119,117,104,56,72
8,North,1968,495,1187,343,254,138,168,102,86,94,34,67,52,78,933,293,378,162,555,245,233,162,322,187,781,261,160,96,128,89,32,51,0,43,32,51,621,213,349,154,272,152,141,131,131,87
9,Northwest,2847,661,1562,399,362,209,346,207,16,57,16,57,0,54,1200,299,768,240,432,174,219,115,213,128,1285,339,215,139,199,136,16,57,16,57,0,54,1070,272,592,206,478,195,261,149,217,136
10,Ballard,345,195,200,118,81,81,81,81,0,43,0,43,0,43,119,88,98,87,21,44,7,41,14,46,145,111,23,52,23,52,0,43,0,43,0,43,122,95,36,58,86,88,86,88,0,43
11,Lake Union,1291,379,718,218,65,78,65,78,0,42,0,42,0,42,653,201,562,190,91,69,54,56,37,57,573,260,143,121,143,121,0,42,0,42,0,42,430,174,283,125,147,113,93,96,54,60
12,Magnolia/Queen Anne,1551,543,1134,437,162,163,162,163,0,51,0,51,0,51,972,362,753,266,219,205,79,102,140,177,417,182,51,71,51,71,0,51,0,51,0,51,366,174,296,132,70,92,70,92,0,51
13,Downtown,1882,582,1400,420,183,200,102,144,81,95,30,53,51,84,1217,343,880,292,337,208,79,71,258,200,482,246,161,167,64,71,97,116,70,109,27,49,321,117,219,102,102,76,57,65,45,48
