area_id,area_name,b17001b001,b17001b001_moe,b17001b002,b17001b002_moe,b17001b003,b17001b003_moe,b17001b004,b17001b004_moe,b17001b005,b17001b005_moe,b17001b006,b17001b006_moe,b17001b007,b17001b007_moe,b17001b008,b17001b008_moe,b17001b009,b17001b009_moe,b17001b010,b17001b010_moe,b17001b011,b17001b011_moe,b17001b012,b17001b012_moe,b17001b013,b17001b013_moe,b17001b014,b17001b014_moe,b17001b015,b17001b015_moe,b17001b016,b17001b016_moe,b17001b017,b17001b017_moe,b17001b018,b17001b018_moe,b17001b019,b17001b019_moe,b17001b020,b17001b020_moe,b17001b021,b17001b021_moe,b17001b022,b17001b022_moe,b17001b023,b17001b023_moe,b17001b024,b17001b024_moe,b17001b025,b17001b025_moe,b17001b026,b17001b026_moe,b17001b027,b17001b027_moe,b17001b028,b17001b028_moe,b17001b029,b17001b029_moe,b17001b030,b17001b030_moe,b17001b031,b17001b031_moe,b17001b032,b17001b032_moe,b17001b033,b17001b033_moe,b17001b034,b17001b034_moe,b17001b035,b17001b035_moe,b17001b036,b17001b036_moe,b17001b037,b17001b037_moe,b17001b038,b17001b038_moe,b17001b039,b17001b039_moe,b17001b040,b17001b040_moe,b17001b041,b17001b041_moe,b17001b042,b17001b042_moe,b17001b043,b17001b043_moe,b17001b044,b17001b044_moe,b17001b045,b17001b045_moe,b17001b046,b17001b046_moe,b17001b047,b17001b047_moe,b17001b048,b17001b048_moe,b17001b049,b17001b049_moe,b17001b050,b17001b050_moe,b17001b051,b17001b051_moe,b17001b052,b17001b052_moe,b17001b053,b17001b053_moe,b17001b054,b17001b054_moe,b17001b055,b17001b055_moe,b17001b056,b17001b056_moe,b17001b057,b17001b057_moe,b17001b058,b17001b058_moe,b17001b059,b17001b059_moe
1,Southwest,898,276,340,183,213,135,0,48,0,48,38,60,0,48,0,48,0,48,0,48,57,62,0,48,79,107,39,57,0,48,0,48,127,99,0,48,0,48,0,48,0,48,0,48,0,48,0,48,85,74,0,48,0,48,42,82,0,48,0,48,558,200,342,138,0,48,0,48,0,48,0,48,0,48,13,49,0,48,105,95,147,91,63,61,14,51,0,48,0,48,216,131,20,55,0,48,0,48,14,50,0,48,0,48,0,48,0,48,75,85,31,59,76,102,0,48,0,48
2,Delridge Neighborhoods,4666,683,1668,503,840,335,172,133,0,38,272,175,43,58,9,40,28,58,100,99,50,54,117,91,0,38,12,40,23,46,14,42,828,240,124,88,0,38,10,40,51,68,34,56,19,42,116,80,174,146,156,80,31,47,38,46,73,95,2,34,2998,672,1422,354,162,143,28,61,96,83,151,96,9,39,26,43,138,90,241,148,161,105,105,74,234,126,57,54,14,42,1576,383,82,97,16,44,143,112,22,50,22,48,41,56,49,51,501,194,331,181,168,90,130,74,37,50,34,46
3,Greater Duwamish,8532,1267,3277,1190,1392,510,294,210,75,82,163,105,73,65,0,45,70,80,58,83,96,89,136,94,198,118,121,141,58,74,50,70,1885,756,143,141,44,58,454,233,263,176,50,69,79,75,131,99,237,163,142,102,130,83,125,93,28,50,59,82,5255,911,2642,515,390,182,35,70,258,164,85,80,22,48,67,75,246,127,382,170,347,167,387,159,200,112,103,74,120,83,2613,519,200,127,0,45,424,186,20,53,0,45,12,48,213,123,353,157,430,175,383,147,271,113,168,95,139,82
4,Southeast,11547,1199,2227,669,1111,348,46,68,85,88,94,99,54,76,32,53,0,45,111,138,147,125,256,177,85,87,104,80,72,67,25,48,1116,396,84,89,0,45,248,185,37,57,0,45,0,45,121,111,216,143,140,117,43,54,125,90,86,72,16,49,9320,1069,4588,651,284,173,30,54,401,190,202,117,0,45,250,135,383,171,523,231,905,299,525,173,458,152,401,136,226,86,4732,680,332,187,81,81,198,141,237,137,43,65,135,109,562,223,297,156,683,240,839,236,602,169,523,163,200,91
5,Central,6441,892,1349,523,648,271,54,66,0,34,74,103,32,58,15,41,0,34,30,48,107,115,74,77,153,125,27,41,82,70,0,34,701,291,104,107,11,37,0,34,8,34,0,34,69,76,114,105,23,40,49,67,44,50,59,65,106,83,114,71,5092,804,2623,516,40,57,66,81,240,146,78,64,0,34,55,55,177,137,378,229,306,127,535,187,438,157,166,87,144,64,2469,498,81,78,0,34,191,112,63,72,11,37,39,47,205,125,243,121,218,126,407,135,455,215,229,98,327,101
6,East,3232,603,1089,395,507,210,126,121,0,47,0,47,15,52,0,47,6,46,31,57,11,48,32,68,163,131,102,83,0,47,21,55,582,255,91,115,0,47,17,53,0,47,0,47,11,48,48,72,135,99,56,99,117,86,74,65,26,53,7,47,2143,460,1243,308,126,90,0,47,48,62,102,113,0,47,0,47,141,102,295,173,105,90,110,73,167,88,117,99,32,51,900,250,60,73,0,47,48,62,35,60,30,57,22,60,0,47,185,110,98,83,102,76,134,113,130,98,56,61
7,Northeast,1564,399,437,198,243,159,44,69,0,59,23,69,0,59,16,60,25,70,0,59,20,65,19,60,72,100,24,67,0,59,0,59,194,131,22,65,0,59,8,58,0,59,0,59,8,58,133,117,23,63,0,59,0,59,0,59,0,59,0,59,1127,337,667,242,12,61,0,59,7,59,12,61,0,59,0,59,156,132,37,69,147,102,102,88,100,82,26,62,68,92,460,204,26,63,8,59,41,86,14,61,0,59,0,59,59,77,36,65,54,94,47,67,76,86,16,62,83,84
8,North,1949,494,497,276,310,174,52,77,0,43,22,52,38,56,10,45,12,45,10,45,98,114,12,46,46,69,10,46,0,43,0,43,187,151,0,43,45,79,42,60,0,43,0,43,18,45,0,43,71,78,3,43,6,43,0,43,0,43,2,40,1452,407,862,279,26,49,11,46,47,70,11,46,25,50,0,43,101,91,280,165,156,123,59,55,39,50,107,85,0,43,590,227,14,47,0,43,13,47,0,43,17,48,10,43,108,99,143,93,157,117,92,92,36,60,0,43,0,43
9,Northwest,2775,658,752,282,420,208,51,95,0,54,0,54,0,54,0,54,0,54,123,131,36,64,31,60,80,95,90,108,9,54,0,54,332,162,17,59,0,54,0,54,0,54,0,54,1,52,70,82,143,120,29,61,56,69,14,56,2,51,0,54,2023,581,1107,342,110,131,0,54,192,149,9,54,0,54,0,54,55,87,186,116,278,144,180,103,88,78,9,54,0,54,916,303,116,98,0,54,65,106,0,54,0,54,16,57,24,64,301,169,225,145,67,70,37,63,40,79,25,62
10,Ballard,345,195,31,47,14,46,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,14,46,0,43,17,49,0,43,0,43,0,43,0,43,0,43,0,43,0,43,17,49,0,43,0,43,0,43,0,43,0,43,314,194,186,118,0,43,0,43,42,74,20,52,0,43,19,52,44,57,39,71,0,43,22,52,0,43,0,43,0,43,128,109,0,43,0,43,0,43,0,43,3,42,20,52,0,43,47,80,16,48,42,62,0,43,0,43,0,43
