area_id,area_name,b16005b001,b16005b001_moe,b16005b002,b16005b002_moe,b16005b003,b16005b003_moe,b16005b004,b16005b004_moe,b16005b005,b16005b005_moe,b16005b006,b16005b006_moe,b16005b007,b16005b007_moe,b16005b008,b16005b008_moe,b16005b009,b16005b009_moe,b16005b010,b16005b010_moe,b16005b011,b16005b011_moe
1,Southwest,898,273,705,235,667,231,38,60,38,60,0,48,193,118,38,57,155,113,150,114,5,46
2,Delridge Neighborhoods,4154,578,2647,484,2239,474,408,181,297,170,111,123,1507,410,130,112,1377,386,826,297,551,227
3,Greater Duwamish,7534,1005,4507,615,3173,566,1334,396,532,275,802,334,3027,736,262,181,2765,676,713,268,2052,580
4,Southeast,10932,1086,8126,860,7384,870,742,339,654,314,88,88,2806,661,178,127,2628,655,586,230,2042,552
5,Central,6237,815,5348,715,5200,718,148,92,101,82,47,53,889,407,109,76,780,400,236,132,544,355
6,East,3468,546,2717,470,2586,478,131,97,93,76,38,75,751,274,62,70,689,270,276,167,413,200
7,Northeast,1630,386,1302,324,1155,305,147,114,147,114,0,59,328,173,71,87,257,158,188,139,69,81
8,North,1876,469,931,288,804,272,127,99,72,73,55,77,945,355,38,68,907,344,415,210,492,233
9,Northwest,2553,587,1611,437,1407,395,204,197,204,197,0,54,942,326,122,96,820,313,416,205,404,208
10,Ballard,345,195,238,146,198,145,40,76,0,43,40,76,107,89,7,41,100,87,69,85,31,47
11,Lake Union,1231,337,993,284,948,276,45,75,45,75,0,42,238,141,36,55,202,135,138,114,64,60
12,Magnolia/Queen Anne,1551,543,1262,379,1233,378,29,57,29,57,0,51,289,251,26,56,263,250,110,118,153,151
13,Downtown,1737,474,1140,309,1006,292,134,94,105,82,29,52,597,352,49,54,548,349,311,256,237,163
