area_id,area_name,b25040001,b25040001_moe,b25040002,b25040002_moe,b25040003,b25040003_moe,b25040004,b25040004_moe,b25040005,b25040005_moe,b25040006,b25040006_moe,b25040007,b25040007_moe,b25040008,b25040008_moe,b25040009,b25040009_moe,b25040010,b25040010_moe
1,Southwest,23226,383,10874,485,187,87,8896,518,2785,318,0,48,229,129,22,50,125,89,108,90
2,Delridge Neighborhoods,14850,356,5371,390,138,68,8113,467,1069,187,0,38,95,64,0,38,51,50,13,42
3,Greater Duwamish,16086,331,6570,428,203,83,7392,444,1774,244,0,45,78,84,0,45,18,49,51,56
4,Southeast,17612,387,8361,458,142,89,7444,498,1492,248,0,45,90,62,0,45,46,65,37,50
5,Central,13921,329,6419,374,100,67,6695,412,475,143,0,34,46,51,32,54,89,64,65,68
6,East,29701,474,8088,544,272,101,19125,647,679,195,47,74,28,54,0,47,985,241,477,148
7,Northeast,30311,401,13347,492,216,93,12339,534,3931,331,16,62,80,69,0,59,179,100,203,122
8,North,19461,351,5919,383,138,87,11374,476,1783,232,0,43,36,45,10,44,74,94,127,95
9,Northwest,33168,437,13722,567,320,121,16247,626,2532,297,16,57,91,68,0,54,107,80,133,110
10,Ballard,21236,330,8981,446,94,67,8996,512,2830,301,0,43,101,66,37,59,142,95,55,56
11,Lake Union,24520,524,8677,514,268,111,14158,623,844,213,0,42,107,71,49,85,170,90,247,124
12,Magnolia/Queen Anne,29974,461,11165,538,200,85,16159,606,2117,300,16,55,12,53,43,76,115,80,147,83
13,Downtown,11410,381,1505,260,89,54,9214,446,75,81,67,93,106,94,0,29,211,114,143,75
