area_id,area_name,b17010i001,b17010i001_moe,b17010i002,b17010i002_moe,b17010i003,b17010i003_moe,b17010i004,b17010i004_moe,b17010i005,b17010i005_moe,b17010i006,b17010i006_moe,b17010i007,b17010i007_moe,b17010i008,b17010i008_moe,b17010i009,b17010i009_moe,b17010i010,b17010i010_moe,b17010i011,b17010i011_moe,b17010i012,b17010i012_moe,b17010i013,b17010i013_moe,b17010i014,b17010i014_moe,b17010i015,b17010i015_moe,b17010i016,b17010i016_moe,b17010i017,b17010i017_moe,b17010i018,b17010i018_moe,b17010i019,b17010i019_moe,b17010i020,b17010i020_moe,b17010i021,b17010i021_moe,b17010i022,b17010i022_moe,b17010i023,b17010i023_moe,b17010i024,b17010i024_moe,b17010i025,b17010i025_moe,b17010i026,b17010i026_moe,b17010i027,b17010i027_moe,b17010i028,b17010i028_moe,b17010i029,b17010i029_moe,b17010i030,b17010i030_moe,b17010i031,b17010i031_moe,b17010i032,b17010i032_moe,b17010i033,b17010i033_moe,b17010i034,b17010i034_moe,b17010i035,b17010i035_moe,b17010i036,b17010i036_moe,b17010i037,b17010i037_moe,b17010i038,b17010i038_moe,b17010i039,b17010i039_moe,b17010i040,b17010i040_moe,b17010i041,b17010i041_moe
1,Southwest,421,161,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,421,161,288,128,105,78,53,67,41,56,11,49,183,112,133,109,67,96,0,48,0,48,0,48,0,48,67,96,66,65,28,54,0,48,0,48,28,54,38,61
2,Delridge Neighborhoods,1025,228,211,106,116,83,116,83,0,38,116,83,0,38,0,38,95,76,17,45,17,45,17,45,0,38,0,38,0,38,78,71,78,71,0,38,10,40,68,70,0,38,814,228,469,183,161,81,34,48,17,45,110,69,308,168,345,168,235,138,69,60,0,38,22,49,47,50,166,133,110,97,83,93,50,85,0,38,33,53,27,48
3,Greater Duwamish,851,188,190,107,7,45,7,45,0,45,0,45,7,45,0,45,183,106,19,52,19,52,0,45,0,45,19,52,0,45,164,104,114,90,17,53,50,69,47,63,50,70,661,181,275,122,194,112,6,45,79,84,109,92,81,66,386,148,163,95,102,83,86,80,6,47,10,47,61,62,223,128,178,119,10,47,49,64,119,110,45,62
4,Southeast,719,220,132,110,68,86,31,66,0,45,31,66,0,45,37,72,64,82,0,45,0,45,0,45,0,45,0,45,0,45,64,82,64,82,36,71,28,62,0,45,0,45,587,203,217,116,133,105,20,53,103,99,10,47,84,65,370,179,123,108,41,79,0,45,0,45,41,79,82,88,247,149,183,121,0,45,105,111,78,76,64,98
5,Central,234,104,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,234,104,196,97,137,85,21,44,61,68,55,50,59,53,38,51,9,37,9,37,9,37,0,34,0,34,0,34,29,49,13,38,0,34,0,34,13,38,16,43
6,East,414,200,13,49,13,49,0,47,0,47,0,47,0,47,13,49,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,401,198,348,195,126,152,90,151,12,48,24,48,222,131,53,58,34,57,0,47,0,47,0,47,0,47,34,57,19,51,19,51,7,46,0,47,12,51,0,47
7,Northeast,325,107,27,63,17,62,0,59,0,59,0,59,0,59,17,62,10,60,0,59,0,59,0,59,0,59,0,59,0,59,10,60,0,59,0,59,0,59,0,59,10,60,298,102,263,98,148,83,33,60,44,64,71,74,115,75,35,62,11,60,11,60,0,59,0,59,11,60,0,59,24,60,19,60,10,60,0,59,9,59,5,58
8,North,799,201,140,111,44,57,44,57,0,43,44,57,0,43,0,43,96,105,0,43,0,43,0,43,0,43,0,43,0,43,96,105,86,104,0,43,43,79,43,81,10,45,659,178,459,144,145,75,29,52,0,43,116,68,314,130,200,108,119,89,67,73,0,43,0,43,67,73,52,68,81,74,44,62,44,62,0,43,0,43,37,59
9,Northwest,847,242,147,120,66,83,66,83,0,54,55,82,11,55,0,54,81,102,0,54,0,54,0,54,0,54,0,54,0,54,81,102,81,102,69,99,12,54,0,54,0,54,700,211,518,180,277,137,153,120,39,65,85,75,241,121,182,119,17,60,0,54,0,54,0,54,0,54,17,60,165,116,47,73,30,70,0,54,17,57,118,103
10,Ballard,364,154,14,48,14,48,0,43,0,43,0,43,0,43,14,48,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,350,152,285,138,91,87,28,51,7,43,56,84,194,122,65,70,50,68,50,68,50,68,0,43,0,43,0,43,15,47,15,47,0,43,0,43,15,47,0,43
11,Lake Union,232,128,48,57,35,54,0,42,0,42,0,42,0,42,35,54,13,45,0,42,0,42,0,42,0,42,0,42,0,42,13,45,0,42,0,42,0,42,0,42,13,45,184,121,99,68,13,45,0,42,13,45,0,42,86,66,85,107,75,106,75,106,75,106,0,42,0,42,0,42,10,43,10,43,0,42,0,42,10,43,0,42
12,Magnolia/Queen Anne,317,133,13,54,13,54,13,54,13,54,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,304,131,254,123,81,79,0,51,16,55,65,76,173,105,50,59,40,59,27,55,14,53,0,51,13,52,13,55,10,51,0,51,0,51,0,51,0,51,10,51
13,Downtown,25,43,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,25,43,25,43,0,29,0,29,0,29,0,29,25,43,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
