area_id,area_name,b08105f001,b08105f001_moe,b08105f002,b08105f002_moe,b08105f003,b08105f003_moe,b08105f004,b08105f004_moe,b08105f005,b08105f005_moe,b08105f006,b08105f006_moe,b08105f007,b08105f007_moe
1,Southwest,113,87,57,72,12,50,17,52,27,60,0,48,0,48
2,Delridge Neighborhoods,589,277,211,103,195,158,183,173,0,38,0,38,0,38
3,Greater Duwamish,313,199,222,133,61,85,0,45,18,49,0,45,12,53
4,Southeast,353,241,198,163,50,85,75,72,16,49,14,47,0,45
5,Central,215,115,95,81,44,61,16,41,28,43,20,38,12,36
6,East,374,151,169,111,0,47,43,68,134,107,14,50,14,49
7,Northeast,326,152,134,92,0,59,87,112,34,66,27,72,44,78
8,North,921,383,673,329,52,67,41,53,115,107,40,75,0,43
9,Northwest,949,305,407,187,98,116,330,152,37,66,0,54,77,82
10,Ballard,258,163,136,116,0,43,54,57,0,43,68,114,0,43
11,Lake Union,329,183,72,82,0,42,115,94,84,94,0,42,58,103
12,Magnolia/Queen Anne,399,166,170,98,76,108,105,80,48,75,0,51,0,51
13,Downtown,150,96,39,66,0,29,67,60,44,46,0,29,0,29
