area_id,area_name,b06010001,b06010001_moe,b06010002,b06010002_moe,b06010003,b06010003_moe,b06010004,b06010004_moe,b06010005,b06010005_moe,b06010006,b06010006_moe,b06010007,b06010007_moe,b06010008,b06010008_moe,b06010009,b06010009_moe,b06010010,b06010010_moe,b06010011,b06010011_moe,b06010012,b06010012_moe,b06010013,b06010013_moe,b06010014,b06010014_moe,b06010015,b06010015_moe,b06010016,b06010016_moe,b06010017,b06010017_moe,b06010018,b06010018_moe,b06010019,b06010019_moe,b06010020,b06010020_moe,b06010021,b06010021_moe,b06010022,b06010022_moe,b06010023,b06010023_moe,b06010024,b06010024_moe,b06010025,b06010025_moe,b06010026,b06010026_moe,b06010027,b06010027_moe,b06010028,b06010028_moe,b06010029,b06010029_moe,b06010030,b06010030_moe,b06010031,b06010031_moe,b06010032,b06010032_moe,b06010033,b06010033_moe,b06010034,b06010034_moe,b06010035,b06010035_moe,b06010036,b06010036_moe,b06010037,b06010037_moe,b06010038,b06010038_moe,b06010039,b06010039_moe,b06010040,b06010040_moe,b06010041,b06010041_moe,b06010042,b06010042_moe,b06010043,b06010043_moe,b06010044,b06010044_moe,b06010045,b06010045_moe,b06010046,b06010046_moe,b06010047,b06010047_moe,b06010048,b06010048_moe,b06010049,b06010049_moe,b06010050,b06010050_moe,b06010051,b06010051_moe,b06010052,b06010052_moe,b06010053,b06010053_moe,b06010054,b06010054_moe,b06010055,b06010055_moe
1,Southwest,41585,892,2727,362,38858,861,4292,437,2247,338,4048,481,4334,429,5974,545,4627,433,2574,372,10762,642,17056,862,1476,262,15580,830,2002,301,917,213,1797,339,1648,267,2490,342,1904,288,1072,242,3750,417,19927,871,820,196,19107,856,1715,291,1053,244,1673,302,2227,308,2966,372,2261,306,1372,257,5840,495,793,214,27,57,766,209,50,72,16,52,46,75,127,78,148,89,139,99,24,47,216,112,3809,463,404,160,3405,419,525,155,261,125,532,182,332,122,370,123,323,120,106,74,956,229
2,Delridge Neighborhoods,28536,867,2861,363,25675,785,4362,509,2105,378,3658,429,3274,408,3913,480,3213,362,1093,232,4057,428,9469,698,1237,257,8232,652,1617,300,683,185,1190,217,952,210,1229,255,1079,229,269,103,1213,265,11104,729,638,191,10466,685,1361,280,880,222,1236,257,1252,211,1343,277,1544,268,573,176,2277,345,510,184,51,81,459,169,66,67,10,39,49,55,93,92,74,91,67,54,42,58,58,56,7453,724,935,208,6518,669,1318,298,532,234,1183,282,977,281,1267,331,523,143,209,99,509,153
3,Greater Duwamish,37863,1305,4627,551,33236,1122,7625,645,2983,415,6359,581,5293,545,4645,473,2754,350,721,196,2856,377,8392,736,1352,267,7040,658,1972,357,510,174,1153,228,830,199,900,218,679,168,194,93,802,191,9488,742,617,195,8871,709,1514,280,702,179,1152,254,1427,283,1465,260,1033,227,283,109,1295,250,771,232,85,79,686,216,144,105,99,104,102,78,12,47,141,86,87,83,79,96,22,50,19212,1239,2573,429,16639,1037,3995,516,1672,328,3952,509,3024,447,2139,327,955,230,165,103,737,225
4,Southeast,37389,1196,4649,581,32740,1090,6671,621,2523,376,4498,508,4624,594,4549,524,3485,450,1425,259,4965,422,10772,838,1944,416,8828,729,2238,367,681,176,914,198,843,222,1430,305,1035,279,266,117,1421,249,13339,786,906,228,12433,743,1486,304,970,265,1538,272,1161,238,1853,295,1824,305,795,192,2806,338,965,271,40,52,925,269,214,110,13,45,126,102,181,133,198,127,58,69,41,56,94,65,12313,942,1759,374,10554,841,2733,410,859,222,1920,346,2439,450,1068,256,568,185,323,127,644,154
5,Central,25677,831,1811,372,23866,822,3868,471,1959,320,3087,412,2844,417,3273,409,2383,325,1045,212,5407,440,6886,660,636,249,6250,620,1199,266,506,165,902,248,648,224,1109,248,523,167,204,91,1159,233,13950,738,549,168,13401,721,1669,304,1131,227,1759,305,1433,274,1625,277,1488,244,639,157,3657,363,475,171,0,34,475,171,92,109,17,35,39,44,157,112,48,46,79,62,9,35,34,39,4366,530,626,253,3740,458,908,214,305,120,387,141,606,201,491,200,293,115,193,106,557,157
6,East,47883,1104,3294,398,44589,1049,7808,662,3370,434,6333,615,5120,548,6631,679,4027,496,1873,306,9427,662,12542,781,1074,231,11468,737,2664,347,942,206,1472,271,1252,265,1723,324,1009,231,433,150,1973,344,26769,1050,1206,226,25563,1033,3627,452,1878,333,3361,448,3125,433,3982,498,2556,377,1211,245,5823,548,1144,246,51,53,1093,243,74,63,92,84,133,101,234,127,169,99,58,65,18,49,315,154,7428,727,963,236,6465,684,1443,282,458,143,1367,415,509,168,757,215,404,171,211,112,1316,273
7,Northeast,69433,1750,7524,691,61909,1593,17483,1091,4301,575,6999,652,5952,543,5867,497,5110,437,2405,333,13792,597,25287,1321,2583,341,22704,1257,7960,767,1806,409,2635,390,2009,334,2022,317,1724,256,905,197,3643,346,31989,1174,2405,387,29584,1104,6916,641,1886,373,2920,393,2799,369,2849,353,2915,343,1104,232,8195,524,1506,265,179,97,1327,252,437,153,46,62,111,104,154,98,157,86,65,65,73,68,284,110,10651,886,2357,483,8294,672,2170,323,563,169,1333,314,990,227,839,217,406,146,323,116,1670,261
8,North,34832,888,3211,440,31621,852,5352,536,2502,359,4589,465,4001,463,5046,491,3322,391,1681,248,5128,402,12322,704,1272,257,11050,654,1974,334,954,203,1500,267,1425,269,1679,273,1349,250,687,159,1482,225,14019,755,727,192,13292,715,1590,280,976,224,1900,302,1621,298,2287,330,1409,277,727,166,2782,303,635,187,58,63,577,180,161,112,46,70,88,77,66,56,80,59,36,47,11,45,89,80,7856,764,1154,310,6702,705,1627,336,526,195,1101,237,889,268,1000,255,528,178,256,102,775,180
9,Northwest,60550,1192,4086,540,56464,1070,7665,675,3968,424,7969,638,7512,643,8358,629,6643,555,3131,361,11218,637,21187,1036,1508,274,19679,985,2889,453,1415,257,2517,332,2995,425,3036,369,2447,367,994,211,3386,375,28711,1090,1314,274,27397,1050,3080,390,1764,292,3553,473,3240,404,4457,491,3321,397,1754,282,6228,489,1176,249,51,65,1125,240,120,89,63,83,140,84,184,112,57,71,201,109,83,69,277,114,9476,780,1213,340,8263,703,1576,297,726,200,1759,324,1093,249,808,191,674,218,300,117,1327,262
10,Ballard,38368,909,2227,330,36141,877,4031,438,2220,370,4237,554,4730,519,5461,546,4907,476,2489,340,8066,501,14428,863,977,199,13451,829,1952,299,826,215,1740,387,1581,275,2261,363,1567,286,929,218,2595,331,19211,854,890,210,18321,844,1634,289,1027,237,1932,360,2561,390,2407,346,2875,379,1285,247,4600,426,691,180,31,50,660,179,51,61,92,77,46,54,96,80,101,77,47,55,22,47,205,93,4038,597,329,128,3709,554,394,136,275,131,519,173,492,223,692,208,418,169,253,115,666,162
11,Lake Union,40757,1263,2194,545,38563,1214,6322,645,2725,455,4813,535,4334,543,4938,503,4667,489,2168,321,8596,611,12051,890,668,198,11383,854,2174,370,836,267,1539,334,1667,388,1510,280,1199,257,683,181,1775,281,22311,1044,569,166,21742,1041,3277,473,1489,312,2596,377,2260,374,2762,392,2730,399,1168,236,5460,526,1063,265,71,81,992,255,142,97,111,93,134,72,114,64,211,122,147,96,14,45,119,74,5332,681,886,474,4446,497,729,202,289,127,544,181,293,120,455,162,591,185,303,124,1242,259
12,Magnolia/Queen Anne,52372,1215,2967,393,49405,1184,7366,729,2578,401,5393,612,5252,554,6596,561,5566,584,2641,381,14013,751,16554,1012,1166,228,15388,1000,2552,368,763,207,1756,336,1881,363,2251,339,1590,307,838,226,3757,416,28181,1098,1043,223,27138,1072,3799,556,1393,306,2921,449,2699,389,3640,450,3329,463,1503,289,7854,582,1275,263,98,88,1177,247,60,60,95,102,216,132,111,88,110,80,121,77,64,79,400,145,6362,657,660,194,5702,598,955,274,327,150,500,146,561,170,595,179,526,178,236,113,2002,379
13,Downtown,16459,752,949,245,15510,668,3884,483,1280,262,1851,363,1282,275,1599,301,951,244,640,195,4023,407,3310,435,159,78,3151,424,719,210,439,178,535,180,259,128,382,160,306,158,96,80,415,161,8186,621,289,133,7897,585,1623,317,430,162,779,235,766,212,802,232,484,154,434,143,2579,364,417,168,53,66,364,157,84,76,5,29,82,87,9,30,56,67,19,40,0,29,109,84,4546,512,448,174,4098,439,1458,296,406,142,455,191,248,95,359,141,142,90,110,116,920,204
