area_id,area_name,c23002f001,c23002f001_moe,c23002f002,c23002f002_moe,c23002f003,c23002f003_moe,c23002f004,c23002f004_moe,c23002f005,c23002f005_moe,c23002f006,c23002f006_moe,c23002f007,c23002f007_moe,c23002f008,c23002f008_moe,c23002f009,c23002f009_moe,c23002f010,c23002f010_moe,c23002f011,c23002f011_moe,c23002f012,c23002f012_moe,c23002f013,c23002f013_moe,c23002f014,c23002f014_moe,c23002f015,c23002f015_moe,c23002f016,c23002f016_moe,c23002f017,c23002f017_moe,c23002f018,c23002f018_moe,c23002f019,c23002f019_moe,c23002f020,c23002f020_moe,c23002f021,c23002f021_moe,c23002f022,c23002f022_moe,c23002f023,c23002f023_moe,c23002f024,c23002f024_moe,c23002f025,c23002f025_moe,c23002f026,c23002f026_moe,c23002f027,c23002f027_moe
1,Southwest,254,151,145,92,145,92,87,65,0,48,87,65,80,61,7,48,58,72,0,48,0,48,0,48,0,48,0,48,109,110,109,110,48,71,0,48,48,71,48,71,0,48,61,97,0,48,0,48,0,48,0,48,0,48
2,Delridge Neighborhoods,734,325,474,248,474,248,404,222,0,38,404,222,400,222,4,37,70,85,0,38,0,38,0,38,0,38,0,38,260,134,226,128,181,119,0,38,181,119,181,119,0,38,45,61,34,54,34,54,8,38,26,54,0,38
3,Greater Duwamish,614,341,455,285,422,270,343,255,0,45,343,255,231,179,112,123,79,83,33,59,12,53,12,53,0,45,21,52,159,113,150,95,115,78,0,45,115,78,70,67,45,59,35,56,9,54,0,45,0,45,0,45,9,54
4,Southeast,513,322,305,240,288,237,207,167,0,45,207,167,207,167,0,45,81,91,17,46,8,45,8,45,0,45,9,46,208,119,159,104,145,103,0,45,145,103,139,100,6,47,14,48,49,63,7,49,7,49,0,45,42,59
5,Central,275,151,156,109,156,109,138,101,0,34,138,101,96,67,42,71,18,39,0,34,0,34,0,34,0,34,0,34,119,73,119,73,119,73,0,34,119,73,119,73,0,34,0,34,0,34,0,34,0,34,0,34,0,34
6,East,628,188,419,157,419,157,265,130,14,50,251,128,235,126,16,50,154,94,0,47,0,47,0,47,0,47,0,47,209,115,209,115,167,112,0,47,167,112,139,106,28,56,42,54,0,47,0,47,0,47,0,47,0,47
7,Northeast,751,308,321,159,321,159,99,80,0,59,99,80,99,80,0,59,222,148,0,59,0,59,0,59,0,59,0,59,430,267,430,267,340,264,0,59,340,264,277,187,63,106,90,77,0,59,0,59,0,59,0,59,0,59
8,North,1076,413,743,343,723,343,662,342,0,43,662,342,662,342,0,43,61,57,20,46,5,42,5,42,0,43,15,46,333,147,333,147,278,130,0,43,278,130,266,130,12,45,55,77,0,43,0,43,0,43,0,43,0,43
9,Northwest,1176,360,627,243,607,236,521,207,0,54,521,207,510,206,11,56,86,88,20,59,0,54,0,54,0,54,20,59,549,180,477,168,448,165,0,54,448,165,448,165,0,54,29,54,72,72,10,55,10,55,0,54,62,71
10,Ballard,339,176,132,91,132,91,118,87,0,43,118,87,100,85,18,48,14,45,0,43,0,43,0,43,0,43,0,43,207,112,188,110,188,110,0,43,188,110,171,105,17,49,0,43,19,49,0,43,0,43,0,43,19,49
11,Lake Union,503,210,307,171,295,171,270,170,0,42,270,170,193,149,77,87,25,50,12,43,12,43,12,43,0,42,0,42,196,116,154,104,154,104,0,42,154,104,124,98,30,53,0,42,42,66,0,42,0,42,0,42,42,66
12,Magnolia/Queen Anne,494,188,203,127,203,127,178,125,0,51,178,125,178,125,0,51,25,53,0,51,0,51,0,51,0,51,0,51,291,127,291,127,221,113,0,51,221,113,221,113,0,51,70,84,0,51,0,51,0,51,0,51,0,51
13,Downtown,393,163,178,108,178,108,75,59,0,29,75,59,61,52,14,30,103,93,0,29,0,29,0,29,0,29,0,29,215,133,215,133,161,123,0,29,161,123,89,84,72,93,54,60,0,29,0,29,0,29,0,29,0,29
