area_id,area_name,b18101a001,b18101a001_moe,b18101a002,b18101a002_moe,b18101a003,b18101a003_moe,b18101a004,b18101a004_moe,b18101a005,b18101a005_moe,b18101a006,b18101a006_moe,b18101a007,b18101a007_moe,b18101a008,b18101a008_moe,b18101a009,b18101a009_moe,b18101a010,b18101a010_moe
1,Southwest,42393,1104,7162,555,116,79,7046,560,29180,838,1637,312,27543,832,6051,366,1882,270,4169,358
2,Delridge Neighborhoods,20575,1088,3023,508,60,54,2963,509,15421,854,1062,241,14359,796,2131,266,917,200,1214,187
3,Greater Duwamish,13824,1091,2284,504,111,95,2173,468,10444,819,869,215,9575,779,1096,237,445,137,651,185
4,Southeast,18614,1088,3469,444,27,50,3442,444,13306,862,930,231,12376,813,1839,293,751,202,1088,210
5,Central,17718,825,2311,326,38,61,2273,323,13900,687,780,198,13120,677,1507,227,364,142,1143,199
6,East,38552,1306,2532,357,22,47,2510,356,31838,1182,1773,342,30065,1176,4182,356,1271,205,2911,327
7,Northeast,61034,1691,8708,497,175,98,8533,488,45827,1560,1879,314,43948,1527,6499,384,1644,325,4855,302
8,North,28539,1040,4161,454,83,73,4078,450,20335,777,1701,296,18634,757,4043,339,1861,278,2182,280
9,Northwest,53751,1360,7316,527,129,89,7187,522,39581,1115,2100,321,37481,1093,6854,454,2732,328,4122,358
10,Ballard,38971,1010,5925,488,79,63,5846,485,28893,815,1151,243,27742,829,4153,285,1248,222,2905,271
11,Lake Union,35040,1214,2908,256,62,83,2846,260,29582,1126,1833,330,27749,1100,2550,269,940,206,1610,207
12,Magnolia/Queen Anne,49530,1385,6585,533,156,94,6429,534,36969,1174,1728,327,35241,1174,5976,367,1636,269,4340,357
13,Downtown,10349,628,221,74,0,29,221,74,8750,592,1531,290,7219,530,1378,249,425,169,953,198
