area_id,area_name,b13002g001,b13002g001_moe,b13002g002,b13002g002_moe,b13002g003,b13002g003_moe,b13002g004,b13002g004_moe,b13002g005,b13002g005_moe,b13002g006,b13002g006_moe,b13002g007,b13002g007_moe
1,Southwest,472,156,23,54,12,51,11,50,449,154,201,98,248,108
2,Delridge Neighborhoods,511,182,16,44,16,44,0,38,495,179,123,83,372,158
3,Greater Duwamish,560,227,49,73,49,73,0,45,511,220,155,94,356,181
4,Southeast,816,257,41,54,29,51,12,47,775,261,219,114,556,236
5,Central,633,232,15,40,15,40,0,34,618,229,121,79,497,216
6,East,712,189,0,47,0,47,0,47,712,189,109,84,603,174
7,Northeast,1310,271,75,95,27,63,48,92,1235,261,235,127,1000,228
8,North,498,196,4,42,0,43,4,42,494,196,94,73,400,180
9,Northwest,1202,326,44,65,22,63,22,57,1158,322,246,125,912,283
10,Ballard,775,256,37,55,17,48,20,51,738,254,261,129,477,209
11,Lake Union,874,231,14,46,14,46,0,42,860,228,215,119,645,193
12,Magnolia/Queen Anne,952,249,27,66,27,66,0,51,925,246,417,173,508,176
13,Downtown,265,123,0,29,0,29,0,29,265,123,116,80,149,96
