area_id,area_name,c27004001,c27004001_moe,c27004002,c27004002_moe,c27004003,c27004003_moe,c27004004,c27004004_moe,c27004005,c27004005_moe,c27004006,c27004006_moe,c27004007,c27004007_moe,c27004008,c27004008_moe,c27004009,c27004009_moe,c27004010,c27004010_moe,c27004011,c27004011_moe,c27004012,c27004012_moe,c27004013,c27004013_moe,c27004014,c27004014_moe,c27004015,c27004015_moe,c27004016,c27004016_moe,c27004017,c27004017_moe,c27004018,c27004018_moe,c27004019,c27004019_moe,c27004020,c27004020_moe,c27004021,c27004021_moe
1,Southwest,48549,1060,22534,749,4173,382,3354,357,819,209,15712,599,11446,552,4266,473,2649,270,1458,218,1191,203,26015,813,4875,451,3879,448,996,237,17371,574,13500,547,3871,443,3769,275,1539,238,2230,279
2,Delridge Neighborhoods,34224,1046,17099,744,3822,457,2002,327,1820,429,11962,591,7722,522,4240,482,1315,190,427,106,888,176,17125,738,3163,422,1626,279,1537,363,12124,580,7621,463,4503,521,1838,228,481,126,1357,222
3,Greater Duwamish,46942,1787,23664,1220,5117,610,2096,427,3021,521,16291,919,8686,598,7605,751,2256,267,500,140,1756,256,23278,1093,5661,746,2178,363,3483,707,14387,662,8463,549,5924,581,3230,292,690,157,2540,260
4,Southeast,45465,1460,22041,1076,5383,619,2564,465,2819,512,14358,772,8197,614,6161,724,2300,264,704,142,1596,244,23424,885,4691,500,2420,360,2271,439,15724,655,10202,586,5522,554,3009,299,769,157,2240,287
5,Central,29258,999,13968,737,2067,338,1396,269,671,249,10535,641,7166,517,3369,519,1366,208,436,116,930,191,15290,746,2440,319,1587,262,853,265,10907,590,7644,443,3263,489,1943,236,538,117,1405,232
6,East,49404,1211,25214,953,1991,269,1322,223,669,195,21047,889,13802,787,7245,635,2176,258,732,157,1444,225,24190,909,1903,305,1153,219,750,248,19273,816,12983,696,6290,586,3014,299,1109,198,1905,279
7,Northeast,79116,1823,38417,1330,5608,383,4691,344,917,229,29629,1252,21386,1116,8243,694,3180,230,1585,193,1595,212,40699,1229,5835,386,4951,356,884,206,30634,1120,22394,993,8240,716,4230,340,1885,210,2345,337
8,North,39862,1083,19904,821,3121,338,1946,281,1175,267,14826,700,9695,602,5131,551,1957,238,697,143,1260,223,19958,765,3043,347,1913,264,1130,237,13944,567,9105,489,4839,516,2971,274,976,167,1995,264
9,Northwest,69266,1459,33570,1026,5474,511,3599,383,1875,390,24943,842,17091,761,7852,677,3153,311,1437,216,1716,253,35696,976,5027,477,3247,363,1780,377,25846,796,17843,710,8003,675,4823,358,1889,258,2934,327
10,Ballard,44326,1011,21960,755,3815,375,3024,325,791,228,16227,600,12181,570,4046,484,1918,216,882,181,1036,173,22366,725,3368,351,2496,311,872,228,16442,576,12359,529,4083,464,2556,233,1095,191,1461,211
11,Lake Union,44115,1324,23170,1005,2006,263,1324,217,682,220,19671,948,13131,767,6540,734,1493,231,594,135,899,211,20945,981,1831,265,1220,217,611,200,17612,890,12341,724,5271,591,1502,206,474,128,1028,189
12,Magnolia/Queen Anne,59068,1388,28556,1098,4195,421,3212,366,983,265,21621,1006,15886,916,5735,582,2740,261,1368,224,1372,210,30512,1094,3944,441,2889,336,1055,311,22789,972,17098,886,5691,596,3779,284,1585,241,2194,254
13,Downtown,17106,915,10019,686,585,251,263,91,322,229,8117,584,4389,458,3728,489,1317,222,300,120,1017,212,7087,540,443,213,76,53,367,207,5425,449,3191,382,2234,319,1219,204,234,80,985,200
