area_id,area_name,b25061001,b25061001_moe,b25061002,b25061002_moe,b25061003,b25061003_moe,b25061004,b25061004_moe,b25061005,b25061005_moe,b25061006,b25061006_moe,b25061007,b25061007_moe,b25061008,b25061008_moe,b25061009,b25061009_moe,b25061010,b25061010_moe,b25061011,b25061011_moe,b25061012,b25061012_moe,b25061013,b25061013_moe,b25061014,b25061014_moe,b25061015,b25061015_moe,b25061016,b25061016_moe,b25061017,b25061017_moe,b25061018,b25061018_moe,b25061019,b25061019_moe,b25061020,b25061020_moe,b25061021,b25061021_moe,b25061022,b25061022_moe
1,Southwest,508,224,0,48,0,48,0,48,0,48,0,48,0,48,0,48,48,87,0,48,16,52,0,48,0,48,46,84,0,48,36,73,95,111,40,77,79,102,135,130,13,49,0,48
2,Delridge Neighborhoods,663,233,0,38,0,38,0,38,0,38,0,38,0,38,16,45,19,45,0,38,0,38,0,38,39,72,31,58,136,130,52,86,111,129,0,38,68,89,82,84,77,98,32,52
3,Greater Duwamish,303,151,36,72,0,45,0,45,34,64,0,45,0,45,0,45,0,45,0,45,0,45,8,45,8,45,7,45,23,58,17,52,74,94,0,45,19,49,42,66,35,70,0,45
4,Southeast,611,235,0,45,0,45,0,45,0,45,0,45,22,56,0,45,0,45,0,45,0,45,0,45,0,45,41,80,43,82,53,90,148,123,47,68,132,126,27,62,56,77,42,79
5,Central,310,167,13,37,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,24,50,0,34,0,34,0,34,49,85,53,69,54,61,52,87,42,74,23,49
6,East,718,246,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,37,76,0,47,17,53,40,81,63,86,58,80,91,97,0,47,34,59,76,81,123,114,179,129
7,Northeast,497,204,0,59,0,59,0,59,46,91,0,59,0,59,0,59,0,59,41,87,14,60,0,59,14,62,89,101,0,59,45,89,17,63,24,69,39,84,68,78,61,97,39,72
8,North,416,199,0,43,0,43,35,70,0,43,43,81,0,43,0,43,0,43,0,43,0,43,48,86,0,43,0,43,0,43,0,43,114,113,0,43,75,98,16,50,0,43,85,82
9,Northwest,686,248,24,66,0,54,0,54,0,54,31,71,0,54,0,54,0,54,0,54,0,54,0,54,41,83,65,98,0,54,55,78,301,185,0,54,29,66,0,54,80,105,60,74
10,Ballard,414,216,0,43,0,43,0,43,0,43,45,81,0,43,0,43,0,43,0,43,0,43,0,43,0,43,39,73,0,43,0,43,33,67,79,90,63,81,126,155,29,60,0,43
11,Lake Union,965,344,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,90,107,21,54,0,42,0,42,41,79,0,42,37,71,0,42,93,105,47,81,137,114,33,62,466,263
12,Magnolia/Queen Anne,881,264,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,36,77,48,82,0,51,238,168,101,105,250,145,208,145
13,Downtown,453,199,0,29,0,29,0,29,0,29,0,29,0,29,0,29,39,67,0,29,22,45,81,88,0,29,0,29,92,89,0,29,0,29,25,48,121,114,34,61,39,68,0,29
