area_id,area_name,b19001c001,b19001c001_moe,b19001c002,b19001c002_moe,b19001c003,b19001c003_moe,b19001c004,b19001c004_moe,b19001c005,b19001c005_moe,b19001c006,b19001c006_moe,b19001c007,b19001c007_moe,b19001c008,b19001c008_moe,b19001c009,b19001c009_moe,b19001c010,b19001c010_moe,b19001c011,b19001c011_moe,b19001c012,b19001c012_moe,b19001c013,b19001c013_moe,b19001c014,b19001c014_moe,b19001c015,b19001c015_moe,b19001c016,b19001c016_moe,b19001c017,b19001c017_moe
1,Southwest,103,70,0,48,0,48,19,55,0,48,17,52,0,48,0,48,13,49,14,51,0,48,0,48,17,49,15,48,0,48,8,47,0,48
2,Delridge Neighborhoods,139,89,28,55,0,38,18,47,0,38,3,37,42,59,0,38,0,38,0,38,18,46,0,38,0,38,9,37,0,38,21,50,0,38
3,Greater Duwamish,122,68,0,45,7,45,0,45,0,45,31,51,15,49,13,46,0,45,0,45,9,45,0,45,30,53,0,45,0,45,0,45,17,47
4,Southeast,107,72,15,48,17,50,0,45,0,45,12,48,0,45,11,46,0,45,11,47,14,49,0,45,0,45,12,47,0,45,15,48,0,45
5,Central,94,66,37,43,0,34,0,34,0,34,0,34,0,34,10,35,0,34,19,44,28,51,0,34,0,34,0,34,0,34,0,34,0,34
6,East,449,166,76,70,94,79,36,70,8,47,58,82,21,55,19,49,39,77,42,77,10,47,17,51,29,53,0,47,0,47,0,47,0,47
7,Northeast,114,77,0,59,0,59,0,59,12,60,6,58,0,59,0,59,0,59,0,59,18,60,15,62,22,66,15,62,0,59,14,59,12,59
8,North,177,91,34,46,0,43,0,43,30,52,0,43,0,43,21,54,11,44,43,64,3,42,13,46,6,43,0,43,0,43,0,43,16,43
9,Northwest,249,108,15,56,25,65,15,54,27,58,0,54,0,54,0,54,0,54,29,59,0,54,43,65,7,54,11,55,24,58,29,61,24,66
10,Ballard,65,59,0,43,0,43,0,43,0,43,11,45,0,43,6,43,20,50,0,43,0,43,14,48,14,46,0,43,0,43,0,43,0,43
11,Lake Union,358,165,172,130,52,70,10,43,0,42,0,42,0,42,43,79,0,42,30,51,0,42,27,50,0,42,14,45,0,42,0,42,10,43
12,Magnolia/Queen Anne,205,116,0,51,0,51,0,51,0,51,0,51,34,72,0,51,66,78,0,51,0,51,0,51,26,55,11,51,12,52,23,60,33,63
13,Downtown,140,99,44,44,0,29,46,76,0,29,0,29,0,29,25,46,0,29,25,48,0,29,0,29,0,29,0,29,0,29,0,29,0,29
