area_id,area_name,b17017001,b17017001_moe,b17017002,b17017002_moe,b17017003,b17017003_moe,b17017004,b17017004_moe,b17017005,b17017005_moe,b17017006,b17017006_moe,b17017007,b17017007_moe,b17017008,b17017008_moe,b17017009,b17017009_moe,b17017010,b17017010_moe,b17017011,b17017011_moe,b17017012,b17017012_moe,b17017013,b17017013_moe,b17017014,b17017014_moe,b17017015,b17017015_moe,b17017016,b17017016_moe,b17017017,b17017017_moe,b17017018,b17017018_moe,b17017019,b17017019_moe,b17017020,b17017020_moe,b17017021,b17017021_moe,b17017022,b17017022_moe,b17017023,b17017023_moe,b17017024,b17017024_moe,b17017025,b17017025_moe,b17017026,b17017026_moe,b17017027,b17017027_moe,b17017028,b17017028_moe,b17017029,b17017029_moe,b17017030,b17017030_moe,b17017031,b17017031_moe,b17017032,b17017032_moe,b17017033,b17017033_moe,b17017034,b17017034_moe,b17017035,b17017035_moe,b17017036,b17017036_moe,b17017037,b17017037_moe,b17017038,b17017038_moe,b17017039,b17017039_moe,b17017040,b17017040_moe,b17017041,b17017041_moe,b17017042,b17017042_moe,b17017043,b17017043_moe,b17017044,b17017044_moe,b17017045,b17017045_moe,b17017046,b17017046_moe,b17017047,b17017047_moe,b17017048,b17017048_moe,b17017049,b17017049_moe,b17017050,b17017050_moe,b17017051,b17017051_moe,b17017052,b17017052_moe,b17017053,b17017053_moe,b17017054,b17017054_moe,b17017055,b17017055_moe,b17017056,b17017056_moe,b17017057,b17017057_moe,b17017058,b17017058_moe,b17017059,b17017059_moe
1,Southwest,23226,383,1463,307,302,125,202,91,0,48,71,61,105,72,26,51,100,92,19,55,0,48,19,55,0,48,0,48,81,85,0,48,62,82,0,48,19,54,1161,280,607,215,0,48,278,137,312,163,17,53,554,185,22,50,146,107,219,123,167,87,21763,444,11313,474,9376,453,50,62,3979,346,3972,298,1375,201,1937,304,443,149,13,50,121,82,244,118,65,56,1494,266,30,54,634,192,689,180,141,77,10450,542,4365,417,87,67,1616,275,1734,243,928,206,6085,446,180,106,1929,288,2012,266,1964,257
2,Delridge Neighborhoods,14850,356,2055,289,892,207,314,132,0,38,148,95,124,90,42,62,578,183,46,52,0,38,46,52,0,38,0,38,532,180,27,45,368,168,132,78,5,38,1163,238,565,188,58,84,213,128,132,72,162,99,598,171,73,53,57,51,194,94,274,140,12795,387,7006,410,4892,387,47,63,2455,306,1770,234,620,126,2114,308,712,203,73,86,294,150,334,126,11,37,1402,244,54,85,751,209,453,134,144,72,5789,418,2855,346,125,101,1498,285,983,201,249,98,2934,310,30,46,1183,220,977,178,744,162
3,Greater Duwamish,16086,331,2568,324,1230,254,484,153,0,45,221,121,146,79,117,85,746,200,130,87,0,45,102,82,9,44,19,52,616,187,17,53,387,156,116,81,96,89,1338,227,684,177,27,45,126,77,299,134,232,109,654,168,22,49,115,88,160,92,357,133,13518,420,8793,432,6141,418,82,83,2714,322,2538,282,807,159,2652,366,935,214,216,116,358,121,329,127,32,60,1717,325,44,73,717,236,640,179,316,116,4725,384,2800,345,196,113,1226,261,958,192,420,120,1925,276,111,75,564,162,540,157,710,169
4,Southeast,17612,387,2543,379,1216,275,499,195,0,45,257,156,198,114,44,55,717,204,211,104,37,52,50,68,95,83,29,53,506,181,65,82,234,124,179,105,28,52,1327,279,578,177,17,49,236,137,236,114,89,64,749,214,18,50,177,132,297,130,257,112,15069,482,9482,490,6531,452,67,83,2370,307,2854,276,1240,185,2951,390,740,200,131,106,290,124,222,126,97,77,2211,346,135,114,624,195,1118,246,334,120,5587,476,2686,372,42,58,943,281,1326,251,375,115,2901,350,77,81,873,205,1203,230,748,166
5,Central,13921,329,1761,274,465,178,202,122,0,34,122,115,20,41,60,47,263,130,48,65,0,34,48,65,0,34,0,34,215,115,13,36,49,63,76,68,77,77,1296,222,438,153,133,103,42,45,147,73,116,81,858,180,197,107,114,67,126,68,421,116,12160,374,5362,341,4110,315,33,42,1876,235,1626,224,575,117,1252,248,270,103,29,58,132,83,85,69,24,40,982,231,60,69,402,175,392,140,128,70,6798,433,3376,392,173,119,1612,270,1147,243,444,132,3422,356,247,115,1515,248,962,193,698,189
6,East,29701,474,4187,428,531,155,126,69,0,47,20,49,56,60,50,52,405,146,60,63,0,47,49,60,11,48,0,47,345,146,41,55,240,141,64,59,0,47,3656,408,1773,299,384,142,613,201,581,171,195,100,1883,296,675,181,362,122,482,168,364,133,25514,587,6383,481,5608,459,230,137,2788,392,1580,212,1010,164,775,191,298,124,108,103,60,58,108,67,22,50,477,160,28,65,224,122,169,94,56,59,19131,671,9954,614,596,165,6049,548,2649,354,660,158,9177,598,964,226,5037,471,1537,279,1639,272
7,Northeast,30311,401,4514,413,600,151,168,84,0,59,102,73,50,65,16,61,432,135,191,103,128,97,35,64,18,61,10,59,241,98,51,62,74,68,116,88,0,59,3914,393,1953,298,968,211,483,164,367,155,135,100,1961,300,1416,258,254,114,116,71,175,119,25797,507,14139,454,12143,448,140,100,4914,329,5079,288,2010,187,1996,289,527,156,19,59,182,101,212,108,114,79,1469,244,156,117,338,118,665,155,310,109,11658,602,5567,479,906,251,2473,339,1534,247,654,161,6091,441,719,206,2198,291,1572,213,1602,215
8,North,19461,351,2680,355,755,196,309,110,9,43,99,64,87,65,114,78,446,169,94,84,9,43,74,83,11,45,0,43,352,152,68,83,247,114,37,49,0,43,1925,327,902,234,146,95,295,154,375,145,86,71,1023,243,176,109,247,136,353,150,247,129,16781,448,8410,426,6499,390,65,56,2969,317,2596,226,869,161,1911,293,679,181,147,113,258,126,216,82,58,57,1232,247,41,64,462,164,442,140,287,103,8371,487,4090,407,359,158,1906,291,1220,218,605,169,4281,392,382,160,1340,245,1291,211,1268,211
9,Northwest,33168,437,3662,437,760,200,319,136,22,62,202,122,27,58,68,66,441,154,67,66,0,54,38,60,14,56,15,53,374,148,0,54,239,127,83,80,52,70,2902,409,1149,264,188,127,355,155,478,163,128,80,1753,335,341,157,349,149,469,164,594,215,29506,567,14692,570,12371,560,151,112,6314,449,4502,324,1404,211,2321,297,578,153,19,60,187,90,306,124,66,65,1743,264,129,110,570,160,701,169,343,116,14814,648,6732,528,452,159,3559,428,1809,253,912,198,8082,532,601,185,3132,404,2305,283,2044,270
10,Ballard,21236,330,1500,279,288,112,176,88,0,43,97,68,63,62,16,47,112,75,36,50,0,43,26,49,10,44,0,43,76,67,0,43,57,65,19,47,0,43,1212,263,511,172,0,43,249,134,149,94,113,70,701,203,46,51,237,139,173,77,245,133,19736,406,10251,437,8507,433,118,90,3969,348,3471,249,949,144,1744,291,540,180,0,43,287,129,222,124,31,46,1204,227,15,47,382,137,597,155,210,115,9485,507,4440,427,114,65,2368,355,1411,239,547,149,5045,458,320,146,2073,337,1688,264,964,173
11,Lake Union,24520,524,3505,412,386,181,135,76,17,46,27,49,17,48,74,62,251,169,119,145,119,145,0,42,0,42,0,42,132,97,42,69,65,77,25,47,0,42,3119,384,1668,307,656,192,543,177,422,155,47,55,1451,272,710,204,332,142,234,109,175,95,21015,608,6291,420,5253,395,30,52,3248,335,1328,186,647,136,1038,220,438,166,47,75,247,135,106,68,38,51,600,151,47,55,235,96,236,99,82,57,14724,678,7886,582,444,149,5129,498,1882,296,431,126,6838,535,528,154,4160,442,1591,256,559,139
12,Magnolia/Queen Anne,29974,461,1909,298,230,98,147,81,0,51,56,70,65,57,26,56,83,64,16,54,16,54,0,51,0,51,0,51,67,61,0,51,26,56,41,56,0,51,1679,285,649,179,223,121,180,98,190,95,56,59,1030,233,339,148,163,80,314,124,214,107,28065,525,11916,520,10711,513,97,76,4879,417,4076,322,1659,222,1205,235,306,117,13,52,103,75,166,94,24,57,899,209,26,53,366,146,399,140,108,76,16149,651,7139,549,466,227,4018,446,1997,295,658,152,9010,566,553,173,4578,476,2025,273,1854,264
13,Downtown,11410,381,2645,325,448,154,291,121,0,29,71,59,29,36,191,101,157,100,63,76,32,60,31,55,0,29,0,29,94,71,26,45,37,54,25,42,6,28,2197,306,1348,263,168,106,312,167,686,172,182,82,849,169,70,57,122,76,388,115,269,96,8765,426,1853,266,1685,257,0,29,561,157,812,185,312,116,168,77,30,39,0,29,0,29,22,37,8,31,138,69,8,30,84,57,32,43,14,33,6912,439,4316,414,268,148,2260,344,1314,252,474,142,2596,320,313,143,1341,264,521,144,421,141
