area_id,area_name,c15002b001,c15002b001_moe,c15002b002,c15002b002_moe,c15002b003,c15002b003_moe,c15002b004,c15002b004_moe,c15002b005,c15002b005_moe,c15002b006,c15002b006_moe,c15002b007,c15002b007_moe,c15002b008,c15002b008_moe,c15002b009,c15002b009_moe,c15002b010,c15002b010_moe,c15002b011,c15002b011_moe
1,Southwest,833,254,509,184,89,110,64,60,177,105,179,107,324,160,59,95,56,80,133,100,76,69
2,Delridge Neighborhoods,2704,440,1029,225,142,89,141,78,412,172,334,129,1675,304,314,142,287,160,739,214,335,179
3,Greater Duwamish,4676,557,2200,373,585,223,551,196,630,202,434,178,2476,364,784,254,640,207,703,210,349,147
4,Southeast,7557,750,3742,516,675,240,1081,346,1409,313,577,173,3815,470,780,211,849,243,1580,329,606,180
5,Central,4758,530,2431,402,240,113,647,197,884,284,660,214,2327,347,427,160,408,194,868,197,624,163
6,East,2748,428,1594,304,337,156,320,112,623,189,314,147,1154,263,125,76,415,188,394,143,220,115
7,Northeast,957,249,622,191,36,70,129,104,145,108,312,128,335,144,0,59,76,77,68,79,191,122
8,North,1322,345,809,271,236,148,232,158,248,132,93,60,513,183,108,103,93,91,158,104,154,86
9,Northwest,1998,420,1022,256,103,92,226,128,425,175,268,119,976,261,123,92,125,87,503,217,225,136
10,Ballard,197,115,75,80,14,46,0,43,22,52,39,71,122,95,0,43,0,43,83,87,39,62
11,Lake Union,921,242,545,178,122,76,65,66,239,134,119,79,376,153,65,56,64,61,131,102,116,95
12,Magnolia/Queen Anne,1191,400,882,328,157,141,88,95,385,204,252,148,309,169,0,51,129,119,38,70,142,93
13,Downtown,1458,360,1199,337,238,149,413,203,377,201,171,104,259,109,87,69,60,56,67,64,45,49
