area_id,area_name,b01001g001,b01001g001_moe,b01001g002,b01001g002_moe,b01001g003,b01001g003_moe,b01001g004,b01001g004_moe,b01001g005,b01001g005_moe,b01001g006,b01001g006_moe,b01001g007,b01001g007_moe,b01001g008,b01001g008_moe,b01001g009,b01001g009_moe,b01001g010,b01001g010_moe,b01001g011,b01001g011_moe,b01001g012,b01001g012_moe,b01001g013,b01001g013_moe,b01001g014,b01001g014_moe,b01001g015,b01001g015_moe,b01001g016,b01001g016_moe,b01001g017,b01001g017_moe,b01001g018,b01001g018_moe,b01001g019,b01001g019_moe,b01001g020,b01001g020_moe,b01001g021,b01001g021_moe,b01001g022,b01001g022_moe,b01001g023,b01001g023_moe,b01001g024,b01001g024_moe,b01001g025,b01001g025_moe,b01001g026,b01001g026_moe,b01001g027,b01001g027_moe,b01001g028,b01001g028_moe,b01001g029,b01001g029_moe,b01001g030,b01001g030_moe,b01001g031,b01001g031_moe
1,Southwest,2258,453,1082,264,277,118,144,84,135,79,71,63,0,48,21,51,73,72,103,82,120,82,72,66,61,67,5,46,0,48,0,48,1176,282,187,94,197,129,163,99,51,62,2,48,11,50,66,66,59,62,182,88,119,75,93,73,25,55,21,51,0,48
2,Delridge Neighborhoods,1921,385,931,224,189,103,105,78,40,51,62,67,74,64,114,71,72,61,61,48,116,81,62,54,22,49,0,38,14,42,0,38,990,260,113,73,77,61,122,80,77,94,23,51,110,77,54,57,85,71,109,89,154,98,43,51,15,43,8,38,0,38
3,Greater Duwamish,2087,500,1095,274,164,85,93,74,124,143,20,47,17,52,137,100,115,83,49,57,110,75,116,84,61,73,77,71,12,47,0,45,992,286,122,71,116,85,31,51,23,53,47,57,91,108,107,92,107,86,129,99,125,87,46,54,37,50,0,45,11,49
4,Southeast,2382,545,1039,279,174,94,136,94,137,89,98,74,38,51,72,83,80,69,35,50,135,74,51,60,52,56,23,44,8,45,0,45,1343,333,58,54,102,75,113,80,125,102,38,52,8,45,62,63,127,103,345,155,128,87,145,96,69,62,23,51,0,45
5,Central,1826,524,688,212,105,85,88,59,20,39,0,34,0,34,85,79,77,57,20,37,182,121,64,59,12,36,20,44,9,34,6,34,1138,372,37,43,85,59,220,128,55,59,26,53,80,57,152,96,168,130,119,72,33,55,84,76,70,81,9,39,0,34
6,East,2045,375,1178,285,36,58,79,64,54,64,54,74,95,71,221,174,101,75,137,81,191,122,115,71,95,98,0,47,0,47,0,47,867,207,26,61,0,47,40,55,52,62,65,56,188,106,151,85,45,60,193,102,34,54,57,55,5,46,0,47,11,47
7,Northeast,4028,513,1948,309,267,106,153,83,216,112,59,77,208,111,368,136,210,110,166,108,121,89,81,73,38,62,27,63,0,59,34,68,2080,351,119,83,305,119,198,103,90,70,344,171,314,134,300,132,60,69,188,124,61,65,59,69,31,62,0,59,11,60
8,North,1665,384,860,199,118,73,68,59,76,59,22,47,6,41,50,52,173,106,48,75,121,78,69,55,81,56,0,43,28,48,0,43,805,277,148,77,103,86,0,43,51,57,17,45,76,65,197,163,41,52,116,77,0,43,38,49,14,47,4,42,0,43
9,Northwest,3828,661,1707,365,217,113,337,164,247,149,8,54,139,118,131,80,125,88,187,110,118,86,92,74,95,88,11,53,0,54,0,54,2121,435,358,220,155,100,218,111,120,111,36,61,267,133,263,152,136,94,336,151,102,74,67,72,36,65,13,55,14,56
10,Ballard,2282,454,1057,249,144,76,125,72,141,98,68,58,34,47,38,56,121,91,104,76,162,104,89,64,29,50,0,43,2,42,0,43,1225,315,191,100,132,78,35,53,90,91,39,70,59,61,138,86,282,175,126,86,90,75,15,47,28,47,0,43,0,43
11,Lake Union,2146,424,892,267,184,144,34,50,49,69,0,42,0,42,160,110,124,118,175,107,121,78,14,51,31,47,0,42,0,42,0,42,1254,314,49,49,70,72,47,52,78,103,22,52,197,109,237,134,116,87,174,82,127,88,86,102,8,41,0,42,43,64
12,Magnolia/Queen Anne,2715,565,1394,398,187,160,93,72,44,67,31,61,122,81,206,145,195,138,83,77,238,171,39,58,144,106,12,52,0,51,0,51,1321,322,162,112,134,112,9,51,9,52,36,56,193,117,192,119,206,131,200,103,155,107,10,51,15,55,0,51,0,51
13,Downtown,787,239,410,165,67,73,0,29,0,29,0,29,12,33,19,37,75,68,35,36,80,70,53,82,32,43,37,63,0,29,0,29,377,169,0,29,23,43,46,54,0,29,0,29,36,39,27,39,64,61,122,99,16,35,43,39,0,29,0,29,0,29
