area_id,area_name,b13002f001,b13002f001_moe,b13002f002,b13002f002_moe,b13002f003,b13002f003_moe,b13002f004,b13002f004_moe,b13002f005,b13002f005_moe,b13002f006,b13002f006_moe,b13002f007,b13002f007_moe
1,Southwest,109,110,0,48,0,48,0,48,109,110,33,54,76,98
2,Delridge Neighborhoods,176,119,0,38,0,38,0,38,176,119,121,106,55,65
3,Greater Duwamish,134,94,20,54,13,49,7,49,114,79,21,51,93,72
4,Southeast,142,101,14,48,14,48,0,45,128,99,44,77,84,77
5,Central,107,64,0,34,0,34,0,34,107,64,44,53,63,50
6,East,155,91,0,47,0,47,0,47,155,91,37,62,118,79
7,Northeast,416,267,9,59,0,59,9,59,407,267,50,65,357,266
8,North,323,148,30,59,0,43,30,59,293,127,221,118,72,67
9,Northwest,445,164,67,85,58,83,9,55,378,142,134,84,244,119
10,Ballard,175,108,0,43,0,43,0,43,175,108,33,66,142,96
11,Lake Union,154,104,0,42,0,42,0,42,154,104,47,56,107,85
12,Magnolia/Queen Anne,297,139,16,58,0,51,16,58,281,140,36,66,245,134
13,Downtown,153,114,0,29,0,29,0,29,153,114,106,110,47,39
