area_id,area_name,b08105i001,b08105i001_moe,b08105i002,b08105i002_moe,b08105i003,b08105i003_moe,b08105i004,b08105i004_moe,b08105i005,b08105i005_moe,b08105i006,b08105i006_moe,b08105i007,b08105i007_moe
1,Southwest,1086,288,583,204,156,122,227,118,43,70,26,62,51,69
2,Delridge Neighborhoods,2263,449,1237,274,330,181,462,226,109,128,62,66,63,64
3,Greater Duwamish,2165,570,1289,359,275,162,494,242,80,76,8,45,19,52
4,Southeast,1757,458,1039,381,201,133,310,147,82,86,84,88,41,53
5,Central,1020,282,347,124,121,77,402,209,52,48,26,41,72,59
6,East,1993,383,561,219,121,96,557,210,645,228,47,58,62,53
7,Northeast,1277,259,579,154,73,64,337,159,138,89,50,74,100,80
8,North,1750,421,1120,368,189,102,269,129,78,84,94,87,0,43
9,Northwest,2327,415,1279,270,319,171,501,174,88,73,9,54,131,99
10,Ballard,1352,327,691,218,63,60,329,168,60,70,139,126,70,85
11,Lake Union,1387,279,528,165,119,85,343,134,223,121,73,62,101,110
12,Magnolia/Queen Anne,1722,399,800,298,264,163,384,162,163,100,23,53,88,91
13,Downtown,324,142,100,86,0,29,121,81,103,68,0,29,0,29
