area_id,area_name,b07012001,b07012001_moe,b07012002,b07012002_moe,b07012003,b07012003_moe,b07012004,b07012004_moe,b07012005,b07012005_moe,b07012006,b07012006_moe,b07012007,b07012007_moe,b07012008,b07012008_moe,b07012009,b07012009_moe,b07012010,b07012010_moe,b07012011,b07012011_moe,b07012012,b07012012_moe,b07012013,b07012013_moe,b07012014,b07012014_moe,b07012015,b07012015_moe,b07012016,b07012016_moe,b07012017,b07012017_moe,b07012018,b07012018_moe,b07012019,b07012019_moe,b07012020,b07012020_moe,b07012021,b07012021_moe,b07012022,b07012022_moe,b07012023,b07012023_moe,b07012024,b07012024_moe
1,Southwest,48003,1014,2991,513,1985,360,43027,1065,40035,1100,2069,408,1306,271,36660,1083,5240,851,510,256,438,214,4292,758,807,288,51,79,61,68,695,275,1552,496,185,128,134,97,1233,402,369,152,176,115,46,65,147,80
2,Delridge Neighborhoods,33689,1015,5435,811,2645,644,25609,1093,28146,1123,4056,700,2065,546,22025,1097,3422,537,580,233,377,236,2465,446,716,496,501,477,9,40,206,134,1187,361,243,226,164,153,780,243,218,145,55,58,30,62,133,127
3,Greater Duwamish,46249,1755,8152,1382,5156,888,32941,1656,39223,1618,6372,1281,4274,806,28577,1498,4679,819,1152,450,497,281,3030,627,410,168,142,108,65,79,203,113,831,267,308,149,111,93,412,207,1106,556,178,106,209,170,719,508
4,Southeast,44772,1448,6935,1057,5367,1176,32470,1517,38315,1404,5667,987,3887,943,28761,1416,4721,1020,868,422,1107,696,2746,609,482,243,97,98,92,113,293,166,839,285,106,97,160,193,573,190,415,251,197,213,121,123,97,87
5,Central,28746,982,3802,642,2298,457,22646,927,21840,1036,2115,403,1746,432,17979,968,4994,718,1138,436,353,146,3503,590,439,206,172,111,72,85,195,106,1392,354,347,173,103,69,942,281,81,58,30,42,24,42,27,44
6,East,47495,1099,7237,707,3919,666,36339,1093,33468,1223,4254,531,2889,611,26325,1157,8697,854,1753,345,497,197,6447,764,849,250,235,104,76,76,538,219,3691,597,675,228,445,182,2571,502,790,310,320,224,12,48,458,219
7,Northeast,69425,1666,11827,1158,3305,516,54293,1155,52859,1396,5078,823,2095,413,45686,1085,10738,1087,4123,655,742,218,5873,739,1808,383,1007,277,247,145,554,162,2644,541,945,406,122,83,1577,324,1376,381,674,292,99,87,603,241
8,North,39339,1047,5262,676,2619,478,31458,1080,31905,1058,3843,576,1899,425,26163,1012,4397,706,932,328,240,133,3225,592,1300,361,255,127,190,115,855,326,1243,352,107,73,276,158,860,309,494,213,125,87,14,45,355,192
9,Northwest,68252,1419,6979,879,3689,603,57584,1408,55201,1514,4611,638,2936,557,47654,1505,8712,928,1046,352,463,160,7203,813,1702,373,367,165,115,92,1220,310,1916,433,560,205,130,92,1226,337,721,283,395,236,45,66,281,140
10,Ballard,43594,1011,2962,508,2043,467,38589,962,35780,1018,1968,410,1318,395,32494,993,5390,801,518,204,474,216,4398,693,840,316,125,82,197,129,518,227,1182,283,222,125,32,53,928,262,402,188,129,133,22,54,251,131
11,Lake Union,43647,1312,7334,876,2759,552,33554,1008,29751,1071,3813,637,1448,377,24490,923,8971,930,2230,502,896,307,5845,687,946,247,470,180,44,53,432,174,3506,652,675,251,335,189,2496,525,473,165,146,106,36,49,291,122
12,Magnolia/Queen Anne,56649,1322,4296,745,2101,414,50252,1244,43087,1357,2285,497,1416,350,39386,1282,8528,945,1373,425,376,192,6779,792,1013,323,223,147,101,104,689,256,3550,684,308,160,163,120,3079,654,471,185,107,92,45,69,319,158
13,Downtown,16957,884,4654,732,1427,323,10876,634,11620,846,3608,651,1076,289,6936,601,2616,435,538,187,188,110,1890,369,541,242,166,115,46,58,329,206,1893,364,292,131,75,71,1526,347,287,148,50,68,42,55,195,124
