area_id,area_name,b13002a001,b13002a001_moe,b13002a002,b13002a002_moe,b13002a003,b13002a003_moe,b13002a004,b13002a004_moe,b13002a005,b13002a005_moe,b13002a006,b13002a006_moe,b13002a007,b13002a007_moe
1,Southwest,10578,550,550,161,520,157,30,55,10028,550,4732,381,5296,509
2,Delridge Neighborhoods,5795,497,411,150,267,110,144,103,5384,500,2224,283,3160,425
3,Greater Duwamish,3772,377,365,146,292,127,73,80,3407,357,1578,246,1829,302
4,Southeast,4954,444,278,104,278,104,0,45,4676,449,2003,297,2673,389
5,Central,5716,441,371,139,328,128,43,61,5345,454,1803,242,3542,414
6,East,13059,792,351,173,278,162,73,71,12708,783,3013,395,9695,716
7,Northeast,18327,958,705,163,609,155,96,72,17622,969,5294,395,12328,923
8,North,7048,540,288,109,212,82,76,80,6760,532,2937,312,3823,454
9,Northwest,14558,706,785,175,769,173,16,53,13773,715,6185,479,7588,650
10,Ballard,10288,569,650,186,628,181,22,44,9638,597,4262,352,5376,555
11,Lake Union,11764,802,363,139,315,134,48,55,11401,813,2994,328,8407,778
12,Magnolia/Queen Anne,14412,873,658,184,590,177,68,74,13754,883,5030,402,8724,843
13,Downtown,2718,369,27,40,27,40,0,29,2691,370,759,177,1932,327
