area_id,area_name,b07011001,b07011001_moe,b07011002,b07011002_moe,b07011003,b07011003_moe,b07011004,b07011004_moe,b07011005,b07011005_moe,b07011006,b07011006_moe
1,Southwest,141954,7351,147002,7450,150904,37554,74536,19755,166067,130927,177018,306044
2,Delridge Neighborhoods,77508,6261,79449,6167,81852,41797,39611,16173,56486,51329,56762,23657
3,Greater Duwamish,52947,5558,54744,5737,60226,18500,35326,111313,68224,45693,78065,97793
5,Central,27772,3593,29019,4958,26116,3546,11111,6499,36050,22303,76319,64211
6,East,153784,11216,188057,21223,133786,17757,101498,45555,126870,62749,109877,84200
7,Northeast,181632,14265,214129,13899,110790,26574,74945,21254,116707,41103,173218,115674
8,North,106656,11762,110352,12140,136391,33317,85474,45804,58346,20382,89969,74153
9,Northwest,213683,15720,227722,15502,207311,34394,99565,89320,130558,47292,88712,120563
10,Ballard,265158,9856,276338,9475,260870,55574,121330,50468,168061,75173,164449,64209
11,Lake Union,220009,11895,241767,17000,184603,31230,217873,130459,167059,53488,229689,216366
12,Magnolia/Queen Anne,129753,12024,145862,16774,108338,38889,58359,85444,146818,46029,54937,25735
13,Downtown,128973,16865,132662,27196,130390,30420,52406,58656,205801,48261,190273,72429
