area_id,area_name,b17001a001,b17001a001_moe,b17001a002,b17001a002_moe,b17001a003,b17001a003_moe,b17001a004,b17001a004_moe,b17001a005,b17001a005_moe,b17001a006,b17001a006_moe,b17001a007,b17001a007_moe,b17001a008,b17001a008_moe,b17001a009,b17001a009_moe,b17001a010,b17001a010_moe,b17001a011,b17001a011_moe,b17001a012,b17001a012_moe,b17001a013,b17001a013_moe,b17001a014,b17001a014_moe,b17001a015,b17001a015_moe,b17001a016,b17001a016_moe,b17001a017,b17001a017_moe,b17001a018,b17001a018_moe,b17001a019,b17001a019_moe,b17001a020,b17001a020_moe,b17001a021,b17001a021_moe,b17001a022,b17001a022_moe,b17001a023,b17001a023_moe,b17001a024,b17001a024_moe,b17001a025,b17001a025_moe,b17001a026,b17001a026_moe,b17001a027,b17001a027_moe,b17001a028,b17001a028_moe,b17001a029,b17001a029_moe,b17001a030,b17001a030_moe,b17001a031,b17001a031_moe,b17001a032,b17001a032_moe,b17001a033,b17001a033_moe,b17001a034,b17001a034_moe,b17001a035,b17001a035_moe,b17001a036,b17001a036_moe,b17001a037,b17001a037_moe,b17001a038,b17001a038_moe,b17001a039,b17001a039_moe,b17001a040,b17001a040_moe,b17001a041,b17001a041_moe,b17001a042,b17001a042_moe,b17001a043,b17001a043_moe,b17001a044,b17001a044_moe,b17001a045,b17001a045_moe,b17001a046,b17001a046_moe,b17001a047,b17001a047_moe,b17001a048,b17001a048_moe,b17001a049,b17001a049_moe,b17001a050,b17001a050_moe,b17001a051,b17001a051_moe,b17001a052,b17001a052_moe,b17001a053,b17001a053_moe,b17001a054,b17001a054_moe,b17001a055,b17001a055_moe,b17001a056,b17001a056_moe,b17001a057,b17001a057_moe,b17001a058,b17001a058_moe,b17001a059,b17001a059_moe
1,Southwest,42394,1094,2346,454,1151,278,68,79,0,48,33,56,15,51,15,51,56,80,39,52,249,138,140,85,292,134,187,112,0,48,57,60,1195,293,0,48,0,48,75,86,26,51,8,47,19,54,148,101,213,138,148,94,151,79,190,110,72,61,145,80,40048,1125,18744,708,1038,224,234,113,737,175,521,168,231,113,307,122,504,138,2930,397,3491,344,3602,327,2677,272,1488,227,984,183,21304,779,1198,282,219,109,1597,284,341,122,108,75,255,96,721,237,3204,389,3550,329,3360,333,3446,333,1702,238,1603,216
2,Delridge Neighborhoods,20596,1096,2359,658,1182,357,78,123,16,43,53,69,33,50,49,78,0,38,111,116,191,128,189,109,179,112,144,78,82,57,57,79,1177,406,74,92,31,62,53,84,85,97,0,38,24,52,145,106,226,149,215,117,107,68,94,60,67,62,56,52,18237,960,9250,579,458,143,69,55,310,122,112,72,53,48,266,118,501,201,2221,361,2046,285,1584,229,922,198,457,128,251,95,8987,614,475,154,122,79,271,111,209,93,42,53,119,88,479,182,1931,290,1773,246,1323,207,1082,232,609,134,552,131
3,Greater Duwamish,13835,1090,2251,549,1037,283,52,70,0,45,66,90,90,117,9,44,0,45,83,68,147,93,211,129,153,103,159,106,29,52,38,56,1214,425,115,133,17,50,79,96,72,82,85,90,0,45,143,76,248,142,118,88,146,102,35,58,7,45,149,113,11584,1007,6467,666,405,177,63,72,197,105,40,61,30,57,62,68,456,192,1925,353,1246,279,1118,203,596,145,183,89,146,74,5117,536,403,149,65,69,293,146,97,85,0,45,37,54,231,100,1438,244,988,209,480,131,541,153,226,97,318,118
4,Southeast,18617,1087,2154,600,1167,453,128,117,0,45,107,104,57,66,27,61,0,45,31,65,103,100,281,177,251,126,134,100,12,46,36,53,987,280,0,45,9,45,28,52,15,48,0,45,15,49,127,103,207,148,123,84,169,98,114,77,70,74,110,97,16463,974,7877,625,690,187,96,66,345,116,294,123,17,51,50,57,335,202,1016,263,1644,260,1468,282,1101,197,489,128,332,118,8586,595,504,153,98,65,542,167,263,95,102,82,80,72,429,178,1267,253,1798,265,1294,218,1419,236,385,120,405,121
5,Central,17713,824,1549,336,566,199,66,69,0,34,0,34,0,34,0,34,0,34,162,102,85,63,59,71,77,68,58,54,47,50,12,36,983,224,0,34,0,34,33,61,0,34,0,34,0,34,310,131,269,131,85,62,68,50,83,58,41,44,94,65,16164,778,7956,509,533,174,73,54,242,100,112,72,0,34,45,49,421,165,1908,327,1722,230,1257,222,914,191,543,128,186,96,8208,543,574,168,101,102,326,123,79,55,0,34,115,70,521,177,2172,301,1628,246,990,178,1118,193,438,164,146,82
6,East,37439,1228,4333,513,1948,325,15,48,0,47,0,47,0,47,0,47,0,47,614,180,474,183,226,128,290,140,208,98,98,81,23,50,2385,387,53,62,0,47,0,47,0,47,0,47,0,47,890,206,462,145,181,113,299,172,161,92,165,105,174,94,33106,1178,17224,841,355,126,49,52,376,116,183,84,89,71,124,74,991,253,6199,694,3507,440,2250,301,1530,249,897,171,674,135,15882,818,516,207,106,73,418,112,114,64,46,49,65,59,1600,305,5635,585,2251,331,1486,227,1494,254,1070,202,1081,193
7,Northeast,55806,1599,8181,1028,4070,690,26,60,0,59,46,66,5,58,0,59,17,60,2596,643,572,195,186,98,242,135,208,93,97,94,75,73,4111,644,36,64,13,60,50,67,0,59,21,61,52,67,2672,538,500,172,122,87,205,100,176,88,69,67,195,249,47625,1143,23595,837,1294,232,256,115,1470,222,602,149,240,106,313,108,2350,474,4133,479,3848,324,3218,298,3293,276,1585,189,993,174,24030,740,1340,217,256,92,1365,200,544,135,279,99,403,132,2019,410,3860,391,3420,271,3653,297,3407,282,1797,208,1687,203
8,North,28427,1037,3267,591,1473,296,72,86,51,76,51,63,14,47,0,43,7,44,257,143,230,109,143,83,169,91,326,143,47,63,106,78,1794,416,122,93,0,43,46,82,0,43,15,47,15,48,192,110,323,134,196,119,313,148,238,128,122,77,212,126,25160,1010,12473,626,578,168,114,65,520,167,285,98,71,56,231,89,916,237,2573,338,2004,284,2025,255,1765,197,643,164,748,171,12687,647,718,197,165,72,531,141,198,82,97,78,130,74,777,230,2292,325,1939,242,1714,228,1961,230,784,157,1381,210
9,Northwest,53759,1360,4572,737,2153,458,81,91,4,52,71,75,24,58,33,58,34,66,322,158,528,198,141,88,383,158,305,130,81,66,146,87,2419,423,56,83,0,54,100,97,0,54,12,56,26,66,388,150,434,154,162,91,352,156,264,145,220,141,405,174,49187,1276,24541,854,1424,249,246,95,921,191,513,174,140,86,280,114,1463,318,5847,519,4626,381,3599,333,2946,311,1219,216,1317,217,24646,865,1304,276,132,83,1216,219,404,120,86,65,187,88,1468,339,5369,528,4233,346,3333,344,3448,305,1401,238,2065,265
10,Ballard,39002,1007,2344,409,1100,256,20,45,10,45,47,55,45,54,0,43,10,44,100,89,336,143,113,71,135,86,167,86,65,62,52,55,1244,279,34,45,0,43,40,52,0,43,0,43,21,47,204,106,308,148,154,89,112,66,116,75,50,55,205,133,36658,1024,18708,727,1224,223,146,72,868,180,396,127,63,54,314,157,1069,254,4362,497,3306,330,2726,290,2604,301,928,187,702,135,17950,715,978,215,185,75,826,186,246,88,107,67,318,127,968,305,3609,378,2958,284,2840,317,2764,267,1112,178,1039,167
