area_id,area_name,b19001f001,b19001f001_moe,b19001f002,b19001f002_moe,b19001f003,b19001f003_moe,b19001f004,b19001f004_moe,b19001f005,b19001f005_moe,b19001f006,b19001f006_moe,b19001f007,b19001f007_moe,b19001f008,b19001f008_moe,b19001f009,b19001f009_moe,b19001f010,b19001f010_moe,b19001f011,b19001f011_moe,b19001f012,b19001f012_moe,b19001f013,b19001f013_moe,b19001f014,b19001f014_moe,b19001f015,b19001f015_moe,b19001f016,b19001f016_moe,b19001f017,b19001f017_moe
1,Southwest,45,54,0,48,0,48,0,48,0,48,0,48,0,48,0,48,15,51,0,48,0,48,0,48,0,48,15,51,13,49,0,48,2,47
2,Delridge Neighborhoods,328,143,0,38,31,60,51,64,100,106,21,47,22,50,0,38,10,40,21,50,4,38,16,44,35,52,17,45,0,38,0,38,0,38
3,Greater Duwamish,230,115,18,53,7,45,31,56,0,45,66,89,0,45,34,55,0,45,10,47,19,53,27,51,6,47,0,45,0,45,0,45,12,47
4,Southeast,236,123,64,70,0,45,0,45,0,45,0,45,16,49,0,45,0,45,0,45,0,45,47,68,31,52,64,85,14,47,0,45,0,45
5,Central,109,66,14,39,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,13,38,0,34,37,46,9,35,21,47,0,34,15,38
6,East,258,104,54,58,0,47,0,47,0,47,14,50,29,64,0,47,35,60,30,54,0,47,19,56,0,47,55,61,8,47,0,47,14,49
7,Northeast,306,164,94,111,53,99,14,62,0,59,49,95,13,61,0,59,18,65,0,59,0,59,29,62,18,60,0,59,10,60,8,59,0,59
8,North,377,151,10,45,15,46,0,43,74,83,0,43,0,43,0,43,0,43,53,78,0,43,131,100,74,68,20,47,0,43,0,43,0,43
9,Northwest,562,193,18,59,0,54,9,55,58,83,0,54,113,107,35,58,99,111,63,77,43,72,39,66,36,58,14,57,5,53,30,58,0,54
10,Ballard,156,95,19,49,0,43,26,49,0,43,0,43,0,43,0,43,47,67,0,43,29,49,35,68,0,43,0,43,0,43,0,43,0,43
11,Lake Union,271,153,32,64,0,42,27,47,0,42,0,42,75,106,0,42,15,46,0,42,0,42,39,72,27,48,56,78,0,42,0,42,0,42
12,Magnolia/Queen Anne,186,104,0,51,30,69,0,51,0,51,0,51,0,51,0,51,23,55,0,51,12,52,60,80,22,54,14,54,0,51,0,51,25,63
13,Downtown,178,115,22,34,0,29,0,29,0,29,21,38,31,54,67,93,0,29,0,29,0,29,25,43,0,29,12,33,0,29,0,29,0,29
