area_id,area_name,c18130001,c18130001_moe,c18130002,c18130002_moe,c18130003,c18130003_moe,c18130004,c18130004_moe,c18130005,c18130005_moe,c18130006,c18130006_moe,c18130007,c18130007_moe,c18130008,c18130008_moe,c18130009,c18130009_moe,c18130010,c18130010_moe,c18130011,c18130011_moe,c18130012,c18130012_moe,c18130013,c18130013_moe,c18130014,c18130014_moe,c18130015,c18130015_moe,c18130016,c18130016_moe,c18130017,c18130017_moe,c18130018,c18130018_moe,c18130019,c18130019_moe,c18130020,c18130020_moe,c18130021,c18130021_moe,c18130022,c18130022_moe
1,Southwest,48488,1053,8987,510,143,88,0,48,143,88,8844,508,409,194,8435,511,33083,820,1828,342,477,195,1351,278,31255,802,1818,350,29437,820,6418,366,1983,276,159,94,1824,260,4435,369,128,77,4307,365
2,Delridge Neighborhoods,34181,1044,6942,605,147,80,29,50,118,72,6795,596,1677,446,5118,538,24086,825,1989,366,757,226,1232,286,22097,772,2526,469,19571,761,3153,278,1235,237,319,141,916,196,1918,222,216,105,1702,214
3,Greater Duwamish,46795,1779,10631,1048,249,113,52,69,197,98,10382,1035,2689,967,7693,676,30678,1204,2518,364,1102,267,1416,267,28160,1169,3190,531,24970,1135,5486,372,2250,300,642,186,1608,258,3236,337,519,169,2717,326
4,Southeast,45310,1463,9919,825,249,120,65,73,184,104,9670,820,1820,525,7850,759,30082,1045,2763,400,867,230,1896,343,27319,1014,3488,643,23831,1042,5309,390,2103,309,473,174,1630,265,3206,326,326,134,2880,315
5,Central,29165,1006,4427,461,84,71,15,41,69,67,4343,458,581,290,3762,399,21429,798,1678,313,432,146,1246,275,19751,778,2085,437,17666,737,3309,275,1201,233,457,136,744,191,2108,235,311,111,1797,231
6,East,47848,1137,3838,412,108,86,6,46,102,85,3730,402,481,229,3249,364,38820,1005,2572,417,1206,317,1366,258,36248,1016,4866,547,31382,983,5190,384,1689,228,357,121,1332,218,3501,357,409,147,3092,331
7,Northeast,70231,1669,11282,460,249,109,94,88,155,89,11033,451,508,155,10525,451,51540,1576,2163,344,668,224,1495,267,49377,1536,10115,1091,39262,1004,7409,366,1883,335,306,253,1577,222,5526,301,212,93,5314,294
8,North,39726,1067,6034,477,140,84,36,55,104,75,5894,472,920,283,4974,421,28764,888,2249,324,744,213,1505,260,26515,901,2973,465,23542,904,4928,323,2208,295,420,183,1788,258,2720,295,240,122,2480,294
9,Northwest,69171,1458,10406,686,190,100,11,54,179,99,10216,684,691,247,9525,672,50789,1176,2989,427,1134,294,1855,330,47800,1184,4221,741,43579,1076,7976,455,3196,351,523,179,2673,308,4780,370,559,197,4221,352
10,Ballard,44246,1008,7117,471,91,64,17,49,74,60,7026,468,343,158,6683,447,32655,837,1463,303,291,142,1172,273,31192,851,1868,354,29324,850,4474,277,1318,226,247,138,1071,202,3156,271,207,102,2949,270
11,Lake Union,43935,1324,3792,329,62,83,2,40,60,83,3730,337,270,185,3460,311,37148,1242,2347,388,1009,283,1338,263,34801,1204,5595,729,29206,1016,2995,288,1112,217,233,104,879,200,1883,238,237,121,1646,214
12,Magnolia/Queen Anne,57205,1334,8090,566,156,94,17,54,139,90,7934,564,185,123,7749,570,42596,1159,2387,398,647,205,1740,342,40209,1156,3052,638,37157,975,6519,374,1895,297,238,120,1657,270,4624,377,157,83,4467,376
13,Downtown,16980,908,1003,413,0,29,0,29,0,29,1003,413,551,392,452,139,13441,699,2249,340,1478,290,771,221,11192,672,1752,424,9440,599,2536,315,1003,240,543,183,460,168,1533,229,393,136,1140,203
