area_id,area_name,b11002h001,b11002h001_moe,b11002h002,b11002h002_moe,b11002h003,b11002h003_moe,b11002h004,b11002h004_moe,b11002h005,b11002h005_moe,b11002h006,b11002h006_moe,b11002h007,b11002h007_moe,b11002h008,b11002h008_moe,b11002h009,b11002h009_moe,b11002h010,b11002h010_moe,b11002h011,b11002h011_moe,b11002h012,b11002h012_moe
1,Southwest,42850,1177,29514,1259,25233,1254,24945,1216,288,142,971,321,863,281,108,75,3310,628,2993,557,317,129,13336,889
2,Delridge Neighborhoods,18330,970,11536,969,8876,914,8717,896,159,89,688,269,592,229,96,69,1972,473,1804,431,168,77,6794,653
3,Greater Duwamish,10685,889,6340,809,4999,724,4923,711,76,90,525,259,458,224,67,69,816,345,763,329,53,56,4345,548
4,Southeast,16860,970,12305,954,9427,907,9315,885,112,119,538,245,457,203,81,77,2340,548,2003,452,337,141,4555,620
5,Central,16885,862,9374,810,7855,735,7679,717,176,124,462,291,329,215,133,129,1057,363,948,328,109,81,7511,690
6,East,35674,1203,12815,1093,11682,1030,11507,1008,175,110,303,168,259,146,44,55,830,340,830,340,0,47,22859,1105
7,Northeast,55167,1729,35510,1321,30272,1221,30042,1200,230,129,1593,525,1338,401,255,195,3645,700,3122,584,523,189,19657,1549
8,North,27221,1030,17937,1103,14489,1016,14280,993,209,113,1013,374,844,309,169,105,2435,588,2265,554,170,101,9284,698
9,Northwest,53668,1520,33653,1502,28916,1463,28589,1447,327,134,1359,396,1253,375,106,70,3378,553,3114,515,264,105,20015,1188
10,Ballard,38818,1041,26012,1138,21726,1134,21566,1121,160,118,1421,550,1197,452,224,146,2865,577,2529,520,336,156,12806,847
11,Lake Union,34092,1339,14611,1002,12227,919,12070,908,157,98,1091,400,890,323,201,127,1293,417,1074,327,219,130,19481,1199
12,Magnolia/Queen Anne,48309,1413,29205,1400,26707,1388,26579,1379,128,105,549,223,538,220,11,52,1949,468,1866,449,83,65,19104,1169
13,Downtown,9549,616,2742,495,2612,471,2612,471,0,29,0,29,0,29,0,29,130,116,116,100,14,33,6807,526
