area_id,area_name,c23002a001,c23002a001_moe,c23002a002,c23002a002_moe,c23002a003,c23002a003_moe,c23002a004,c23002a004_moe,c23002a005,c23002a005_moe,c23002a006,c23002a006_moe,c23002a007,c23002a007_moe,c23002a008,c23002a008_moe,c23002a009,c23002a009_moe,c23002a010,c23002a010_moe,c23002a011,c23002a011_moe,c23002a012,c23002a012_moe,c23002a013,c23002a013_moe,c23002a014,c23002a014_moe,c23002a015,c23002a015_moe,c23002a016,c23002a016_moe,c23002a017,c23002a017_moe,c23002a018,c23002a018_moe,c23002a019,c23002a019_moe,c23002a020,c23002a020_moe,c23002a021,c23002a021_moe,c23002a022,c23002a022_moe,c23002a023,c23002a023_moe,c23002a024,c23002a024_moe,c23002a025,c23002a025_moe,c23002a026,c23002a026_moe,c23002a027,c23002a027_moe
1,Southwest,36493,890,17165,630,14515,602,12647,558,62,63,12585,556,11793,544,792,200,1868,291,2650,274,600,162,587,161,13,49,2050,252,19328,645,15415,587,12444,566,0,48,12444,566,11982,554,462,169,2971,349,3913,324,675,188,660,186,15,50,3238,322
2,Delridge Neighborhoods,18049,901,9222,599,8375,592,7053,514,42,52,7011,514,6431,502,580,178,1322,265,847,175,205,100,186,95,19,45,642,150,8827,560,7527,527,5884,432,0,38,5884,432,5457,411,427,189,1643,299,1300,196,253,94,253,94,0,38,1047,191
3,Greater Duwamish,11823,837,6631,632,6207,624,5411,594,55,62,5356,595,4942,577,414,145,796,187,424,132,54,55,54,55,0,45,370,126,5192,425,4461,396,3534,357,5,44,3529,357,3377,358,152,88,927,226,731,180,112,72,95,67,17,52,619,161
4,Southeast,15641,923,7400,606,6429,583,5389,543,5,44,5384,543,4918,506,466,176,1040,269,971,189,200,81,194,80,6,44,771,180,8241,559,7048,514,5592,462,0,45,5592,462,5210,421,382,176,1456,273,1193,225,118,67,109,65,9,45,1075,219
5,Central,15779,697,7558,488,6732,477,6140,466,14,34,6126,467,5942,460,184,102,592,167,826,159,206,85,206,85,0,34,620,146,8221,490,7370,474,5967,465,0,34,5967,465,5746,462,221,92,1403,274,851,196,170,103,170,103,0,34,681,171
6,East,36925,1199,19010,911,17267,898,15077,844,0,47,15077,844,14325,812,752,216,2190,342,1743,228,550,125,505,121,45,59,1193,205,17915,844,15318,821,12598,747,0,47,12598,747,11892,728,706,245,2720,384,2597,281,458,159,430,155,28,53,2139,253
7,Northeast,53224,1589,26165,1170,23412,1155,18112,869,13,61,18099,869,17000,845,1099,241,5300,660,2753,236,923,159,894,158,29,60,1830,215,27059,993,23278,956,17344,867,0,59,17344,867,16371,788,973,248,5934,497,3781,336,661,134,617,132,44,65,3120,334
8,North,24847,787,12199,543,10647,524,9018,482,18,44,9000,484,8313,464,687,184,1629,270,1552,223,233,88,233,88,0,43,1319,217,12648,551,10094,529,8016,483,0,43,8016,483,7619,492,397,134,2078,349,2554,260,310,99,291,97,19,45,2244,258
9,Northwest,47505,1174,23369,839,20498,786,18176,729,0,54,18176,729,16853,699,1323,333,2322,368,2871,309,517,147,437,137,80,72,2354,275,24136,786,19706,725,16214,694,30,58,16184,695,15282,671,902,232,3492,387,4430,366,483,140,418,112,65,92,3947,356
10,Ballard,33814,871,17012,653,15247,632,13569,611,63,79,13506,605,12686,581,820,208,1678,301,1765,218,452,155,411,150,41,52,1313,176,16802,627,14373,578,12040,606,0,43,12040,606,11364,593,676,192,2333,298,2429,230,430,138,407,137,23,46,1999,226
11,Lake Union,32415,1154,17082,831,15708,813,13789,694,67,81,13722,691,12871,689,851,244,1919,371,1374,227,371,126,356,123,15,46,1003,200,15333,849,14104,830,12114,791,0,42,12114,791,11571,767,543,208,1990,326,1229,182,134,66,126,66,8,42,1095,176
12,Magnolia/Queen Anne,43875,1187,21255,930,18608,922,16576,892,306,142,16270,885,15338,888,932,222,2032,316,2647,262,789,179,718,167,71,80,1858,239,22620,909,19140,897,15470,868,0,51,15470,868,14730,861,740,171,3670,392,3480,279,617,154,587,150,30,57,2863,271
13,Downtown,10276,616,6218,507,5490,488,4068,427,60,69,4008,425,3731,406,277,126,1422,280,728,169,222,91,222,91,0,29,506,157,4058,407,3404,386,2843,368,0,29,2843,368,2727,360,116,75,561,144,654,169,130,96,130,96,0,29,524,155
