area_id,area_name,b08202001,b08202001_moe,b08202002,b08202002_moe,b08202003,b08202003_moe,b08202004,b08202004_moe,b08202005,b08202005_moe,b08202006,b08202006_moe,b08202007,b08202007_moe,b08202008,b08202008_moe,b08202009,b08202009_moe,b08202010,b08202010_moe,b08202011,b08202011_moe,b08202012,b08202012_moe,b08202013,b08202013_moe,b08202014,b08202014_moe,b08202015,b08202015_moe,b08202016,b08202016_moe,b08202017,b08202017_moe,b08202018,b08202018_moe,b08202019,b08202019_moe,b08202020,b08202020_moe,b08202021,b08202021_moe,b08202022,b08202022_moe
1,Southwest,23226,383,5350,412,8944,502,8294,464,638,140,8765,488,3650,380,5115,398,8317,483,1508,218,2145,289,4664,401,3115,349,154,98,896,217,1775,272,290,98,3029,246,38,54,788,165,1855,238,348,109
2,Delridge Neighborhoods,14850,356,3240,343,6362,457,4500,397,748,164,5105,416,2146,294,2959,349,5095,441,797,187,1753,308,2545,335,2299,320,172,92,852,198,1012,227,263,124,2351,268,125,75,798,184,943,199,485,122
3,Greater Duwamish,16086,331,3810,357,5678,449,4632,439,1966,290,4480,390,2220,285,2260,308,4220,402,1002,216,1391,251,1827,271,3129,390,312,120,1123,249,1227,262,467,158,4257,375,276,144,904,209,1578,274,1499,257
4,Southeast,17612,387,4003,407,7412,518,5135,431,1062,209,5155,467,2444,331,2711,375,5836,489,1056,223,2154,343,2626,340,2782,365,256,135,1058,254,1238,225,230,115,3839,366,247,116,1489,283,1271,236,832,184
5,Central,13921,329,2807,306,6464,483,3874,369,776,179,5713,405,2038,268,3675,380,4558,395,608,169,1490,260,2460,299,1979,293,103,58,738,186,766,215,372,135,1671,251,58,65,561,187,648,157,404,121
6,East,29701,474,6153,474,16387,720,6563,536,598,191,17600,677,4707,447,12893,677,9079,562,1242,221,2420,366,5417,497,1786,347,170,89,611,218,620,196,385,175,1236,158,34,50,463,114,526,120,213,92
7,Northeast,30311,401,6157,403,12570,589,9570,501,2014,284,10383,550,3930,369,6453,469,10062,520,1755,226,3119,351,5188,410,4572,426,342,135,1461,262,1946,282,823,198,5294,341,130,81,1537,204,2436,254,1191,228
8,North,19461,351,5035,427,8251,514,5286,381,889,179,8432,501,3590,399,4842,432,5911,433,1109,199,1727,273,3075,314,2711,331,195,97,764,193,1358,241,394,115,2407,263,141,92,918,192,853,156,495,148
9,Northwest,33168,437,7366,495,13365,657,11294,589,1143,199,12317,601,4943,431,7374,529,12351,612,1908,289,3245,348,7198,546,4829,422,266,114,1648,272,2413,331,502,134,3671,305,249,123,1098,201,1683,222,641,156
10,Ballard,21236,330,3727,323,9444,531,7131,477,934,228,7631,473,2528,299,5103,434,8107,496,995,181,2510,311,4602,441,3054,352,115,66,981,221,1430,244,528,178,2444,248,89,62,850,166,1099,172,406,141
11,Lake Union,24520,524,4102,430,13141,651,6271,507,1006,210,12700,653,3046,381,9654,613,8062,545,874,196,2405,317,4783,475,2184,323,128,136,626,169,903,199,527,170,1574,198,54,73,456,137,585,119,479,130
12,Magnolia/Queen Anne,29974,461,5714,454,14796,671,8694,542,770,212,13839,639,3993,396,9846,590,10248,587,1512,259,2935,366,5801,486,2665,340,118,84,896,196,1433,269,218,95,3222,319,91,65,1119,213,1460,248,552,189
13,Downtown,11410,381,3857,363,5689,435,1769,292,95,63,8110,470,3197,368,4913,437,2634,346,562,159,632,150,1440,279,447,128,35,51,82,57,257,88,73,59,219,102,63,76,62,62,72,48,22,36
