area_id,area_name,b17001i001,b17001i001_moe,b17001i002,b17001i002_moe,b17001i003,b17001i003_moe,b17001i004,b17001i004_moe,b17001i005,b17001i005_moe,b17001i006,b17001i006_moe,b17001i007,b17001i007_moe,b17001i008,b17001i008_moe,b17001i009,b17001i009_moe,b17001i010,b17001i010_moe,b17001i011,b17001i011_moe,b17001i012,b17001i012_moe,b17001i013,b17001i013_moe,b17001i014,b17001i014_moe,b17001i015,b17001i015_moe,b17001i016,b17001i016_moe,b17001i017,b17001i017_moe,b17001i018,b17001i018_moe,b17001i019,b17001i019_moe,b17001i020,b17001i020_moe,b17001i021,b17001i021_moe,b17001i022,b17001i022_moe,b17001i023,b17001i023_moe,b17001i024,b17001i024_moe,b17001i025,b17001i025_moe,b17001i026,b17001i026_moe,b17001i027,b17001i027_moe,b17001i028,b17001i028_moe,b17001i029,b17001i029_moe,b17001i030,b17001i030_moe,b17001i031,b17001i031_moe,b17001i032,b17001i032_moe,b17001i033,b17001i033_moe,b17001i034,b17001i034_moe,b17001i035,b17001i035_moe,b17001i036,b17001i036_moe,b17001i037,b17001i037_moe,b17001i038,b17001i038_moe,b17001i039,b17001i039_moe,b17001i040,b17001i040_moe,b17001i041,b17001i041_moe,b17001i042,b17001i042_moe,b17001i043,b17001i043_moe,b17001i044,b17001i044_moe,b17001i045,b17001i045_moe,b17001i046,b17001i046_moe,b17001i047,b17001i047_moe,b17001i048,b17001i048_moe,b17001i049,b17001i049_moe,b17001i050,b17001i050_moe,b17001i051,b17001i051_moe,b17001i052,b17001i052_moe,b17001i053,b17001i053_moe,b17001i054,b17001i054_moe,b17001i055,b17001i055_moe,b17001i056,b17001i056_moe,b17001i057,b17001i057_moe,b17001i058,b17001i058_moe,b17001i059,b17001i059_moe
1,Southwest,2154,527,203,125,69,65,0,48,0,48,0,48,0,48,0,48,0,48,14,50,40,63,15,51,0,48,0,48,0,48,0,48,134,115,0,48,0,48,0,48,0,48,0,48,0,48,24,54,59,98,0,48,2,45,0,48,18,53,31,55,1951,518,925,280,94,96,14,50,69,54,66,85,0,48,25,50,54,61,91,95,119,81,225,128,168,102,0,48,0,48,1026,299,95,77,38,61,149,107,45,59,0,48,21,55,101,111,213,125,137,85,166,109,37,53,0,48,24,58
2,Delridge Neighborhoods,4518,781,1284,508,726,293,181,149,16,43,114,89,20,48,49,78,0,38,54,68,175,117,36,54,62,76,0,38,19,46,0,38,558,322,59,90,31,62,75,92,85,97,0,38,24,52,50,54,83,79,130,102,0,38,1,36,0,38,20,40,3234,648,1814,396,66,61,25,43,90,68,12,40,0,38,77,64,285,168,540,238,241,126,399,155,65,61,0,38,14,42,1420,378,146,106,16,45,51,58,117,64,0,38,14,41,231,154,251,137,207,115,222,116,68,61,81,69,16,43
3,Greater Duwamish,4650,943,1191,478,545,268,52,70,0,45,48,84,66,112,9,44,0,45,52,81,138,125,108,112,41,65,12,53,19,52,0,45,646,360,78,120,17,50,117,116,78,83,31,60,0,45,42,58,104,89,14,44,86,84,9,46,0,45,70,78,3459,876,1948,556,157,127,55,71,213,115,100,95,0,45,69,73,151,105,581,262,407,247,148,76,34,57,33,59,0,45,1511,431,233,114,32,64,198,142,65,76,18,54,18,52,186,131,411,157,261,131,25,50,44,53,9,54,11,49
4,Southeast,3704,869,897,508,593,419,96,96,0,45,102,113,29,63,37,61,0,45,91,93,30,64,99,126,48,73,41,62,0,45,20,53,304,159,0,45,0,45,11,45,11,45,0,45,0,45,36,71,115,117,57,76,15,48,59,73,0,45,0,45,2807,747,1495,483,170,116,0,45,183,115,83,92,0,45,10,45,149,188,345,209,280,143,217,156,33,54,0,45,25,47,1312,413,101,91,0,45,89,86,108,118,66,85,33,66,129,131,233,147,212,128,108,68,162,120,31,61,40,52
5,Central,1600,403,102,89,92,88,0,34,0,34,0,34,0,34,0,34,0,34,10,35,42,64,37,67,0,34,3,33,0,34,0,34,10,35,0,34,0,34,0,34,0,34,0,34,0,34,10,35,0,34,0,34,0,34,0,34,0,34,0,34,1498,395,689,245,57,60,17,42,24,42,9,34,0,34,32,43,9,34,244,149,124,69,137,94,14,40,22,47,0,34,809,252,82,85,0,34,130,78,25,38,11,37,0,34,40,61,285,121,77,58,149,84,10,35,0,34,0,34
6,East,2885,588,556,186,314,136,0,47,0,47,0,47,0,47,0,47,0,47,68,66,79,86,16,50,54,69,61,72,8,47,28,62,242,128,0,47,0,47,0,47,0,47,0,47,0,47,175,122,24,51,0,47,12,49,31,56,0,47,0,47,2329,549,1286,333,18,52,0,47,25,49,44,55,44,73,12,51,136,87,552,243,131,87,278,143,46,71,0,47,0,47,1043,327,99,145,11,48,25,53,0,47,6,47,0,47,191,123,363,178,170,97,93,71,65,86,20,54,0,47
7,Northeast,2257,444,557,266,266,125,5,58,0,59,0,59,0,59,0,59,0,59,190,117,59,74,0,59,0,59,12,59,0,59,0,59,291,244,0,59,0,59,0,59,0,59,0,59,0,59,199,232,19,61,31,91,31,60,11,60,0,59,0,59,1700,352,915,228,63,63,24,63,119,85,36,62,0,59,0,59,194,110,113,93,210,102,108,103,29,61,10,60,9,60,785,202,66,71,41,66,59,72,30,62,3,58,39,66,53,71,125,89,158,105,90,67,111,76,0,59,10,60
8,North,2978,626,715,426,281,173,62,86,40,75,66,68,0,43,0,43,15,48,10,45,11,43,60,66,17,50,0,43,0,43,0,43,434,294,30,51,12,46,46,82,0,43,0,43,25,53,43,81,77,82,76,90,53,93,10,45,0,43,62,100,2263,506,1315,384,61,63,0,43,35,49,44,51,16,50,63,75,171,139,445,274,215,107,196,99,48,52,21,52,0,43,948,258,97,85,0,43,70,70,15,47,0,43,0,43,126,127,258,107,204,98,126,83,52,61,0,43,0,43
9,Northwest,4342,796,746,368,411,213,111,118,0,54,25,58,16,58,10,55,0,54,56,71,39,79,62,76,84,92,2,53,0,54,6,53,335,190,30,61,0,54,66,91,0,54,12,56,0,54,20,56,146,118,12,54,0,54,21,59,0,54,28,58,3596,691,2038,447,195,148,53,69,178,98,40,64,27,58,47,61,165,85,709,242,312,124,179,135,64,71,50,67,19,55,1558,377,144,133,0,54,48,60,63,69,0,54,0,54,210,118,464,176,274,131,114,70,110,80,72,75,59,67
10,Ballard,2190,491,288,174,137,100,0,43,0,43,0,43,0,43,0,43,0,43,19,52,36,57,32,53,36,57,0,43,14,46,0,43,151,102,0,43,0,43,18,49,0,43,0,43,22,54,36,56,30,54,26,57,0,43,0,43,19,49,0,43,1902,445,919,288,73,74,13,45,62,51,54,78,0,43,84,83,61,54,270,121,183,123,69,56,39,56,11,44,0,43,983,266,100,85,0,43,49,55,0,43,0,43,0,43,21,52,430,198,208,116,125,98,50,52,0,43,0,43
11,Lake Union,2180,375,510,202,274,140,46,75,0,42,3,41,0,42,0,42,0,42,113,103,43,49,51,63,0,42,0,42,18,48,0,42,236,137,0,42,0,42,4,41,0,42,0,42,64,100,94,85,0,42,12,44,0,42,13,45,32,64,17,49,1670,327,958,271,120,105,0,42,28,44,0,42,0,42,0,42,74,64,365,157,318,137,16,46,20,50,17,48,0,42,712,181,18,48,9,42,42,53,11,43,20,50,0,42,76,65,340,127,74,57,55,56,67,64,0,42,0,42
12,Magnolia/Queen Anne,2517,509,268,167,138,119,15,55,0,51,0,51,0,51,0,51,0,51,27,64,29,60,51,100,16,51,0,51,0,51,0,51,130,98,16,55,0,51,0,51,0,51,0,51,0,51,60,78,28,57,11,58,15,61,0,51,0,51,0,51,2249,485,1131,305,122,100,0,51,39,58,0,51,14,53,0,51,210,128,388,167,165,111,42,60,94,102,48,64,9,50,1118,293,22,59,42,68,108,80,0,51,54,77,0,51,116,108,373,144,173,110,124,80,52,64,54,78,0,51
13,Downtown,660,238,272,170,178,137,0,29,0,29,0,29,0,29,0,29,0,29,147,132,5,29,14,34,0,29,0,29,0,29,12,34,94,91,0,29,0,29,0,29,0,29,0,29,0,29,28,44,11,32,13,40,0,29,42,59,0,29,0,29,388,167,164,90,8,31,0,29,0,29,0,29,0,29,0,29,16,35,8,31,56,59,40,49,19,42,17,40,0,29,224,145,0,29,0,29,0,29,0,29,0,29,0,29,8,31,116,105,69,75,0,29,31,54,0,29,0,29
