area_id,area_name,b19001e001,b19001e001_moe,b19001e002,b19001e002_moe,b19001e003,b19001e003_moe,b19001e004,b19001e004_moe,b19001e005,b19001e005_moe,b19001e006,b19001e006_moe,b19001e007,b19001e007_moe,b19001e008,b19001e008_moe,b19001e009,b19001e009_moe,b19001e010,b19001e010_moe,b19001e011,b19001e011_moe,b19001e012,b19001e012_moe,b19001e013,b19001e013_moe,b19001e014,b19001e014_moe,b19001e015,b19001e015_moe,b19001e016,b19001e016_moe,b19001e017,b19001e017_moe
1,Southwest,116,116,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,109,116,0,48,0,48,7,48,0,48,0,48
2,Delridge Neighborhoods,125,101,11,42,0,38,0,38,0,38,22,51,0,38,0,38,54,90,0,38,0,38,11,39,19,40,0,38,0,38,8,39,0,38
3,Greater Duwamish,129,87,10,47,0,45,0,45,23,55,0,45,0,45,0,45,0,45,25,56,0,45,34,59,9,47,0,45,28,58,0,45,0,45
4,Southeast,100,96,0,45,42,74,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,13,53,11,47,34,68,0,45,0,45
5,Central,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
6,East,31,57,17,52,14,52,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47
7,Northeast,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59
8,North,78,71,0,43,0,43,37,54,0,43,0,43,0,43,0,43,0,43,30,63,0,43,0,43,0,43,11,44,0,43,0,43,0,43
9,Northwest,110,102,0,54,0,54,0,54,0,54,11,55,0,54,11,54,63,102,0,54,9,55,0,54,16,55,0,54,0,54,0,54,0,54
10,Ballard,44,55,0,43,21,52,0,43,9,46,14,45,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
11,Lake Union,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
12,Magnolia/Queen Anne,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
13,Downtown,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
