area_id,area_name,b09001001,b09001001_moe,b09001002,b09001002_moe,b09001003,b09001003_moe,b09001004,b09001004_moe,b09001005,b09001005_moe,b09001006,b09001006_moe,b09001007,b09001007_moe,b09001008,b09001008_moe,b09001009,b09001009_moe,b09001010,b09001010_moe
1,Southwest,9048,515,9048,515,1682,279,1289,251,608,197,1504,252,1560,236,1106,212,1299,228,0,48
2,Delridge Neighborhoods,6985,611,6985,611,1639,330,773,178,355,131,1158,236,747,161,1123,234,1190,260,0,38
3,Greater Duwamish,10778,1054,10767,1054,1859,367,1724,352,548,197,1685,370,1880,307,1615,290,1456,295,11,45
4,Southeast,10076,820,10072,820,2013,387,989,228,509,169,1499,277,1816,347,1754,331,1492,299,4,39
5,Central,4515,458,4507,458,1066,264,662,160,300,138,727,190,620,185,642,188,490,160,8,30
6,East,3991,425,3880,414,962,255,560,159,247,104,626,142,488,127,505,187,492,136,111,102
7,Northeast,11492,476,11330,464,2140,284,1401,203,686,160,2178,253,1802,244,1540,220,1583,251,162,114
8,North,6168,475,6164,475,1464,251,610,155,500,147,908,181,827,190,872,189,983,194,4,42
9,Northwest,10501,684,10499,684,2650,369,1315,250,645,146,1857,320,1598,272,1347,242,1087,225,2,51
10,Ballard,7183,469,7156,465,1677,246,1023,191,395,117,1145,196,1030,195,805,170,1081,236,27,74
11,Lake Union,3837,332,3814,330,1166,213,441,148,327,117,600,132,566,157,433,133,281,125,23,52
12,Magnolia/Queen Anne,8142,566,8134,565,1984,331,938,195,740,229,1376,237,1255,245,1011,208,830,199,8,48
13,Downtown,1028,414,1003,413,335,119,192,120,36,54,82,109,172,93,110,100,76,52,25,39
