area_id,area_name,c18108001,c18108001_moe,c18108002,c18108002_moe,c18108003,c18108003_moe,c18108004,c18108004_moe,c18108005,c18108005_moe,c18108006,c18108006_moe,c18108007,c18108007_moe,c18108008,c18108008_moe,c18108009,c18108009_moe,c18108010,c18108010_moe,c18108011,c18108011_moe,c18108012,c18108012_moe,c18108013,c18108013_moe
1,Southwest,48549,1060,9048,515,143,88,0,48,8905,515,33083,820,1079,246,749,212,31255,802,6418,366,839,173,1144,232,4435,369
2,Delridge Neighborhoods,34224,1046,6985,611,135,77,22,42,6828,601,24086,825,1049,271,940,224,22097,772,3153,278,526,158,709,174,1918,222
3,Greater Duwamish,46942,1787,10778,1054,179,102,70,64,10529,1041,30678,1204,1412,298,1106,232,28160,1169,5486,372,762,174,1488,254,3236,337
4,Southeast,45465,1460,10074,820,155,90,94,76,9825,816,30082,1045,1671,309,1092,249,27319,1014,5309,390,778,162,1325,261,3206,326
5,Central,29258,999,4507,458,54,66,30,43,4423,453,21442,798,941,239,737,197,19764,778,3309,275,380,134,821,199,2108,235
6,East,49404,1211,3894,415,94,86,14,47,3786,405,40320,1094,1499,297,1116,279,37705,1106,5190,384,782,173,907,180,3501,357
7,Northeast,79116,1823,11443,474,183,95,84,83,11176,463,60263,1735,1678,291,739,196,57846,1705,7410,366,786,174,1097,295,5527,301
8,North,39862,1083,6164,475,128,82,12,46,6024,470,28770,889,1201,236,1048,229,26521,901,4928,323,939,185,1269,261,2720,295
9,Northwest,69266,1459,10501,684,164,99,26,55,10311,682,50789,1176,1539,293,1450,291,47800,1184,7976,455,1184,229,2012,281,4780,370
10,Ballard,44326,1011,7183,469,62,58,29,51,7092,465,32669,837,921,231,542,169,31206,852,4474,277,643,167,675,178,3156,271
11,Lake Union,44115,1324,3837,332,60,83,2,40,3775,340,37283,1241,1508,294,854,239,34921,1204,2995,288,524,139,588,166,1883,238
12,Magnolia/Queen Anne,59068,1388,8139,565,114,76,42,70,7983,564,44410,1223,1521,350,926,243,41963,1213,6519,374,811,177,1084,259,4624,377
13,Downtown,17106,915,1028,414,0,29,0,29,1028,414,13542,708,1002,237,1258,254,11282,681,2536,315,294,130,709,190,1533,229
